Symbol,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16,mix17,mix18,mix19,mix20,mix21,mix22,mix23,mix24,mix25,mix26,mix27,mix28,mix29,mix30,mix31,mix32,mix33,mix34,mix35,mix36,mix37,mix38,mix39,mix40,mix41,mix42,mix43,mix44,mix45,mix46,mix47,mix48,mix49,CD4.T.cells,CD8.T.cells,monocytic.lineage,neutrophils,NK.cells,B.cells,fibroblasts
appbp2,0.19814872505882514,0.8938570387654925,0.7281553433384578,0.6334669595783025,0.7968636371282185,0.41749425676421,0.4428560927462803,0.9612558030863537,0.8116219485269969,0.6761053396715875,0.5149718767108967,0.2905245952882536,0.665761695448959,0.6425217663274188,0.6688171109836369,0.7351664128522424,0.07769315508518158,0.492301561243687,0.42066227253764676,0.08627652169381028,0.8174863415229379,0.900413555630475,0.6700536722061641,0.2726710084875505,0.08567287616183211,0.058936988589794494,0.4278634901950223,0.3737126653886972,0.5644336517161177,0.8793804688468454,0.25343029637559783,0.03380555641137857,0.5817594884609129,0.45648887058256293,0.2650750729595785,0.6759230041354157,0.7748876930122329,0.05209332219952597,0.20149436828363448,0.49159570406636266,0.6934407531941147,0.6901360279548243,0.4457606035707652,0.4729927692134391,0.3015131801558153,0.41205862532842147,0.43966343040216316,0.5112998661489898,0.40239189629576555,0.7333739221939111,0.9755271706020141,0.6158513117194454,0.9163131816828012,0.9310006437201995,0.9036440295292116,0.0016522284525533409,0.0034369236897125264
pole,0.27822814797835316,0.44588426044591295,0.5143255703349157,0.8131053557643643,0.7287878338152408,0.3852613851291262,0.5923251147010248,0.6728795203033981,0.6280331234816035,0.45300016850592584,0.7481435274026453,0.22879626914874507,0.8220396855552179,0.7605911474643836,0.8357618310321535,0.8407449097822202,0.0931627034466046,0.29177853175376073,0.5376191792450744,0.3955499280514685,0.7507637680491417,0.7293133734330673,0.6112470706206877,0.4790226221282277,0.030595960295335078,0.08191765241750776,0.5922961443604058,0.3894162041420387,0.586163637098689,0.5206976520206912,0.147106800676633,0.015879989836158424,0.4240182998564959,0.39790314262426735,0.3821073647488835,0.6399744770193099,0.8661444411159729,0.06486083715806308,0.3193212718959135,0.3690997076964443,0.794254162813905,0.8460232798695825,0.5348259077279154,0.48320916226913185,0.6938278278060704,0.6913231737118969,0.7237999577800124,0.5937019600430749,0.11210604962443593,0.8032895876871479,0.9455155879355747,0.5856242469943046,0.8943351514794022,0.6846739240179082,0.9913758121348963,0.0017553598508745667,0.0015856844145439434
rapgef4,0.3791282687855515,0.8489230298875954,0.5880692177635841,0.7801177839403857,0.81472283519033,0.44756599542258546,0.7083465985779107,0.5862000396093658,0.47346864084037565,0.7085935037303519,0.46495354531724087,0.3078660943385519,0.8108415297128229,0.8970470239370818,0.580320928093931,0.8236504965981624,0.15684995325991463,0.3733426563417668,0.5746260362489404,0.307722292549665,0.5465065828360145,0.9433488326421745,0.4573672556676871,0.4153319238032225,0.0611178735032226,0.1032746328680072,0.7088746941759604,0.053233648130535105,0.44970736211910556,0.5765850618722019,0.12817905255691975,0.021765257175473195,0.36086600822856957,0.5798932435828695,0.31324496750029673,0.9530552067281082,0.5113065751052971,0.030162677571506185,0.37370576273446177,0.27697672089235037,0.7706768097788239,0.2142040377072741,0.6233173537635245,0.727281145262862,0.28874213674650995,0.6248495178728257,0.9200158877366349,0.8585326611990235,0.18709750708352718,0.7338906153171931,0.8149742949186753,0.9070928724796785,0.8099017427048176,0.9216073286425814,0.7227298499174075,0.00306506876067557,0.0037641977118380923
plcb3,0.420240024470245,0.7571078812083152,0.34312135894335166,0.8308357506052357,0.6041090376452927,0.5675562182253862,0.5113885129155863,0.8166845816481425,0.3604275443860851,0.6826286317261887,0.5416902222754421,0.399816918517836,0.8915943510829446,0.489838730987255,0.43762965715529084,0.9787819375171869,0.21482415793445314,0.6107674124331991,0.46533813804625157,0.12811515865004602,0.34414461781368555,0.7438474313007759,0.3635671723751604,0.2560834176055535,0.09181654571613701,0.07862799486590669,0.8501411826228309,0.3024277986980476,0.4606323639110518,0.43137651287554346,0.1662120003231629,0.028549282060432064,0.36691197999049874,0.5992649948775335,0.2056191823478446,0.9736867389061389,0.6538540575632348,0.07502117318247942,0.25393393125778274,0.6891069087407655,0.7525486566008486,0.7337064544914919,0.2963760591540472,0.9656851355726287,0.4630575764635692,0.6757878570355763,0.49171394883826425,0.5555428469783597,0.1424199172267333,0.7320990525602064,0.9066627360951116,0.6645497755854425,0.9846769347528571,0.8745491751054525,0.5605896261357893,0.004228546596035022,0.004267904402307629
fgfr2,0.2994151940102176,0.8451436275167995,0.6157745613129272,0.9230253017480745,0.794368253972882,0.34105530024592334,0.5517356922044683,0.9239565274184458,0.4087183954169072,0.7779847957099633,0.7052417851056875,0.37150117264962346,0.8679210522011219,0.5361135726721905,0.7356841447174922,0.605045304000526,0.2462879144147636,0.7963460311704895,0.33708980809913947,0.314395119565969,0.6159649160836376,0.8348072848716442,0.2360827479345104,0.40542583507591917,0.045251452936932335,0.13289324621057752,0.6902824571415118,0.22828476033960138,0.6039228455534036,0.5872806133216626,0.06762528409651966,0.016603972005262695,0.43809682599128064,0.28317025483452374,0.2965575148085603,0.9501735367963975,0.7695102874722324,0.047621745912766585,0.27614141142907656,0.5967115616891072,0.4900986527572444,0.4483878998464462,0.256553660497634,0.7409210997136959,0.6137442527689805,0.43278934180955536,0.8569115655052912,0.4343341964081054,0.319002886042403,0.708361792261281,0.9088699304798094,0.8361299774615373,0.7945265699603019,0.9520429178118814,0.708692874160701,0.0019278456959553076,0.0019338763714226606
top2b,0.2052860308282088,0.39913916337613725,0.7023994908958241,0.7245882252885386,0.7421351956434818,0.2937416146720795,0.3840636826443575,0.8234138183540969,0.593200359887134,0.3016814916327174,0.8087213994522927,0.17408946285281612,0.8354276672851397,0.6556956012042562,0.7106744311103248,0.5774251608460816,0.09790675374811098,0.47077097313511845,0.19688843913831916,0.5654122740568723,0.8184608637341793,0.8447328353621919,0.7334321657554559,0.49577300748165204,0.06756322735807177,0.12010585340580404,0.39547568035192765,0.5582633813615536,0.6532392459725057,0.5210644987734717,0.22274371382522706,0.05084461381382805,0.433166944067489,0.41461584311575705,0.45618910133555923,0.9562494580098012,0.553783175358598,0.031972949278417366,0.18323792655304338,0.7477363799682677,0.658087127248355,0.3162052005271796,0.23361971869117537,0.321738711252633,0.6759450622071062,0.8099590074699462,0.9494699660181424,0.6175571759806464,0.353094448006985,0.7440142661800413,0.7832524862347854,0.9491668187667615,0.6598490293966184,0.39509099324083785,0.9977845041494383,0.004180883381884693,0.004176566013082908
hlcs,0.35641541693796963,0.9063439764479366,0.95449405689277,0.522061041441419,0.30264912123912374,0.195373202253596,0.5560112094948616,0.8930980881889822,0.5965088627958768,0.6349685616904048,0.6052271769769844,0.25474474331094465,0.356126369182878,0.8919991876750719,0.7441531149313828,0.8547001023998613,0.2593875080143735,0.7433840254949452,0.40851507022099737,0.7640054862050967,0.6938781702924701,0.6679180254994266,0.7383920287578191,0.41187460741060633,0.0748297689179678,0.13054810271978579,0.7978945361678456,0.12370587072878603,0.7546315656575309,0.5638230680661844,0.11835865094866638,0.07492451203757028,0.16781107363812714,0.4677051841264057,0.3313979168812258,0.6092271040131777,0.4761420193614084,0.07163861852264171,0.12359272842012747,0.44725285923868596,0.82173466505707,0.7748162352441751,0.36465687753962095,0.5261677746968181,0.24601499094534462,0.5297659877666971,0.6466113012093215,0.8150933001634224,0.23843912558855107,0.5557936960934101,0.7607299864159887,0.5347557819787175,0.47569875664027467,0.8685928697382178,0.9993891035693372,0.0034040166414243426,0.005737452438381654
galnt4,0.4311836803688953,0.7832331069892768,0.7762033684458407,0.8352336187809571,0.3113011590559345,0.2063703701759042,0.38069086941089153,0.5763097949874296,0.2636992557637907,0.8466621042449909,0.3761500680385895,0.1790826305562307,0.7891419996848302,0.8976480653086302,0.7410465092456555,0.6347780611497731,0.362327183693839,0.572734819059228,0.9748597597064029,0.4743195852318461,0.930967803787283,0.6699158003890113,0.5513977937836525,0.5761308638865832,0.05234539277264726,0.10711662142110606,0.8072273900963607,0.19507865031952898,0.5394987538377192,0.6528191672904076,0.19374641004703091,0.06714231594879404,0.27516805791225124,0.3541561540937308,0.19267332961607075,0.4887560758069004,0.5630986184211857,0.10229805191482183,0.47059299368316776,0.35638751873240404,0.9249118408166508,0.7857245323616049,0.6823582840736656,0.701487980926528,0.18828764455552105,0.2217105495216029,0.6364142219861919,0.6197828990503225,0.12701601535347645,0.611152266516179,0.23051364412001268,0.14574808622157448,0.8562101653654316,0.9987222738097131,0.9554565593587688,0.015308244463293205,0.015062044808725564
dffa,0.47188452010752063,0.5851049111897904,0.5166390194146397,0.7551643669226342,0.7150304424521527,0.3203155409031543,0.44632428302581933,0.9109461834393104,0.6531365385362944,0.7782976252847871,0.6398528456166144,0.4533280599942396,0.7402477291774614,0.7485227501273415,0.5711597434818604,0.6970112070130046,0.14694377757944,0.3916831781215582,0.13309719857616953,0.2468418778717082,0.3638956465716252,0.8193389574525842,0.5527994364858136,0.21493585527610637,0.1430431865920323,0.3767929621096229,0.733210695860878,0.5562488829467018,0.28461566754580087,0.5252518452666114,0.15629898354018873,0.03826228874454751,0.19235744273705868,0.6170229679905679,0.30523954043869983,0.8299978941333801,0.9621479990735685,0.05295740123480404,0.24735200449958772,0.5353007564212547,0.7766395420586829,0.36951936558756693,0.20025475159650735,0.8057760148975439,0.16515562309467524,0.5988166665872114,0.695119511084874,0.5986816155939859,0.33262195656019516,0.937139741371495,0.5608983849270782,0.9863912269259396,0.9959787363483258,0.2834930924341215,0.891090707114915,0.004794548249638656,0.004815962245004685
was,0.4481356949658655,0.9976597447594697,0.45175761046067764,0.789221685572602,0.5365823188820943,0.32705707073650014,0.3640357496281407,0.461615437119272,0.26747346750799594,0.9746418482844736,0.3144411276977397,0.2440226317472186,0.810166200069687,0.8318692527948222,0.43788174726173446,0.7707324848698438,0.38069452748148597,0.8432221537182314,0.837673152523468,0.20999917324191358,0.7710651083120116,0.6724999940574696,0.2085632480444719,0.6270325744109293,0.14828806635175495,0.31666922442117296,0.8299251795934732,0.3927619432406799,0.26150550652428145,0.406924043571037,0.26609630314069477,0.06654996903133616,0.11510482301205621,0.5752790538543328,0.2868598906986123,0.5347952748650143,0.8216464051202742,0.20687530939091997,0.5509293871271232,0.31981045269623737,0.8071736384112667,0.6268846759988839,0.7130486302919006,0.6393706390218593,0.1605806134482619,0.46413081356327873,0.425684018276765,0.36614265730608964,0.1732135530835026,0.45323574861025884,0.20203570217179206,0.5095490572993921,0.811969264901648,0.9999529250966892,0.16127206946540917,0.03584591881134766,0.03480740996207285
