,Samp242,Samp354,Samp401,Samp402,Samp404,Samp405,Samp409,Samp416,Samp418,Samp419,Samp421,Samp424,Samp427,Samp435,Samp439,Samp441
Ucn,0,0,38,1,40,7,6,2,0,2,1,2,2,3,3,1
Scube3,126.273,159.442,207.986,139.625,298.869,229.731,261,182.322,142.993,211.459,100.881,241.987,145.131,133.981,238.172,117.266
Trps1,3838,3219,893,3365.999,884.001,2644,936.001,2944.999,4451,862,3724.001,2467,2726.001,2429,2058.001,3076.002
Pak1ip1,1201.001,1460.975,820,1162,988.998,1324,1105.195,1257.999,1150.999,960,1274.947,1531.969,1354,1162.95,1152.84,1347
Rtel1,1669.001,1807.999,279.001,1448.998,479.999,1234.001,381.001,1428.002,1640.001,518,1318,1643.002,1309,1244,992.001,1660.001
Atp5j2,2084.789,1864.538,1045,1787,1394,2621.603,1531.747,1995.842,1985.805,1414.213,1729,2207,1920.659,1814.001,1848.999,1898.3
Mbd3l1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoxb4,18,27,2,24,0,48,2,19,15,2,21,23,30,29,28,18
Josd2,1461.999,1453,910,1506.998,1325.998,1817.999,1202.999,1402.999,1640.002,1298,1518.001,2015,1721.001,1589,1555,1370.999
Mapkap1,1334.072,1597.926,1056.002,1520.006,1178.601,1562.942,1238.288,1574.658,1519,1175.894,1438.173,1616.004,1357.002,1457.283,1450.029,1382.079
Taf5l,1268.745,998.988,442.996,1041.876,508.001,1198.797,493.233,1097,1451.861,504.107,1224.628,1070.034,1090.129,1033.839,723.067,1068.547
Hoxb5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dsel,452,386,735,387,640,533,771,496,377,529,447,381,445.999,420,501,431
Aspdh,11,3,19,19,52,19.999,46.999,14.999,8,60.001,7,10,17,11,19,9
Gmeb2,891.001,806,522,806,645.999,704,700,744,1129.001,661.999,800,871.999,751,705,685.999,795
Golga4,2429.998,2647,3524,2627,3947.998,2784,4097,2748.997,2461.999,3848.608,2461,2857.002,2986.999,2402,3080.019,2714
Txndc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mindy1,2067,1751,557.999,1715.669,573,1666.999,621,1778,2834.01,543.999,1753.999,1977.001,1714.002,2314.841,1209.001,1834.006
Atp5l,1617.533,1285.54,1001.462,1357.807,1262.5,2050.764,1203.196,1364.051,1590.198,1308.951,1278.308,1503.155,1489.76,1541.789,1349.926,1383.457
Pbx3,691,729,563.001,550.999,575,613.999,563,663.999,628,655,584,807,465,628.001,583.999,535
Hoxb7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bud31,2098.256,2231.096,667.368,1978.348,750.705,2272.887,666.644,1984.281,2313.648,843.82,2058.215,2752.917,1841.856,1827.536,1529.439,2258.104
Pkhd1l1,6,2,6,3,18,6,13,7,2,16,0,2,7,4,3,6
Pakap,831.559,612.175,2143.394,868.866,2135.195,1087.776,2508.542,1084.082,1384.704,1997.067,805.461,943.961,1369.448,1057.509,1646.228,957.245
Mboat1,780.001,481,93,552,91,565.999,90,518,600.001,100,715.999,530,606,536,344,565
Wdr26,7267.317,6288.741,3823,6559.001,4023,6803.992,4383.973,6601.001,9454,4045,7182,5599.999,6789.997,6399.019,5323.998,7133.001
Nudcd1,2978.63,3228.997,728.025,2867.305,805.819,2671.43,738.097,2634.556,2868.569,793.497,3155.857,2885.477,2342.113,2501.073,1822.949,3082.762
Shank1,1079.231,730.34,12400.489,2568.819,15248.959,2603.076,14992.989,2923.313,1249.478,16127.671,1354.055,2170.32,4553.11,3847.033,7348.125,2480.931
Mvb12b,1954.999,1538,2609,2010,2772,2335,3139,1990.001,2882,2816.001,1856,1666,2183,2203.001,2532,1714
Angptl6,160.963,137.055,86.896,127.33,105.631,122.425,130.452,153.98,161.142,117.825,122.59,190.512,152.015,161.085,128.165,148.562
Nlrp6,5,1,21,4,27,10,42,16,22,25,2,3,21,17,11,5
Omt2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptk6,4.798,4.032,0,6.009,2,2,2.002,1.55,7.01,2.004,5,6.006,5,1,1,9.008
Elovl3,10,12,1,6,1,12,2,5,8,3,3,9,5,11,7,9
Ttll6,2,5,16,3,19,0,30,8,10,18,3,4,16,7,18,3
Nup205,3632,3889,850,3375.001,970.001,2662.001,1110.001,3192,2722.999,983.999,3555,2674,2580.001,2448.999,2132.001,3316.999
Trhr,7,13,182,35,170,30,218,55,9,176,4,11,22,27,89,4
Abcf1,4272,4888,2172,4460.999,2627,4724,2683.999,4189.988,4774,2615,4600.991,5381.989,4307.989,4246,3772.001,4885.948
Alpk3,7,0,9,3,17,2,12,3,4,13,2,8,4,9,12,2
Ptpn3,656.001,494,1668,573,1843,533,2153,750,740.999,1696.001,567,694,998.999,942,1257,649
Lmx1b,70.423,29.011,28.999,61.108,30.647,46.036,15.532,31.515,174.081,26.268,67.308,39.202,63.004,50.513,30.26,44.696
Gabpb2,3994.484,3672.242,660.613,3018.116,891.469,2170.502,873.623,3184.187,2683.35,895.166,3599.36,3146.869,3042.779,2222.485,2241.827,3268.837
9130409I23Rik,2,0,0,1,2,2,1,2,1,3,0,2,2,1,0,1
Kpna7,2,3,0,1,0,2,1,4,1,1,4,5,2,1,1,1
Kdm3b,2642.626,2607.423,1553.698,2357.053,1742.46,2105.168,1817.176,2489.339,3017.539,1729.36,2548.364,2364.083,2334.198,2100.568,2266.512,2420.919
Ascc3,2664.068,3688.769,791.939,2962.359,737,1795.357,835.537,3044.097,2269.006,701.956,3520.017,2413.227,2029.761,1552,2058.912,2574.338
Vill,218,204,98.001,250.001,147,282.001,134.001,254.001,405.999,180.001,213.999,298.001,279.001,311.001,200.999,174
Ephx1,238.69,206,454.001,364,563,621,497,389,362.146,562,161,300,458.26,570,564,219
Sema6c,160,86,533,206.999,671.999,330,722,225.001,275.001,739.999,103,205.001,273.999,216.999,386.001,123
Smurf1,1367.001,1236,1393,1324,1592,1400,1636.999,1348.001,1807,1569,1390,1179.001,1641,1325.001,1506,1239.999
Stap2,80,68,32,85,42,60.999,52.001,71,88,55,56,91,108,89,87,92
1700028J19Rik,22.25,26.723,19,21.446,27.969,34.467,15.342,24.73,31.005,18.069,32.234,25.508,37.375,32.009,28.487,31.455
Cnot4,1050.001,1269.001,896.001,1179.598,1008.001,866.001,959,1217.013,974.104,1035.023,1065.002,1372,1125.251,1077,1077,1035.068
Scgb3a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lefty1,106.961,81.752,29.48,81.888,40.478,118.568,56.975,72.835,148.931,45.707,103.901,71,93.928,88.905,68.682,53
Zscan2,181.091,144.823,163.447,173.864,213.739,161.695,220.953,151.083,481.359,194.894,164.795,219.731,161.818,191.514,218.413,143.631
Scgb1c1,1,1,3,0,1,1,1,0,0,0,0,0,1,0,0,1
Ost4,1478.665,1513.967,359.86,1512.992,451.829,1567.828,426.761,1467.48,1830.885,428.756,1532.603,1707.932,1526.952,1491.11,1194.931,1286.763
Six3,16,127.006,398.688,149.35,489.047,554.11,568.327,202.001,149.868,402.095,36.159,279.022,200.629,152,434.569,67.025
Sde2,1577.983,1499.156,636.006,1552.999,654.064,1449.833,684,1414.973,1986,630,1639.999,1500.113,1397.472,1407,1087.002,1392.035
Rap1gap2,527.999,410.001,5281.999,1123,5602.001,1543,6676.001,1697.999,726,5736,1396.999,1031,1915.999,2114,2628,2646.999
Gngt2,53.566,108.134,14.526,111.448,15,182.855,24.065,104.812,83.2,23.217,63.973,96.383,136.733,103.855,103.597,117.794
Trmt112,781.672,750.9,251.748,661.558,292.258,873.024,371.707,714.505,852.817,299.964,656.081,1031.449,761.797,718.229,607.909,796.971
Ctnnal1,1195.179,965.975,610.306,935.817,775.515,999.432,690.005,909.03,1403.581,758.994,1156.17,1090.162,1127.23,917.558,870.188,998.225
Hace1,1303,1126.42,1554.148,1072.356,1702.168,1133.161,1913.837,1267.47,1108.751,1787.935,988.247,1113.093,1213.164,1162.774,1155.341,1105.24
Abitram,1112.005,1282.35,530.982,1238.764,599.198,889.385,569.03,1135,916.007,615.005,1244.003,1237.628,1163.038,923.578,951.401,1166.316
Tmem214,3390.043,3335.994,1321.488,2955.743,1734.98,2584.177,1509.116,2962.333,3746.655,1936.241,3593.396,3449.834,3236.223,2645.109,2532.475,3036.516
Ralgps1,789.326,874.001,2070.001,1111.035,2382.076,1195.697,2467.787,1236.658,1252.077,2498.001,802.967,919,1257.003,1340.016,1585.078,912.046
Agbl3,287.379,264.743,262.656,212.019,250.582,221.727,278.189,276.149,203.351,270.734,181.566,234.749,243.813,252.711,260.06,205.613
Vars2,838,745.074,525.999,805.651,661.001,775.745,613.001,768,813,696.999,677.24,862.662,863,762.945,756,719.344
Birc7,0,1,6,1,4,2,9,1,1,8,0,2,1,2,1,0
Gcnt1,136,203,101,315,114,315,155,257,255,140,200.999,234,339,305,353,248
Kif16b,1367,1572.999,491.001,2009.999,456,1515.001,487.001,1461.001,1578,437.999,2181,1363,1433,922,1258,1712.999
Phb,3540.871,4095.5,1473.836,3798.671,1694.18,4704.189,1758.776,3699.007,3390.812,1726.158,4031.253,4639.06,3658.263,3455.182,3290.392,3917.152
Ythdf1,2059,2101,1688,2057,1671,2134,1802,2151,2084,1773,2280,2427,2133,1850,1817.001,2022
Itpkb,1226.157,1320.189,1550.079,1600.152,1542.074,2039.342,1805.134,1536.08,2068.872,1318.031,1252.995,1640.636,1568.998,1589.413,2427.101,1066.116
Baiap2l1,27.002,14,36,24,46,23,43,21,13,33,26,30,40,23,26,24
Garnl3,750.061,593.833,1696.619,796.282,2342.463,857.784,2205.556,983.611,1267.766,2370.688,735.353,756.093,1178.907,1431.097,1113.535,933.845
Pi4kb,1016.93,1132.145,1245.75,1059.399,1232.398,1070.773,1368.749,1164.054,1065.079,1411.275,1008.255,1229.45,1109.349,1154.152,1181.149,1031.381
Zcchc2,1177,1531,826,1477,798,978.001,846,1597.001,1039,882,1313.001,1450,1344,1134,1252,1216.999
Bpgm,2235.999,3391,1148,1968.999,1295.001,2271,1364,2454,2861,1267,1693.999,2561.001,1683.999,3889,1715,2363.999
Zfhx3,2083,1307,925.001,1806,992,1543,1011,1400,2370,748,1971.001,1476.999,1928,1670.999,1325,1531
Rnf146,1262.269,1347.767,1268.702,1147.446,1334.136,1300.379,1456.442,1317.371,1573.637,1337.469,1177.489,1370.841,1238.231,1236.301,1305.188,1156.846
Nipal2,166.381,194.499,365.128,161.943,431.451,225.139,424.308,217.328,145.398,427.703,117.345,151.463,197.865,233.648,250.756,139.976
Mrps34,831.406,873.665,780.216,748.566,825.283,1034.493,851.902,879.294,1010.099,893.075,671.709,1098.47,789.189,878.642,843.014,769.471
Prl3a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
