,Samp242,Samp354,Samp401,Samp402,Samp404,Samp405,Samp409,Samp416,Samp418,Samp419,Samp421,Samp424,Samp427,Samp435,Samp439,Samp441
Gm13445,2.001,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
Gm14282,0,0,0,0,0.884,0,0.947,0.947,1.978,2.88,0,0,0,2.787,0,0
Gm12882,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Gm14774,1,0,0,1,2,0,2,0,1,5,0,1,2,0,3,0
Gm12382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tpt1-ps2,0,7,0,4,0,2,0,1,1,0,3,2,4,3,0,5
Rps27-ps1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1
Gm15483,5.605,0,0,0,1.373,5.122,0,1.59,5.199,1.449,3.838,2.991,0,3.276,7.679,3.194
Gm12593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpinb1-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14165,12.371,28.153,1.004,25.999,1.004,6.582,0,15.782,14.028,0,24.129,22.523,19.579,17.229,13.876,16.15
Gm11403,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm5912,0,0,5.332,0,3.177,0,6.124,2.139,1.052,6.438,1.048,0,1.57,2.098,0,3.143
Gm12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7840,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm12464,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0
Gm6161,16.376,23.359,0,8.485,0,0,0,13.481,45.967,4.936,18.805,8.115,3.984,16.422,0,3.669
Gm14682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl23a-ps4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13870,0,0,0,0,0,0,0,0,2,0,1,0.904,0,0,0,0
Gm11432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12734,10.791,10.093,2.498,5.744,2.458,2.436,1.171,6.235,4.783,6.123,7.507,6.23,2.468,4.924,4.983,6.286
Gm14761,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Gm6767,27.878,24.532,2.261,32.901,6.605,22.656,4.427,21.139,19.494,6.943,26.945,19.644,29.41,18.741,14.608,31.295
Hmgb1-ps3,25.518,11.081,6.081,7.516,2.251,9.357,8.655,12.325,10.094,0,7.148,14.221,0,10.885,6.724,4.235
Gm7781,0,0,0,0,1.007,0,0,0,1.007,0,1.009,0,1.01,0,0,1.009
Gm13488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Llph-ps1,1.329,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13168,0,0,0,0,0,1.042,1.069,0,0,0,0,0,0,1.036,0,1.501
Rpl30-ps11,0,0,0,4.23,1.189,1.185,0,1.348,2.531,0,0,2.442,0,1.194,1.204,0
Gm15049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14912,0,0,0,0,0,1.152,0,1.009,0,1,1.001,0,0.728,0,0,0
Gm13337,0,0,0,0,0,0,1.056,1.091,1.005,0,2.024,1.008,0,0,1.007,1.007
Vmn1r-ps95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14131,0,1.026,1.026,0,0,1.024,0,0,0,0,0,0,0,0,0,0
Gm14735,155.675,195.643,145.376,166.585,160.756,187.662,170.789,168.397,145.851,217.999,148.085,145.128,156.273,171.066,129.183,198.387
Gm4853,2.252,1.092,1.091,0,1.097,1.093,1.093,0,0,2.222,0,0,0,1.412,0,0
Gm12855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14558,11,5,0,8,0,4,0,9,7,0,8,8,5,6,3,4
Itpa-ps1,7.987,4.618,34.645,8.996,5.078,0,0,0,7.288,3.881,0,0,14.794,0,0,6.854
Gm7916,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
AA623943,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13608,2,5,0,2,0,3,1,2,4,0,2,0,2,1,3,0
Gm14293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12445,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm13492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12338,423.44,348.246,291.506,366.445,366.929,551.049,411.454,440.02,392.605,280.955,238.603,407.216,446.709,444.851,414.748,401.114
Gm14452,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13689,12,3,9,13,16,14,18,15,15,25,11,23,13,16,9,11
Gm15368,0,1,2,0,0,1,0,0,3,0,2,1,0,2,0,4
Gm11830,0,1.001,0,1.001,0,0,1.001,1.987,0,0,3.44,0,1,1.001,0,0
Gm12778,1.019,0,0,0,0,0,1.019,0,1.023,0,0,0,2.042,1.02,0,0
Gm9311,4.004,2.013,3,6,6,1.001,7.01,4.001,4.003,4,4.004,3,5,3,3.007,4
Gm14130,0,1.072,0,6.011,0,3.861,2.776,1.309,0,1.113,2.224,5.001,2.381,5.167,1.238,2.484
Vmn1r-ps108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13428,2.606,0,0.745,1,0,0,0,0,0,0,0,0,1.75,0,0.919,1.658
Gm15560,7.207,6.167,1.02,4.798,9.291,4.116,4.108,3.16,3.823,4.093,6.968,3.886,1.018,3.078,5.14,3.087
Olfr407-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12517,0,3,1,3,0,0,0,2,0,1,1,1,0,3,1,0
Gm15233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13286,0,0,0,0,0,0,0,0,0,0,0,1.639,0,0,0,1.733
Gm5646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12508,0,0,0,1.713,0,0,0,1.549,1.026,0,0,4.083,1.012,0,1.01,0
Gm8644,0,0,0,0,1.002,0,0,0,0,0,0,0,0,0,0,0
Amy2-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11475,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gm15821,60.179,140.222,4.074,112.542,8.645,62.344,5.671,87.95,105.345,5.35,70.36,113.032,103.253,65.471,77.001,128.983
Gm11623,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0
Gm14673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12311,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm12470,5,2,0,4,3,2,2,3,3,1,2,1,1,3,1,1
Gm16204,2.026,1.146,4.527,3.239,6.412,5.109,7.016,8.994,3.194,7.483,5.293,8.872,5.331,6.875,4.282,6.579
Gm13331,18.741,22.069,13.544,8.958,23.456,15.192,31.377,0,0,16.146,11.988,16.549,0,0,0,9.681
Gm16200,0,1.011,2.018,1.01,1.007,0,1.005,1.009,0,1.009,1.005,1.009,0,0,0,0
Gm13170,6.156,7.293,0,4.258,0,0,0,2.255,0,0,0,0,0,0,0,2.902
Gm13058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11658,0,0,0,0,1.01,1.032,0,0,2.028,0,1.011,0,1.011,2.032,1.001,0
Gm13325,0,0,3,2,2,5,13,1,0,8,0,0,6,4,5,0
Gm7219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12924,2,2,0,0,1,5,1,0,0,4,0,2,0,1,0,2
Gm14884,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Gm12646,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vmn1r-ps113,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Gm15781,0.824,0,0,0.641,0,0,0,0,0,0,0,0.999,0,0,0,0
Gm15111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc48a1,1027.001,885,2728,1125,3268,1862,3246,1374.001,1661,3518.001,992.001,1230.001,1915.004,1943.001,2317.001,995.001
Gm15193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37832,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rps13-ps8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11990,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gm12538,0,0,0,0,1.099,0,0,0,0,1.086,0,0,0,0,0,0
Gm13940,0,0,0,4,0,1,0,1,1,0,2,2,0,0,0,2
Gm12512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12733,1,0,0,0,0,2,0,0,1,0,1,2,0,0,1,1
Gm13077,0,0,0,0,0,0,0,0,3.073,0,0,0,0,0,1.016,0
Gm14927,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Gm11553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15877,0,2,1,3,0,2,0,1,17,0,0,2,0,1,0,2
Gm14654,81.124,162.732,38.042,104.693,50.845,85.505,49.42,97.187,76.579,60.603,79.447,81.837,95.623,54.468,66.672,86.812
Gm12328,21.685,11.643,18.097,15.404,7.719,10.188,18.307,12.914,25.407,10.418,15.389,22.75,9.406,19.087,17.983,8.729
Ccdc50-ps,0,0,0,0,0,0,1.046,1.052,0,0,0,0,0,0,0,0
Gm6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15778,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.067
Gm5697,20.723,23.14,12.302,25.5,12.125,19.225,26.06,25.298,20.529,21.539,13.273,25.447,24.991,19.011,16.393,22.476
Gm12411,0,12.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12425,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm11575,2.003,1.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13717,10,2,1,5,2,6.004,1,2,9,1,4,7,4.002,1,5,9
Rps12-ps5,6.202,1.014,0,1.02,0,0,0,0,0,0,0,1.16,0,1.569,0,0
Gm13756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14838,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm15032,2,1,0,0,0,0,0,2,1,0,2,1,1,0,2,1
Gm12490,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm12192,2,3,0,2,2,1,0,2,3,1,1,2,3,0,1,2
Gm12125,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Gm14138,0,2.402,0,3.621,0,1.384,0,4.903,2.136,0,4.314,5.371,3.702,4.166,2.738,1.055
Gm15164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14429,36.375,49.385,12.361,30.398,19.21,31.342,23.178,20.254,29.955,15.555,30.75,31.949,31.209,25.522,19.63,24.575
Gm12090,1,0,0,0,0,1,0,3.02,0,0,1,1,0,0,1,2.341
Gm11279,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Gm13455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm12611,1.001,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
Gm11909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm14129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14769,1,1,2,0,1,1,0,1,0,3,0,1,1,0,1,0
Gm12716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12926,1,1,2,4,3,1,0,1,0,2,1,0,0,1,1,0
Gm11544,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Gm14926,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Gm11661,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Gm14353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14413,0,0,0,1.106,0,0,1.13,0,0,0,0,0,0,0,0,0
Gm13440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11936,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Gm11841,11.285,11.417,17.409,5.604,23.93,9.005,6.93,17.081,0,31.585,2.158,9.417,10.637,10.023,17.461,17.65
Gm15467,4.903,0,0,0,0,0,0,2.733,1.869,0,1.575,0,0,1.001,0,1
Gm13036,1,1.024,0,1.001,0,0,0,0,0,0,0,0,0,0,0,1.215
Gm15968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14506,1,0,3,0,1,1,2,0,0,0,2,0,2,0,0,0
Gm8312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12286,19.445,13.647,12.758,15.871,15.436,27.026,14.903,21.224,29.694,11.024,15.876,28.392,8.046,27.001,24.616,22.64
Gm13065,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Gm15369,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0
Gm14681,2781.5,2490.9,283.969,2090.443,326.625,2713.021,247.136,1961.738,2169.055,300.148,2395.231,2629.783,2275.191,2317.873,1317.455,2361.832
Gm11518,3295.932,2751.411,570.164,2908.184,657.078,3909.765,659.881,2906.841,3875.654,642.4,2895.713,3066.713,3447.873,3545.623,2759.638,2417.189
Gm15953,15,10,11,9,4,4,7,10.007,5,3,10.211,9,14.009,10,9,5
Gm9059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15294,5.365,1.13,2.043,1.011,1.093,0,0,2.014,7.426,2.097,6.134,1.105,7.268,4.414,0,1.386
Gm16210,2.059,7.001,1,4,0,1,0,3,4,0,1,5.001,3.001,1,3,2
Gm12939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13651,0,0,0,0,1.417,1.369,0,0,1.371,0,0,1.363,0,0,1.361,1.36
Xlr5e-ps,0,0,0,0,0,0,0,0,0,0,0,0,1.231,0,0,0
Gm12109,2,1,1,5.001,0,4.05,0,0,2.245,1,3,1,1,0,1,0
Gm9436,1,1.001,0,1.001,1,2,1.008,2.146,0,1,4.03,1,2,0,1,2
Gm12539,1,0,3,0,1,3,2,3,0,1,0,1,1,0,0,2
Gm14247,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Rps13-ps7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5033423K11Rik,17,51,0,20,0,5,0,21,4,0,19,30,22,14,17,12
Gm13351,6.249,6.294,3.368,2.705,6.943,5.123,3.707,5.914,5.105,4.786,2.372,2.927,4.194,0,1.02,10.218
Gm14633,1.256,1.261,0,0,0,0,1.271,4.283,5.801,0,1.278,6.916,0,0,1.34,1.687
Gm12793,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm5937,3.984,0,0,3.717,0,2.25,0,2.027,3.044,0,4.726,0,0,0,3.916,2.303
Gm8809,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps12-ps7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Gm14369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13158,0,1.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14804,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Eif3s6-ps1,1.216,0,2.42,1.222,0,3.162,0,0,1.426,0,1.188,1.555,0,0,0,0
Gm11498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12005,2.148,2.029,0,0,0,1,0,1.528,0,0,3.001,3.007,1,0,0,0
Gm11443,0,0,0,0,0,0,0,0,0,0,1.243,0,0,0,0,0
Gm8522,1,1,0,2,0,1,0,1,3,0,1,0,0,0,0,0
Gm15071,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm15901,0,1,2,2,2,1,1,0,0,4,0,1,0,0,0,0
Gm14594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rplp0-ps1,18.695,19.296,2.052,14.296,0,8.234,1.091,5.567,7.284,3.261,12.521,14.81,8.862,6.597,9.529,7.59
Gm9439,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
Gm13532,1017.515,835.928,130.533,669.492,152.878,885.458,114.952,635.854,939.825,190.704,806.762,883.419,830.897,733.3,426.703,761.004
Gm11605,0,1.307,0,0,0,4.564,0,0,0,1.276,0,0,1.314,0,1.263,0
Gm15060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13423,14,8,9,11,19,11,3,6,8,16,4,14,8,7,5,10
Olfr213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16181,12.15,9.903,6.7,8.418,8.21,6.407,3.75,12.602,10.759,12.937,7.377,14.286,15.757,5.455,12.482,12.324
Gm15530,2.209,2.202,2.073,1.23,0,0,0,2.219,2.038,1,1.071,3.45,1.129,2.175,0,1.055
Gm14283,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Gm11354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11246,2.344,0,1.071,1.154,13.667,7.268,3.981,0,0,10.386,0,1.165,1.145,3.213,1.115,0
Gm15466,6.837,2.133,0,6.097,0,5.751,0,2.912,12.024,3.079,4.445,4.706,12.577,3.043,4.643,4.025
Gm12077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14917,3.986,2.33,3,2.306,7.816,1.486,4.081,3.006,2.985,11.217,1,3.496,3,2,1.944,2.984
Gm11787,0,0,0,1.493,0,0,0,0,1.436,0,1.522,0,0,0,0,0
Gm14450,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Gm14098,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Gm11207,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Gm15544,1.001,0,0,0,0,1.002,0,0,0,0,1.001,0,0,0,1,0
Pira1,12.581,17.551,0,36.975,0,36.863,0,26.798,23.908,0,41.832,17.178,23.717,14.056,8.813,19.281
Gm11677,0,0,0,0,0,0,0,0,0,0,0,2.233,0,0,0,0
Gm12883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7869,0,0,0,1.032,0,0,0,0,0,0,0,0,0,0,0,0
Npm3-ps1,1.546,0,0,0,0,1.609,0,1.493,1.501,0,1.546,0,1.499,0,0,0
Gm15697,12.028,6.018,9,9.045,16,10.038,14,13.046,2.002,9,6.027,11.029,12.037,1,8,10.795
Gm13167,2.255,0,0,0,0,2.215,0,0,0,0,2.236,0,0,0,0,1.77
Gm13000,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
Gm14794,0,0,0,0,1.026,1,0,1,0,0,0,0,0,0,0,0
Gm6184,1,3.004,1,2,0,1,1,3.005,5,1,1,3,0,3.689,0,3
Gm12712,5.049,0,1.275,0,0,4.937,5.497,1.243,2.669,0,6.983,2.884,1.57,0,4.011,1.126
Gm11643,0,1,0,0,0,0,0,1,2,1,0,1,0,1.008,0,0
Mdk-ps1,1,1,0,1,0,0,0,1,0,1,3,0,0,1,1,0
Gm12959,3,0,0,0,1,0,0,0,0,4,2,0,1,0,0,1
Gm11874,4,4,0,2,0,0,0,10,4,1,5,6,9,3,6,4
Gm14473,4.005,0,0,0,0,1,0,0,0,0,1,0,1.009,0,0,0
Gm14868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fzd10,12,11,64,37,65,31,80,32,25,59,5,33,44,37,72,19
Rps2-ps13,6.272,1.744,0,4.111,0,9.292,1.864,3.894,7.202,0,6.2,0,8.669,7.932,8.578,7.264
Gm12647,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gm11774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12499,0,0,0,0,0,0,1.032,0,0,0,0,0,0.865,0,0,0
Gm9166,1,0,0,0,0,2.089,0,1,2,0,1,0,1,1,0,1
Gm12317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Gm11965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15971,0,3,3,1,0,0,1,0,0,0,0,0,1,1,0,0
Gm13297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Olfr660-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rpsa-ps5,0,1.097,0,0,0,2.289,0,1.1,0,1.093,0,0,0,0,0,1.096
Gm12717,0,0,2,0,1,2,0,0,1,0,0,2,0,1,1,0
Gm14714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp5k-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6285,0,0,0,1.055,0,0,1.055,3.231,0,0,0,0,0,0,0,1.055
Gm14603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7927,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
Gm11343,0,1.001,1,0,0,0,0,1,0,0,1.001,1,1.001,0,0,0
Gm15022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11785,2,1.998,0.996,0.995,2.117,2.162,0,1.059,0,3.174,2,1.059,1.998,0,0,3.168
Gm12096,4,4.002,3,2,3,2,3,5,1,5,4,5,7,2,0,2
Gm12170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps11-ps3,3.001,3.001,0,2,1,2,0,1,4,3,2,2,2,2.001,1,2
Gm14839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vmn1r-ps106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8261,0,0,0,0,0,0,0,0,1.064,0,0,0,0,0,1.059,0
Gm13726,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Gm12391,1,0,1,0,2,1,0,0,3,1,1,0,0,0,1,0
Gm13882,10.219,3.828,9.007,4.157,2.534,3.657,5.422,8.548,5.263,4.204,11.57,9.735,14.09,7.516,5.704,11.683
Gm11763,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gm15931,12.485,19.373,0,22.943,4.581,24.097,2,18.141,11.423,0,21.229,17.748,35.143,25.277,12.182,7.19
Olfr129,13.14,11.131,11.235,11.486,11.346,15.205,12.447,14.106,17.654,16.301,15.244,8.568,25.818,15.051,8.292,13.407
Gm14930,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Hspa9-ps1,1.002,0,0,1.003,2.006,0,1.001,0,2.008,0,3.008,1.002,0,1.003,2.006,0
Gm13785,8,1,5,3,4,3,2,4,5,7,5,5,5,6,2,9
Calr-ps,1,1,1,3.001,0,4,1,1,1,2,1,0,0,5,0,3
Gm15495,1,1,0,0,1,0,0,2,0,1,0,0,3,1,1,1
Gm12852,6,2,1,4,1,3,3,5,5.008,1,7,10,8,1,1.002,2
Gm12740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14530,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Gm14971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr359-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hmgb1-ps2,4.636,0,0,1.889,0,0,1.969,0,1.988,1.808,4.763,0,9.77,7.881,0,1.793
Mdm4-ps,14.046,10.333,9.037,8.477,6.81,13.727,5.008,5.561,9.977,7.487,10.509,17.8,6.235,8.906,9.048,12.635
Gm14279,0,0,0,1.916,0,0,0,0,0,0,3.218,0,0,0,1.848,0
Gm14106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4911,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm5721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm15549,3,4,1,2,3,2,4,3,3,3,2,2,7,2,1,6
Gm13925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl7a-ps9,1,0,4,2,3,1,0,1,2,2,1,0,1,2,0,1
Gm14870,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Gm12241,0,0,0,0,0,0,0,0,0,1.188,0,0,0,0,0,0
Gm4995,0,0,0,0,0,0,0,0,0,0,0,1.159,0,0,0,0
Gm14251,5,2.003,3,2.005,0,1.922,0,0,2.001,0,0,0,2,1,0,3
Sms-ps,626.745,671.584,0,620.117,32.872,709.172,142.755,537.146,693.85,0,786.814,581.331,474.623,617.407,379.883,630.522
Mup-ps23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm12291,33.817,34.902,53.176,28.466,64.5,54.861,73.592,42.789,44.036,59.296,28.566,50.641,37.181,27.563,40.31,43.565
Gm13798,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Gm11460,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0
Gm6298,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Gm13738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9435,1,1,0,1,0,0,0,0,0,0,1,1,0,1,3,1
Gm14677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210409E12Rik,0,0,0,0,0,0,0,1.074,0,0,0,0,0,2.425,0,0
Gm12067,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Gm12755,0,0,1.362,1.001,0,2.002,0,0,0,1,1.001,0,0,0,0,0
Gm12216,72.999,172.001,20,158.999,20,87,22,146,58,24.999,89,117,145.001,109,122.001,123
Rbpj-ps1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm15381,6.149,12.208,2.043,3.094,0,0,1.024,5.14,9.229,0,4.102,3.079,6.098,0,2.047,6.073
Gm13131,0,1.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8302,0,5.055,0,2.001,0,0,1.001,0,1.189,1,0,2.004,1.012,1,2.005,0
Gm13866,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0
Gm12420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
