,B-cells,CD16- monocytes,CD16+ monocytes,memory.CD4.T.cells,CD8+ T-cells,CD4+ Tcm,memory.CD8.T.cells,effector CD4+ T cells,effector CD8+ T cells,CD4+ Tem,CD8+ Tem,Tgd cells,lymphocytes,memory.B.cells,monocytes,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,NK.cells,NKT,Plasma cells,T cells,pro B-cells,regulatory.T.cells
SUB137309,0.0573,0.1187,0.0115,0.3512,0.1652,0.2163,0.05,0.0085,0.0408,0.0716,0.0357,0.0282,0.859,0.0018,0.131,0.0556,0.0544,0.0386,0.022,0.0237,3.00E-04,0.7181,2.00E-04,0.0302
SUB137312,0.1415,0.1409,0.0048,0.3168,0.0716,0.0634,0.0054,0.0412,0.0166,0.0466,0.0091,0.0062,0.845,0.0056,0.146,0.134,0.1657,0.0404,0.018,0.0036,4.00E-04,0.5307,5.00E-04,0.0201
SUB137314,0.1146,0.1752,0.0127,0.0791,0.1033,0.0229,0.0174,0.0024,0.0271,0.0213,0.041,0.0883,0.81,0.0022,0.188,0.1119,0.0324,0.018,0.0457,0.0772,6.00E-04,0.4738,6.00E-04,0.0067
SUB137315,0.0503,0.3484,0.0176,0.0667,0.1185,0.0227,0.0107,0.0062,0.0615,0.0159,0.0229,0.0209,0.629,0.0022,0.366,0.0461,0.0219,0.0235,0.0047,0.0072,3.00E-04,0.4246,4.00E-04,0.0052
SUB137322,0.1074,0.1134,0.0265,0.3895,0.1194,0.0721,0.0053,0.0421,0.0248,0.0405,0.004,0.0222,0.86,0.0099,0.141,0.0938,0.2352,0.0853,0.013,0.0178,0.0035,0.6785,0.0025,0.0305
SUB137323,0.1403,0.2367,0.0045,0.2466,0.0341,0.1085,0.0064,0.0034,0.0036,0.0311,0.0079,0.0101,0.753,0.0036,0.241,0.136,0.1036,0.0161,0.0595,0.0019,0.0013,0.3788,9.00E-04,0.0151
SUB137325,0.0601,0.1878,0.0083,0.3434,0.1139,0.0821,0.0081,0.028,0.0551,0.0357,0.0171,0.012,0.799,0.0081,0.196,0.0501,0.1974,0.0335,0.0249,0.0225,2.00E-04,0.6088,2.00E-04,0.0239
SUB137326,0.0918,0.3895,0.0035,0.1173,0.0196,0.0472,0.0025,0.0184,0.0074,0.0293,0.0059,0.0045,0.618,0.0024,0.393,0.0895,0.0224,0.0038,0.0052,0.0022,0.0032,0.1811,1.00E-04,0.007
SUB137327,0.1166,0.1712,0.0097,0.1787,0.1197,0.0368,0.0055,0.0272,0.0458,0.0334,0.0214,0.005,0.815,0.0019,0.181,0.1137,0.0813,0.0469,0.0555,0.0102,3.00E-04,0.4157,0,0.0088
SUB137328,0.1732,0.1582,0.0328,0.2109,0.1465,0.0344,0.0076,0.0384,0.073,0.0204,0.0139,0.031,0.794,0.006,0.192,0.1637,0.1177,0.0521,0.0248,0.0472,9.00E-04,0.5034,0.0017,0.0249
SUB137329,0.077,0.1758,0.0054,0.3637,0.1067,0.0906,0.0076,0.0389,0.0341,0.0513,0.0148,0.0156,0.807,0.0073,0.182,0.0664,0.1829,0.0502,0.024,0.0252,6.00E-04,0.6206,7.00E-04,0.0272
SUB137340,0.0899,0.1813,0.0167,0.2012,0.1807,0.0188,0.008,0.0815,0.0826,0.0396,0.0112,0.0224,0.783,0.0131,0.199,0.0765,0.0612,0.079,0.0306,0.0408,8.00E-04,0.5379,7.00E-04,0.0133
SUB137343,0.0358,0.3498,0.0081,0.0858,0.1186,0.0202,0.0076,0.0052,0.0633,0.0282,0.0247,0.0226,0.632,6.00E-04,0.358,0.0351,0.0322,0.0229,0.0917,0.0085,4.00E-04,0.3179,1.00E-04,0.0062
SUB137344,0.0627,0.1258,0.0042,0.2385,0.204,0.0859,0.0698,0.0059,0.0229,0.0213,0.0257,0.0192,0.866,0.0015,0.13,0.0611,0.1257,0.0859,0.0289,0.0099,5.00E-04,0.6625,1.00E-04,0.0104
SUB137354,0.0643,0.1444,0.0076,0.2437,0.1496,0.1177,0.0257,0.005,0.0371,0.0363,0.0476,0.0273,0.844,0.0022,0.152,0.0616,0.0846,0.0393,0.0221,0.0317,0.001,0.6533,5.00E-04,0.0143
SUB137358,0.0335,0.2708,0.0078,0.2275,0.1151,0.1242,0.0246,0.004,0.0432,0.04,0.0184,0.0182,0.655,3.00E-04,0.283,0.0328,0.0594,0.0288,0.0422,0.0319,0.0096,0.5279,3.00E-04,0.0153
SUB137361,0.0319,0.2107,0.0063,0.2023,0.1319,0.021,0.0029,0.0134,0.0625,0.0089,0.0064,0.0106,0.774,8.00E-04,0.217,0.031,0.159,0.06,0.0614,0.0095,0.0044,0.476,1.00E-04,0.0129
SUB137381,0.0744,0.1707,0.0105,0.3739,0.0717,0.1922,0.0177,0.0033,0.0081,0.0516,0.0156,0.0172,0.819,0.0038,0.182,0.0708,0.1264,0.0303,0.0099,0.0129,5.00E-04,0.6347,1.00E-04,0.0193
SUB137383,0.0395,0.2042,0.0128,0.2953,0.0979,0.1491,0.02,0.0064,0.0397,0.0523,0.013,0.0074,0.769,0.0017,0.217,0.0352,0.0874,0.0252,0.0272,0.0138,0.0016,0.5791,1.00E-04,0.0185
SUB137388,0.1081,0.1805,0.0104,0.1839,0.1124,0.0828,0.0137,0.0102,0.0418,0.0359,0.0334,0.0391,0.804,0.0021,0.191,0.105,0.055,0.0235,0.0263,0.0277,7.00E-04,0.5507,0.001,0.0155
SUB137394,0.0934,0.1391,0.0139,0.36,0.0576,0.2228,0.0145,0.0039,0.0218,0.0536,0.0085,0.0126,0.841,8.00E-04,0.153,0.0917,0.0796,0.0128,0.0467,0.0277,0.0111,0.6165,8.00E-04,0.0191
SUB137403,0.0672,0.0969,0.0051,0.2933,0.1064,0.1241,0.0118,0.0064,0.0293,0.0419,0.023,0.0222,0.895,0.0023,0.102,0.0623,0.1208,0.0422,0.0155,0.021,9.00E-04,0.6489,0.0011,0.0121
SUB137407,0.05,0.1876,0.0154,0.359,0.0893,0.2183,0.0167,0.003,0.033,0.0467,0.0209,0.0149,0.79,0.0017,0.203,0.0472,0.0912,0.0187,0.042,0.0317,0.0144,0.6075,6.00E-04,0.0154
SUB137409,0.0794,0.1904,0.0216,0.399,0.0543,0.0455,0.0045,0.0071,0.024,0.016,0.0065,0.0085,0.783,8.00E-04,0.212,0.0771,0.3304,0.0192,0.0206,0.0157,0.0099,0.6037,9.00E-04,0.0208
SUB137411,0.0522,0.1187,0.0078,0.3936,0.0991,0.0298,0.0081,0.0197,0.0405,0.0093,0.0076,0.0098,0.871,0.0022,0.127,0.0487,0.3345,0.0428,0.0202,0.0275,0.0098,0.7343,4.00E-04,0.0276
SUB137412,0.0292,0.2078,0.0102,0.2348,0.2215,0.0916,0.0921,0.0057,0.0261,0.0744,0.0731,0.0212,0.778,9.00E-04,0.218,0.0274,0.0632,0.0303,0.0231,0.0377,0.0046,0.6691,6.00E-04,0.012
SUB137415,0.0612,0.3092,0.0219,0.3213,0.0736,0.1353,0.0124,0.0018,0.0224,0.0235,0.0248,0.0032,0.668,0.0021,0.331,0.0526,0.1606,0.0141,0.0272,0.0176,0.0143,0.5043,0.0021,0.0402
SUB137416,0.1957,0.0963,0.0107,0.3161,0.0401,0.1024,0.0118,0.0139,0.0099,0.0386,0.011,0.0082,0.889,0.0042,0.107,0.1904,0.1612,0.0075,0.0243,0.013,0.0062,0.5645,4.00E-04,0.0126
SUB137419,0.0966,0.0786,0.0039,0.6195,0.0068,0.1059,0.0014,0.0146,0.0022,0.0194,0.0017,0.0082,0.915,7.00E-04,0.0825,0.0954,0.4795,0.0015,0.008,0.0081,0.0043,0.7686,4.00E-04,0.0178
SUB137420,0.0718,0.1474,0.0095,0.3811,0.033,0.1132,0.0042,0.0075,0.0159,0.0296,0.0082,0.013,0.841,4.00E-04,0.157,0.0701,0.2309,0.0046,0.0358,0.0167,0.0146,0.6341,0.0011,0.0194
SUB137423,0.0783,0.1007,0.0101,0.3968,0.1578,0.1901,0.0743,2.00E-04,0.0048,0.0019,0.0038,0.1839,0.884,0.0264,0.115,0.0476,0.2044,0.075,0.0088,0.106,0.0053,0.7735,7.00E-04,0.0087
SUB137426,0.1348,0.2124,0.0116,0.2797,0.0552,0.172,0.016,0.0022,0.0115,0.066,0.0068,0.0141,0.773,0.0017,0.224,0.1312,0.0394,0.0209,0.072,0.0083,0.001,0.3911,0.0014,0.0173
SUB137428,0.0182,0.1875,0.0215,0.1471,0.1678,0.0747,0.0047,0.007,0.1153,0.0382,0.0183,0.0227,0.773,6.00E-04,0.209,0.0168,0.0271,0.0295,0.0716,0.0494,4.00E-04,0.5311,1.00E-04,0.0093
SUB137430,0.0118,0.3686,0.0114,0.2057,0.1081,0.1065,0.0276,0.0055,0.0315,0.0255,0.0133,0.0292,0.618,0.0016,0.38,0.0098,0.0683,0.0358,0.1311,0.021,0.0019,0.3628,1.00E-04,0.0146
SUB137436,0.3207,0.078,0.0067,0.1749,0.1996,0.0848,0.0048,0.0034,0.1575,0.0172,0.0218,0.0033,0.914,0.0197,0.0847,0.2925,0.0694,0.0155,0.0429,0.0131,0.0078,0.5054,9.00E-04,0.0125
SUB137439,0.1234,0.2285,0.0085,0.2659,0.0779,0.1827,0.0362,0.0011,0.0087,0.0359,0.0061,0.0065,0.756,0.0011,0.237,0.1212,0.046,0.027,0.0851,0.0049,0.003,0.406,9.00E-04,0.0159
SUB137440,0.0567,0.103,0.009,0.3811,0.1485,0.0903,0.01,0.0218,0.03,0.0747,0.0163,0.0192,0.815,0.0025,0.112,0.0519,0.1944,0.0922,0.0137,0.038,8.00E-04,0.6781,1.00E-04,0.027
SUB137443,0.1038,0.3311,0.0248,0.1916,0.0412,0.065,0.0094,0.0014,0.0061,0.0106,0.0069,0.0066,0.642,9.00E-04,0.356,0.1018,0.1148,0.0189,0.0922,0.0083,0.0029,0.2921,8.00E-04,0.0136
SUB137445,0.0711,0.2535,0.0212,0.1732,0.198,0.0845,0.0088,0.0154,0.0402,0.0208,0.0021,0.0042,0.724,0.0017,0.275,0.0685,0.0527,0.1469,0.1106,0.0357,0.0031,0.4134,6.00E-04,0.0129
SUB137448,0.0502,0.2152,0.0078,0.3275,0.0725,0.1831,0.0186,0.0014,0.0201,0.0319,0.0112,0.0086,0.775,0.0024,0.223,0.046,0.111,0.0226,0.0556,0.0109,0.0019,0.4619,9.00E-04,0.017
SUB137452,0.1129,0.1599,0.0061,0.3506,0.1897,0.1756,0.0069,0.003,0.1261,0.0505,0.0159,0.0093,0.81,0.0012,0.166,0.1103,0.1213,0.0408,0.0263,0.0464,0.0021,0.5873,0.001,0.0163
SUB137455,0.2056,0.1291,0.0079,0.2847,0.061,0.1153,0.0135,0.002,0.0112,0.013,0.0065,0.0117,0.863,0.0113,0.137,0.191,0.1546,0.0298,0.1234,0.005,0.0024,0.3858,3.00E-04,0.0123
SUB137456,0.0334,0.0953,0.0046,0.4727,0.0816,0.1522,0.0118,0.0164,0.0288,0.0638,0.0154,0.0092,0.896,5.00E-04,0.1,0.0317,0.2406,0.0257,0.0133,0.0118,0.001,0.7491,4.00E-04,0.0264
SUB137469,0.0926,0.1066,0.0054,0.2761,0.2921,0.101,0.033,0.0194,0.0716,0.0527,0.0284,0.0123,0.887,0.0017,0.112,0.0875,0.103,0.1589,0.0177,0.0503,0.0023,0.6972,6.00E-04,0.0234
SUB137479,0.1724,0.1003,0.0068,0.3761,0.0569,0.1546,0.0106,0.0033,0.0132,0.0208,0.0166,0.0192,0.891,0.0022,0.107,0.1688,0.1974,0.0166,0.1054,0.012,0.002,0.4909,8.00E-04,0.0193
SUB137486,0.0413,0.1242,0.0118,0.433,0.2307,0.0849,0.0275,0.0128,0.0188,0.0176,0.0109,0.0067,0.862,0.0037,0.136,0.0368,0.3174,0.1735,0.0346,0.0159,8.00E-04,0.7491,5.00E-04,0.0158
SUB137493,0.0533,0.0848,0.0033,0.4652,0.1371,0.0861,0.01,0.0276,0.0215,0.0507,0.0134,0.0088,0.909,0.0015,0.0881,0.0504,0.301,0.0922,0.0293,0.0133,0.0016,0.7408,1.00E-04,0.0169
SUB137584,0.0427,0.3317,0.0255,0.2683,0.073,0.0671,0.0019,0.003,0.0561,0.0214,0.004,0.0159,0.643,6.00E-04,0.357,0.041,0.1768,0.0109,0.1214,0.0343,0.0022,0.4218,9.00E-04,0.0341
SUB137600,0.0977,0.0357,0.0028,0.3798,0.1796,0.0942,0.0198,0.0111,0.0156,0.0361,0.0135,0.0092,0.961,0.0105,0.0385,0.0804,0.2385,0.1308,0.028,0.0121,0.0027,0.7332,7.00E-04,0.0169
SUB137601,0.0678,0.3097,0.0092,0.3078,0.032,0.1293,0.0027,0.0062,0.0182,0.0275,0.0032,0.0237,0.677,0.0124,0.319,0.0545,0.145,0.0079,0.1019,0.0228,8.00E-04,0.4109,3.00E-04,0.0242
