,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD4+ memory T-cells,CD4+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,CD8+ naive T-cells,CLP,CMP,Chondrocytes,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,HSC,Hepatocytes,Keratinocytes,MEP,MPP,MSC,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,Mesangial cells,Monocytes,Myocytes,NK cells,NKT,Neurons,Neutrophils,Osteoblast,Pericytes,Plasma cells,Platelets,Preadipocytes,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs,ly Endothelial cells,mv Endothelial cells,naive B-cells,pro B-cells
26,,,,wrap53aldob,,,ccr9,,jak3,mtrf1,,,,,,,anxa5,fam124b,,lama3sox15,slc4a1,,gstm5,,,,hnrnpab,tie1,znf408,,,atp6v1c1,,,,,,hic1lilra1tlr7c3ar1,map3k7hrc,tbx21,,,,,ksr1,,,morf4l2,,,atp5g1,,,,,,ccng1,,foxm1
27,,,,dennd1a,,,esyt1,,mak,ring1,,,,,,,atp1b3cxcr3ccl18,,,rab25,,,eno1,,,,prg2,vpreb3fcer1a,scamp3,,,fkbp15,,,,,,trem1cd33,cav3,ltaarpc5l,,,,,ctbp1,,,sned1,,,rnf7,,,,,,rala,,fgf8
28,,,,grk6,,,klrb1trappc2l,,rbms1,klrg1,,,,,,,s100a10ptgirblvra,,,,,,cxcl9,,,,ryr3epcam,,,,,tpp1,,,,,,hif1a,,cd160,,,,,adamts12,,,,,,hoxa3,,,,,,vwfcd9,,
29,,,,c11orf16efna2,,,ccr4,,rnf216,sstr3crtam,,,,,,,hla-dqa1xiap,,,,,,,,,,acdung,,,,,fhslc31a1,,,,,,vnn3sh3bp2,,,,,,,s1pr2,,,,,,atp5j,,,,,,cox4i1,,
30,,,,gtf3c1,,,dynlt1,,haus3vps52,hnrnpl,,,,,,,sct,,,,,,,,,,itga2b,,,,,pqlc2,,,,,,lilrb2,,,,,,,adamtsl2,,,,,,cisd1,,,,,,hyal2,,
31,,,,derl2,,,sit1,,plxdc1,,,,,,,,kcna5,,,,,,,,,,stil,,,,,myo15a,,,,,,capn3mnda,,,,,,,dnajc4,,,,,,arhgap6,,,,,,,,
32,,,,apof,,,ltk,,traf1,,,,,,,,,,,,,,,,,,,,,,,pde1b,,,,,,slc11a1,,,,,,,mapk3,,,,,,fgf7,,,,,,,,
33,,,,poldip3,,,,,rpa3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms4a6a,,,,,,,,,,,,,uso1,,,,,,,,
34,,,,tmem212,,,,,plcl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,gpr3,,,,,cdk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,ankrd55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,plcg1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,rplp2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
