,Bcells,CD4_Tcells,CD8_Tcells,NKcells
LOC100505718,0,0.150966129,0.005041999,0
LOC100505738,0.433531368,2.450546255,0.585076207,0
LOC100505761,49.6872646,42.18203876,22.85840434,36.5432315
LOC100505768,0,0,0,0
LOC100505776,6.053408196,8.163786893,8.739369803,5.711425031
LOC100505782,0,0.007757888,0.004948659,0.101615798
LOC100505783,17.74648821,8.988289484,10.38426381,30.01676848
LOC100505795,0,0,0.092787823,0
LOC100505806,0,0,0.035741524,0.080002564
LOC100505812,12.05628559,31.44092747,21.84605524,24.52148099
LOC100505817,2.95128888,4.098081355,1.972211095,1.726460731
LOC100505835,0.053707382,0.06600003,0.69232708,0
LOC100505839,0.104026205,0.656246953,0.294869521,0.058066787
LOC100505841,0,0,0.063229055,0
LOC100505865,10.22690649,11.09220301,2.342079214,15.17287292
LOC100505875,0,0,0.468095634,0
LOC100505876,28.77044048,28.71300826,32.91614058,42.36688248
LOC100505912,0,0.064967702,0.864964294,1.094561753
LOC100505918,0,0.019757711,0.172438254,0
LOC100505933,0,0.183758332,0.035902694,0
LOC100505964,0,0.802719621,0.0749349,0
LOC100505978,0,0.109029559,0.199017266,0
LOC100505989,9.169823907,15.54048642,16.8507472,20.27379846
LOC100506013,0.351597992,0.537495077,0.846079402,0.26677979
LOC100506023,12.3329223,13.99099486,18.61527039,8.983297252
LOC100506025,0,0.327278407,0.490066608,0
LOC100506035,2.217481594,3.647894164,3.296108661,1.804244083
LOC100506050,0.133377685,0.442308043,0.444129367,0.341299742
LOC100506054,27.21718665,7.517808909,5.276047448,0
LOC100506060,20.12519371,25.85318962,23.66655365,17.36967557
LOC100506071,1.088662555,0.505130508,1.022770747,0
LOC100506082,0,0,0.19828384,0
LOC100506083,9.401873046,17.75405445,18.9344652,15.50793598
LOC100506085,4.35621813,4.954456957,6.367682196,5.965662299
LOC100506100,0,9.679846457,11.29287829,17.10829544
LOC100506122,0,0.313808651,0.040134033,0
LOC100506123,11.15779657,25.99455191,31.85687199,32.64234246
LOC100506124,0.452854784,1.000944231,1.043271617,0
LOC100506134,0,0,0.556000032,0
LOC100506136,0,0.369101107,0.119152882,0.718111841
LOC100506172,0,0.170483629,1.425672955,0.228712581
LOC100506178,1.157972527,0.115573703,0,0
LOC100506190,41.01427554,67.28907724,66.31715512,47.56038164
LOC100506195,1.848137959,0.021696126,0.07324655,2.138792801
LOC100506207,4.110597204,1.731604958,1.825577494,0.263550671
LOC100506229,0,0.719821842,0.31683993,0
LOC100506233,27.8691566,8.79369252,12.73210375,2.60546449
LOC100506241,12.61297658,20.78149442,18.85027019,21.3689342
LOC100506274,0,0,1.696022374,0
LOC100506305,20.27561404,25.15081247,24.89543117,10.97308424
LOC100506314,0,0,1.403012922,0.883285147
LOC100506321,0.514649879,1.144966262,1.415849401,0.066128658
LOC100506343,0,0,0.071456827,0
LOC100506368,0,0,0.044989868,0
LOC100506384,0,0,0.032097764,0
LOC100506385,34.51997177,33.17081355,41.58829184,40.7435596
LOC100506388,0,0,0.963876627,0
LOC100506393,0,0,0,0
LOC100506394,8.270093942,11.67021356,10.59636274,12.51035134
LOC100506403,0,2.124472279,0.008589969,0
LOC100506421,3.44484643,2.306860742,2.284724801,11.29872391
LOC100506422,0.288860837,0.385447501,0.33437498,0
LOC100506451,0,0.557109345,0.475621569,0
LOC100506469,27.95601729,18.54185123,17.69387735,11.0560675
LOC100506472,5.441848477,12.04144775,10.29375217,6.682152329
LOC100506474,0,0.456069985,0,0
LOC100506497,0.015483475,0.567347565,0.230889606,0.017419511
LOC100506548,7.803910597,19.61126302,13.99056245,4.442297519
LOC100506585,0,0.041090946,0.536282365,0
LOC100506599,1.535074178,2.118602984,4.39671661,2.19065915
LOC100506655,0,0.174911012,0.608865263,1.761324664
LOC100506668,0,0.57252597,4.342585196,0
LOC100506688,17.10991607,29.90272064,35.27656247,22.85938645
LOC100506710,193.9167519,65.18201629,52.84349885,93.14400686
LOC100506713,7.707307524,3.70819006,5.039719443,0.863564039
LOC100506714,10.72589301,5.361598477,9.252896231,18.38765035
LOC100506730,3.730897458,5.674049251,5.56296849,7.471863767
LOC100506746,22.39925785,34.47144398,28.20926783,39.49806579
LOC100506776,3.255321614,24.53780343,41.17043405,29.30841885
LOC100506795,0.058222336,0.959538059,0.243194089,0
LOC100506801,1.485207387,8.085393567,5.284254657,15.59161411
LOC100506804,1.7348008,0,0.24237961,0
LOC100506810,0,5.180177202,0.062824334,1.128703047
LOC100506834,2.964687142,4.683172512,5.308248219,5.380093448
LOC100506844,42.58411529,5.523533003,7.038915852,46.77321726
LOC100506874,0.82688839,1.880557636,1.238175118,1.079086379
LOC100506895,0.205654765,0,0.380961459,0
LOC100506963,1.981824636,9.95291598,8.293614083,0
LOC100506990,16.42201085,51.54476338,30.47232462,50.78923213
LOC100507003,0,0.058303763,0.019367906,0
LOC100507032,9.776413897,5.409816726,6.399150579,9.000287476
LOC100507053,0.701577134,2.182123999,0.518520383,0
LOC100507066,0,0.173831901,0.213233524,0
LOC100507091,0,1.603929101,0.515088967,0
LOC100507117,19.73431592,9.661596644,11.3100286,9.369949814
LOC100507118,4.799867861,0.339877166,0.172701604,4.126923643
LOC100507140,0,0.228538353,1.673027797,0
LOC100507156,2.600002155,4.676164121,5.952697552,2.222627796
LOC100507173,25.63110914,33.42438168,35.06517714,29.70804446
LOC100507194,0,0.214844513,0.175656902,0
LOC100507205,0,0,0,0
LOC100507206,3.265624227,4.269258326,3.219997047,0
LOC100507217,22.4137661,36.8636232,35.39070009,11.9000786
LOC100507244,0,0.072791902,0,0.306136198
LOC100507250,0,0,5.059946982,8.185214921
LOC100507254,8.011338577,0,0.084282729,0
LOC100507266,6.728350694,3.058184281,1.015718524,0
LOC100507299,0.965142268,0.099879043,1.252512046,0
LOC100507300,0,0.238852971,1.90455621,0
LOC100507334,0,0,0,0
LOC100507346,0,0,0.312457262,0.90777525
LOC100507351,0.128377457,1.074766241,0.221805056,0.070001396
LOC100507362,0,0.021151497,0.604435051,0
LOC100507373,1.739073283,3.591160709,4.345517406,5.364916045
LOC100507377,0.612699484,0.478962519,0.401252157,0
LOC100507384,0,0,0,0
LOC100507387,1.094147124,2.837975012,0.404306678,0
LOC100507389,0.066126406,0.05951534,0.210948157,0
LOC100507391,0,0.410246621,0.050604663,0
LOC100507410,0,0,0.06967712,0
LOC100507424,31.35881927,6.582485341,12.27430469,0.809409022
LOC100507433,2.141729134,0.698721875,4.297770279,0.071936624
LOC100507443,0,0,0,0
LOC100507462,0.743700129,0.368613815,0.83686225,0.939380054
LOC100507463,181.0747763,157.1727061,220.3041502,147.3029485
LOC100507472,0,0,0.038344994,0
LOC100507489,0.211587284,0,0.058613975,0
LOC100507501,14.78941955,15.42532034,17.7941016,12.25222397
LOC100507537,0.165964897,2.562813973,1.160947241,0.015161563
LOC100507547,0,0,1.524928136,23.2064832
LOC100507557,15.61832445,5.071866422,6.623123396,10.62132766
LOC100507564,1.213178598,0.099329996,0.166700326,0
LOC100507577,27.25773653,26.1500043,16.98992984,15.77359989
LOC100507584,1.349941401,1.698864331,1.975492951,3.90657471
LOC100507600,4.731887663,2.626403698,6.170435535,0
LOC100507632,0,0.02242964,0.099989087,0
LOC100507634,4.049464725,2.530675546,3.343880628,0
LOC100507651,0.403678397,0.257212529,0.937724089,0.096777714
LOC100508120,5.824715641,3.990491958,6.034850902,2.088454459
LOC100527964,0,0.696616013,1.826373306,1.044535124
LOC100616530,6.24124422,0.364965947,0.062798957,0
LOC100630918,2.640092257,0,11.18325637,0
LOC100630923,0,1.179631628,2.605132743,0.108387602
LOC100631378,0,0.210611655,0.089798821,0
LOC100652739,0,0.411086007,0.050199107,0
LOC100652768,0,5.395822133,8.944221264,1.032567227
LOC100652770,0,0,0.162613486,3.153940432
LOC100652772,17.25579457,18.57572382,19.38388503,64.99991357
LOC100652791,0,0,0.220169249,0
LOC100652909,0,0.515087392,0.606083235,1.04715048
LOC100652999,21.73010359,10.26255745,8.454682141,0.812928386
LOC100653515,0,0.089333338,0.607177444,0
LOC100862671,12.41082942,6.470560979,6.89568414,13.03498847
LOC100873065,0,0,0,0
LOC100996291,9.350518647,8.201155902,11.06375823,9.575756312
LOC100996307,0,6.143245954,0.571999919,0
LOC100996455,2.965154066,6.360765401,4.210776327,5.562323635
LOC101054525,0,0,0.321764267,0
LOC101055625,0,3.170411558,9.731677049,3.948030614
LOC101059948,0,0,0.597807874,0
LOC101101776,0.902565175,2.757164373,1.601132556,1.004859413
LOC113230,0,0.837367901,0.211065997,0
LOC115110,5.456117822,3.501892643,10.90866005,2.681414097
LOC116437,0,1.567913604,0.039252332,0
LOC143666,7.176778308,13.71330412,11.06191814,24.67762012
LOC144486,0.446566076,0.183147527,1.490544305,0.045485309
LOC144742,3.909136082,4.028865124,3.138567803,3.596249779
LOC145474,3.644549998,1.210951945,14.0658059,0
LOC145783,0,4.784662952,1.709889441,0
LOC145820,9.753867577,11.4781048,14.92374505,11.07109669
LOC145837,0,0,0.00316239,0
LOC145845,0,0,0.301893194,0
LOC146481,0.064189317,0.063513806,0.145054318,0
LOC146513,0,0,0.127653396,0
LOC146880,2.827389197,3.01670437,8.545335242,0.66227855
LOC147093,0,0.05551538,0.11597346,0
LOC147646,0,0,0.217231814,0
LOC148145,3.914570675,0.260607121,1.233578756,0.119681837
LOC148413,26.1542922,12.66521169,47.90357736,0
LOC148696,2.614449086,2.310702138,1.047150498,0
LOC148709,1.14541568,1.250937864,1.972113512,2.390416473
LOC149086,0,0.473209399,0.011466829,0
LOC149134,0,0,0.013053523,0
LOC149373,0,0,0.441255735,0
LOC149950,0,0,0.022816692,0
LOC150185,0,0,0.127170518,0
LOC150197,0,0.461177118,0.633216171,0.310976954
LOC150381,11.12122555,3.76391237,3.401772534,3.992123175
LOC150568,0,0,0.074899456,0
LOC150622,1.0312392,0.919217743,1.357864769,0.734861017
LOC150776,15.68943885,8.148590538,19.08295995,41.98571558
LOC150935,11.8737718,7.945001498,6.399082417,7.832798456
LOC151009,2.869061633,0.17562896,0.618922771,0.059032661
LOC151171,0,0.692650833,1.007751637,0
LOC151174,0.521274349,4.777820765,1.220278213,2.033284845
LOC151475,13.01492797,16.19887128,19.24236775,11.84804057
LOC151484,0,0,0.232697198,0
LOC152217,118.0367102,91.43474843,54.20927484,144.7379482
LOC152225,0.198698662,0.266240719,3.096720405,0.150968332
LOC152578,0,0.593961391,0.01400292,0
LOC152742,0,0.338973968,0.229293042,0
LOC153684,0.352218871,14.68272175,10.48350889,0.102904789
LOC153910,0.166924606,0.035938833,0.062395943,0
LOC154092,1.517510579,3.93134681,4.273859665,4.291301569
LOC154449,0,0.068785026,0.154306013,0
LOC154761,13.70033413,58.74291086,61.69834082,0
LOC154872,0,0,0,0
LOC155060,12.45959932,5.359470509,4.85002976,3.147247345
LOC157273,7.673475787,6.979113923,4.866171134,2.378491249
LOC157381,1.239772387,0.937136932,0.707915853,0.189038255
LOC158376,0,0,0.151175574,0
LOC158434,0.125962222,0.095481808,0.308344137,0
LOC158435,2.96824858,2.381574835,4.110664534,1.988145862
LOC158572,0,0,0.020442959,0
LOC158696,9.138899244,11.40682207,11.79979125,11.04804042
LOC1720,0,0.479462699,0.406899452,0
LOC200726,0,0,0.31400327,0
LOC200772,0,0,0.005117255,0
LOC201617,0,0.411471462,0.036175985,0
LOC201651,0,0,0.022295071,0
LOC202181,49.41618287,13.73663631,24.03681575,15.18841388
LOC202781,34.43193424,6.457876403,19.79757642,19.19525398
LOC220729,45.79637531,26.17077731,23.82171107,11.0153133
LOC221122,0.099666942,0.518367181,1.846766846,0
LOC253039,8.560572825,19.77882988,27.42337816,12.10530112
LOC253044,0,0.946638086,0.044140934,0
LOC253573,0,0,0.190185038,0
LOC254099,0,5.531012192,0,0
LOC254100,1.123754037,6.159955988,6.370775837,0
LOC254128,16.07082365,17.60613975,23.80324297,0.846178002
LOC254559,0.537704129,2.108281522,7.806406736,0
LOC254896,0.226117107,0.272056766,0.693177844,0
LOC255025,0,0.141460991,0,0
LOC255130,0,0.131398352,0.008841052,0
LOC255167,0.261762668,0.498250934,0.402031017,0.08451619
LOC255411,0,0.146122623,0.362875273,0
LOC255512,1.994580777,1.715941158,3.183357946,1.980001561
LOC255654,0.125802211,0.777450353,0.753980048,0
LOC256021,0,8.008368073,6.503686554,0
LOC256880,5.289375103,6.820397605,6.282883875,18.16903511
LOC257358,0,5.790104011,1.625163858,0
LOC257396,18.96977845,20.10226735,16.11732239,20.36575068
LOC282997,18.78160702,20.72184705,18.38529355,13.37076186
LOC283038,0,1.634843437,0.507515375,0
LOC283070,9.177921295,12.01317907,3.931743973,7.869831406
LOC283143,0.529001982,0.371284613,1.59961623,1.539388593
LOC283174,0,0.099817973,0.962550992,0
LOC283177,0.944786748,1.525957616,0.859502228,5.248027357
LOC283194,2.939449219,0.479337622,0.226797096,0.570985964
LOC283214,0.162581458,0.170364623,0.309652943,0
LOC283299,10.26157845,11.38606229,13.30070293,12.45957592
LOC283332,0.983324167,0.562747021,0.29429528,0
LOC283335,10.8896457,12.55667037,12.20426195,13.31456842
LOC283403,0,0,0.247261597,0
LOC283440,0,0.480174084,0.011746478,0
LOC283585,1.693906018,1.224726981,1.309159452,0.491949844
LOC283587,0,0.662477964,0.244076622,0.293548634
LOC283663,143.2939537,10.22289397,10.96604975,19.53722582
LOC283683,12.12308835,6.775011712,6.311093784,13.08403182
LOC283688,2.237272161,2.446759011,2.704522817,0.533562763
LOC283692,0,0,0.002506912,0
LOC283693,20.96204123,22.92757779,23.8064278,16.33090766
LOC283710,37.96507872,0.149153705,0.041469275,0
LOC283731,6.037166792,7.625806826,7.913746661,4.21984433
LOC283761,0,0.307818981,0.169241511,0
LOC283856,1.152350613,0.93108277,0.863899939,2.690651604
LOC283867,0,0.109449091,0.101331437,0
LOC283914,2.484740592,4.094860456,3.75635034,12.06712646
LOC283922,14.42470769,15.92201977,15.54682901,11.41043465
LOC284009,1.621140778,1.179361497,1.082338696,0
LOC284023,46.85270724,62.88146552,72.69867303,72.44265768
LOC284080,0,0.200662368,1.027219755,0
LOC284100,0,0.069161287,0.666197706,0
LOC284260,10.74230034,13.15450194,15.36162395,11.68009507
LOC284276,5.224737565,6.237624998,8.225129806,16.1677971
LOC284294,0.152252471,0,0.059258239,0.042905166
LOC284344,0.161288741,0.605394823,0.47630533,0.270009891
LOC284379,19.92385067,28.44593958,28.5466054,33.46342951
LOC284385,3.436548251,12.34573143,4.804386152,5.727987532
LOC284395,0.31240064,0.383269291,0.200995353,0.223234045
LOC284412,11.88412443,8.006031581,6.807611201,6.945381828
LOC284454,64.61291515,204.0125323,215.4807821,339.0669636
LOC284551,12.95435316,17.69207905,15.69685329,11.31157122
LOC284578,3.324527551,5.142264029,5.062775472,3.302323406
LOC284581,14.77158437,11.01446462,11.47655013,41.32578128
LOC284632,0.174507365,0.684549388,1.342647364,0
LOC284648,0,0.07830236,0.217455327,0
LOC284661,0,0.234970983,0.376115828,0
LOC284688,0,0.052424876,0.321703784,0
LOC284751,0,4.279748828,0.048020923,0
LOC284757,0.995737504,2.915268079,3.809819276,8.20865465
LOC284788,0.922563306,0,0.197091795,0
LOC284798,9.843118733,0,0.159410436,0
LOC284801,0,0.125333572,0.833675393,0.165484383
LOC284837,0.82365296,0.056545565,0.448067308,0
LOC284865,6.073694617,13.77221557,11.88530569,11.05935425
LOC284889,0.448539113,0.912902624,0.888349123,3.323332475
LOC284933,0,0,0.103129943,1.023219189
LOC284950,17.44958384,21.72938688,26.26695065,22.58451128
LOC284998,0,0,0.002780364,0
LOC285000,0.197244569,0.02703076,0.083665762,0
LOC285033,10.44916286,10.17162691,3.092098299,3.509769266
LOC285074,8.315009715,17.66785859,22.52301261,32.47712721
LOC285084,0,0.002060624,0.029725264,0
LOC285419,0,0,0.026074176,0
LOC285441,0.689359941,0.074363904,0.113992102,0
LOC285484,0,0,0.728852003,0
LOC285501,0.684654245,0.831487949,0.737241876,1.636780963
LOC285540,5.708110018,5.926699642,7.237681585,11.45291989
LOC285547,0,0,0.003987601,0
LOC285548,0,0,0.107049621,0
LOC285577,0,0,0.535958618,0
LOC285593,0,0.652251299,0.141591553,0
LOC285626,0.826232386,0.153515443,0.309534371,0
LOC285627,0,0,0.008443587,0
LOC285629,0.231765742,0.649285759,0.296402679,0.666135672
LOC285692,0.065481645,0.283750777,0.560258674,0.124521535
LOC285696,8.662143267,15.69787227,13.07346855,11.53401175
LOC285740,0.144837291,25.0828774,30.14362206,0
LOC285758,2.248780749,2.340235192,2.277169921,0.736471843
LOC285762,2.493018645,1.28799577,1.844564818,0.542919534
LOC285768,0,0,0.108013123,0
LOC285819,0,1.671345767,0.599159284,0
LOC285847,0.057738486,0.751012998,0.288030953,0.585791498
LOC285878,0,0,0.456544615,0
