gene,memory.CD8.T.cells,naive.CD8.T.cells,naive.CD4.T.cells,memory.CD4.T.cells,regulatory.T.cells,naive.B.cells,memory.B.cells
FOSL2,907.5982473765542,134.18819347720085,437.60284039879735,101.35222323622318,134.18819347720085,56.49895903732723,57.99044253746645
FOXA1,74.7358916959748,86.69886885359334,75.63205766284521,58.80377654304483,93.99833923312192,91.54017375933851,73.13788072047336
FOXA2,92.71093118428483,84.12769827943703,66.68978453251115,63.70740414364611,104.73714563301405,86.69886885359334,88.28461562035196
FOXA3,58.52690186458445,67.49531136626355,54.034191905143885,44.061996672600046,78.04279130962047,63.18964202876551,60.20791111907313
FOXB1,437.4315302521906,437.7479102453469,84.64163876968254,79.9374574539128,76.6220246060383,84.67486109653227,93.8390754630137
FOXB2,162.00026832432033,167.31626474648286,105.74445545031064,108.28121393997256,202.75822844289704,181.52093623089027,194.11374810250132
FOXC1,133.3481868121135,144.83265996311044,84.02086981681518,86.06211651574365,163.24825148905282,175.16980309518053,162.71616310026798
FOXC2,145.24261018708836,154.1926523191828,78.02573515255862,71.76595502376482,193.42517087948832,189.0900536563868,212.6971749441378
FOXD1,81.88051920881264,91.3248155307613,54.288393588699186,41.389746454886115,46.73224271260944,55.43458328225991,64.24249592700494
FOXD2,25.863268923377355,30.63918838719846,33.712792485670995,36.4187327492155,57.77870674820752,49.752077678524984,53.793442115718484
FOXD3,56.959072308572324,66.26501153800217,37.81774132119218,35.33076140517978,37.404843949665704,44.254052413639,50.329108799997265
FOXD4L1,51.27872599908857,50.797179673528106,53.97278376024716,51.0864893102618,67.31649048049943,59.627711027020254,62.21489220692827
FOXD4L6,68.34090089153715,69.40570797315719,58.69267855289052,54.45322661907296,70.97710786106025,75.35876413374878,77.32741350059159
FOXE1,76.9305774557379,90.46653140252238,42.2381368347422,32.04423913125762,38.372234314524455,79.50081465747438,79.23054531228345
FOXE3,244.81920792394325,282.0546800014566,103.38857407395282,95.26737485259363,134.18819347720085,298.59358250506233,273.7074361822643
FOXF1,9.686070577610893,12.380927842702407,33.71712977841566,27.909081527148096,48.4695706029337,45.31992350526548,46.26097642322337
FOXF2,44.854115077092146,70.78033066040511,36.4209993147726,27.974273624483725,31.207247901556006,56.35801897210363,60.123889622506695
FOXG1,51.39898193433631,67.31649048049943,28.237515062456826,30.268202972799223,58.48450477365106,60.277358129532885,62.60284634971307
FOXH1,55.286027266725576,62.23313656939422,66.40465629027663,46.26097642322337,114.34712676625823,80.00140833101122,80.08795322240896
FOXI1,62.30132578185472,45.74307364089412,57.95182252150979,72.59516508766556,104.73714563301405,86.13134430764858,88.77926930859917
FOXI2,66.36014976991952,85.43299360799377,73.38642764698947,67.80114886226825,131.65180706286847,136.82109567902324,141.62106117214648
FOXJ1,40.195258153639216,78.52481252567846,46.21805521135924,47.483483797100746,51.63941358304113,59.05133496051922,55.3506142271583
FOXJ2,469.9337676064436,419.72407685776534,319.28595446904404,409.9377057791898,205.35641110259357,307.6054105396862,289.871518894431
FOXJ3,985.9376735936914,1085.988961908973,1104.7051900234378,2591.4744917013263,783.2512777083211,1141.2523661287717,1005.7097595886167
FOXK1,671.8004788702256,511.3744547911809,215.48423337658798,303.4697833958159,107.19563364857234,345.211308244029,284.6813401523594
FOXK2,339.15481566657854,268.2678849238794,487.50837714704284,283.33364913531415,388.3029360311356,378.87392816930594,363.2425077376816
FOXL1,54.9852641720316,72.43847737419021,51.82798378617985,51.10089792117357,90.11184919757314,74.86061435862405,78.26765541537566
FOXL2,25.501818850053194,42.36534669925033,35.35603872999694,34.897437745631294,52.593602432977875,77.84410371532582,79.37952018525684
FOXM1,48.870344008565944,37.99518118535558,739.8538648724613,36.78835739814299,193.42517087948832,28.80832490056929,29.224655674407135
FOXN1,48.204266665031994,46.75655875601142,23.0636562691111,29.39781525257174,40.77532316276778,36.951537241723976,37.991508645089716
FOXN2,334.1365048516728,336.6705690419747,267.4013853070235,543.9541860500254,338.7839767424025,534.2903554189651,564.8979847509887
FOXN3,505.87083605245914,632.6156928240196,538.4479939934187,641.8515817245423,408.89193278662384,1124.7090564359753,888.3814022448931
FOXN3-AS2,13.286813518344529,16.081564994813267,27.1013167636773,32.94352516212215,109.43232818482772,26.000508598265686,23.829299772313856
FOXN4,112.0375092050033,113.1739156406187,55.35977584031377,71.87206142131596,123.97741816536232,64.96758935949491,70.7034288133754
FOXO1,2514.368442492204,3132.3783132700164,399.52274025769117,529.3370356593093,463.63244491868323,1673.1109553206684,971.9200153941176
FOXO3,564.7275936914363,553.6684905889296,212.66415777774324,493.7395559516141,173.52682635678005,647.8686605620106,537.3953808136797
FOXO4,226.45615631818802,188.9091432951338,86.17614807953518,260.21126920973165,139.92973562916887,195.44900325809644,184.2624793774061
