gene,T.cells,memory.B.cells,naive.B.cells
CRTC3,318.1217090537013,71.40865717247631,244.19166258960868
CRX,12.811367309860472,11.555204229146435,11.35930343120169
CRY1,58.42138210209608,37.70970168552521,20.037883171285348
CRY2,74.61274008103258,81.68541477516688,67.20595199647913
CRYAA,21.340803369633914,12.235204244130538,13.614271867310208
CRYAB,59.67867752244512,55.22313048126251,31.410052507161595
CRYBA1,6.835666349178525,7.45151508894688,5.97557363612717
CRYBA2,8.044612207825503,8.187599898695115,9.788022546344273
CRYBA4,11.565306885684228,16.12062932072847,13.745576649279892
CRYBB1,14.940095180159453,25.2096416209241,18.66471546665389
CRYBB2,28.194553871401578,37.93032852711554,32.64017139384012
CRYBB2P1,18.113498367281142,13.189870711799669,20.998114143032595
CRYBB3,33.07269130911097,24.06501659318016,34.33243335127748
CRYBG3,29.239629198923833,40.44746479317114,33.69577436706246
CRYGA,11.837253153280479,10.788327346777725,15.53576575843537
CRYGB,25.224595955882776,20.228039721384263,25.217959120902467
CRYGC,12.264780930009346,11.334859277831583,12.881443027957843
CRYGD,44.4836788217379,33.170011369523976,29.92119697125035
CRYGEP,20.465370961292418,14.654010905503474,18.147063584274083
CRYGN,7.685372564103524,8.219059998248714,11.927596327821158
CRYGS,29.900007895037348,24.801725716758185,23.22681469700132
CRYL1,50.032662814588186,54.044139119062585,39.35903305931719
CRYM,36.895394962191716,67.77097076354188,47.74265408538424
CRYZ,114.57023634481276,364.66514303429466,227.16863316702086
