Symbol,B.cells,CD4.T.cells,CD8.T.cells,monocytic.lineage,NK.cells,neutrophils,endothelial.cells,fibroblasts
TMEM194A,18.685835520187,16.64729795340938,19.004944072691867,15.651032167654208,20.77281342901195,19.877675490787954,41.85998,88.0
TMEM194B,20.587648215371228,22.135606016893487,22.303228213095554,18.127563428043324,23.11210313110963,18.521489755752295,19.427635000000002,40.0
TMEM196,11.407047531757637,10.645477431205688,11.985659215118567,12.089568628724768,10.890828478992153,12.260944071462696,9.700954,4.8
TMEM198,42.63180191807152,49.8027354565536,54.852845539000235,66.28228498153523,54.04704326940704,78.65762726644205,57.05883000000001,3.2
TMEM198B,21.781699753912918,32.02276885819308,27.209440727480505,28.44025449925836,26.382445774881013,35.86030659606037,78.35684,71.3
TMEM199,105.05431103853572,96.4036434534808,95.07094123078332,97.60762547656273,106.81027152248527,105.47383966340544,116.12365,37.0
TMEM2,151.61872016900116,109.34239270695238,172.0138017381789,156.6925630873301,359.111438471224,285.5741218820287,378.95422,235.2
TMEM200A,22.356405010337443,37.45966423885132,21.241240824669887,14.165141144107832,21.43333593069429,14.878375608705413,962.9537,3238.7
TMEM200B,21.781699753912918,33.91444107759818,31.896049261099616,19.218980971792497,20.022634173548855,27.20144706906666,32.555275,348.5
TMEM200C,15.762554267608479,16.277134864665342,16.01017706361654,15.533654075126407,14.136754116273401,16.795900538772514,14.217198000000002,15.5
TMEM201,16.327761995302648,18.809391333052577,13.098741944853614,18.524817081273245,15.6315824349813,20.855237081363768,271.88074,10.9
TMEM203,543.721976468725,702.3100578430121,713.1563713687043,330.0855069512316,606.1018996595149,93.49532266868223,823.6068,596.8
TMEM204,39.69540053806778,57.06966347087066,41.04256210771862,46.27889566113185,35.793270959776684,55.20099906394446,66.275185,49.1
TMEM205,293.94197285496944,248.9682975312307,291.7373080175782,571.5442004943138,242.14562205259756,119.94326459932988,701.0474,268.4
TMEM206,20.93354082965097,19.54708832708512,22.689391075318223,18.599741967806178,20.376545128953737,21.325459236623235,20.843918,28.4
TMEM207,18.89774100195432,21.123692392126756,19.479479155472582,20.766199383176858,18.046982992515204,28.431148936690068,18.305560999999997,2.1
TMEM208,382.26149469511085,377.41174357288867,369.5161549646528,336.70791960310487,457.66413269530636,217.2264375167853,677.4653,421.3
TMEM209,21.781699753912918,23.269252808290506,27.151587800683693,23.577376084334375,24.380530487240446,19.828272102715875,52.044815,61.6
TMEM212,22.500555331920634,20.563565745637174,22.662594124214557,25.18866108633801,23.399256995955348,20.25028741815506,22.587073999999998,61.8
TMEM213,14.075903471382997,15.482071116328813,15.939104654621868,16.312253598130813,13.183976193363577,16.01150364024696,11.597372,3.3
TMEM214,153.0099157740167,171.18390638537272,173.35316402299048,163.59160034553085,225.81286803879087,130.3495191327972,336.36566,609.6
TMEM216,248.05938210329282,261.0057436456685,235.82575931487045,152.32023379124772,227.4106959983183,222.17756841131066,327.96542,144.9
