Symbol,CD4.T.cells,CD8.T.cells,monocytic.lineage,neutrophils,NK.cells,B.cells,fibroblasts
ITGB2-AS1,253.8202320531097,177.4046662601276,293.0709122193813,409.9210110762462,226.39093474336138,8.925051537658732,0.560112798827385
ITGB3,8.99052137247929,9.061756729460063,7.960050839235948,8.754123590174832,9.566274722717122,0.6115218063217795,0.957821377245857
ITGB3BP,108.03415894333439,215.71319343752364,163.8643359721381,78.29172274150713,242.16380171273445,1.0922391844306418,0.6122664602408041
ITGB4,32.64058977175375,22.86942622397014,25.282188960891997,34.0381373670949,26.95775172990012,0.43881857475612385,0.5693561142104508
ITGB5,23.99326758429874,12.447683360020372,11.02025354860242,12.642221324218086,14.780845188885014,0.00622121680772683,2.2192938452648416
ITGB6,9.113421200879896,10.248120781627284,8.918993001981102,9.183375880014058,8.589444203334816,0.3483472067294608,0.19092412274821724
ITGB7,574.0408159174171,564.5313590484745,143.73953870538338,164.88857559367858,716.7625425373446,43.99909668597546,0.8536649612142441
ITGB8,8.56080547319736,8.26886576261174,8.19431916938797,8.211856517325913,7.1022715462044195,0.7302240247079594,0.7864565896759074
ITGBL1,9.003609329569887,9.597908962792056,11.200891472445031,10.806171451117335,8.79384224557943,0.1578490518532142,40.12998467324231
ITIH1,63.665685951113545,61.6304437633066,60.85876598751023,53.339098072479274,40.08143592032706,2.603564052254508,0.2875605951864872
ITIH2,42.44852062140184,24.5826640244644,17.451162090012808,20.31415451449342,34.93273612750569,0.605610280069761,0.3192561905614934
ITIH3,40.79024552707956,25.20128493477196,32.283195871209415,40.203580825331805,29.70364532783628,0.44866719248388787,0.1663373432942404
ITIH4,30.683476196765366,60.09784232076507,60.65325064597742,64.11696715553306,63.26717810948133,0.9137027167450897,0.39490096544948794
ITIH5,10.17341831739217,9.178256757225567,10.604213242686019,11.286644789554401,9.135763096343279,0.05902168832042256,1.575722516832574
ITIH6,20.40828196997933,19.01995281460996,17.801146102243255,23.492692920997698,19.149977951784177,1.189838726043726,1.0843964835759308
ITK,743.3574345178403,1619.5233236578351,8.862428247689925,13.797760217130962,760.7950382282708,6.525853950139873,0.8074358786877633
ITLN1,16.878967572338194,15.711719297763727,20.84129299265191,24.711091406670686,13.087333927542439,0.6875216024874331,0.6739148865858697
ITM2A,778.7340818515964,431.0787053345692,11.088926682098071,55.31126102915688,507.75170718616835,3.5610319998855915,0.00958915895249476
ITM2B,1760.083978306937,1901.2501810564302,2447.729434781697,5253.964765262087,1909.915797239258,0.2776315057479476,1.7035712643651666
ITM2C,150.8282146408146,544.5956358201925,94.85573954708003,114.20474895148021,68.29738173709937,0.6317957511271982,0.29630646307369274
ITPA,307.03602736506446,565.7337930420712,357.90110654364605,88.41814616678927,399.4635323347592,0.9537730147337954,0.6717138122334838
ITPK1,54.5827213027707,37.3507329545471,45.711803005193964,61.22968143655119,33.746068282012075,0.7337247570814929,0.7944032774045533
ITPK1-AS1,9.061704922838612,8.312018366093998,12.53727352567445,24.308673230804136,9.624039861644237,0.3613319918945169,0.1348775087961503
ITPKA,60.08514400790191,44.90924219602705,56.207838097872795,63.005608762385584,45.855866102883304,0.5180347920506462,3.1567346606343007
ITPKB,107.47134513257932,60.60557942504539,30.291743342119553,41.59332383093411,30.907181730056102,0.16802537165447312,0.765256145138076
ITPKB-IT1,74.79417859204284,52.43931935991892,49.42893499071659,69.14536539439797,33.85817835453594,1.431307349352442,0.3272560797814621
ITPKC,54.60362881596106,85.65807020898835,88.19704330846893,227.49486625669263,123.40157014185918,1.193903936809722,0.8388494409145938
ITPR1,28.958902794768292,51.47764590904641,75.17655877143667,26.763712858767526,94.9859964464342,3.324730265756239,0.8087430083196759
ITPR1-AS1,11.271811347891349,9.91529862073255,11.254571840170708,13.79189495229145,11.476358930288113,1.1128029657894456,1.0275325478084198
