gene,memory.CD8.T.cells,naive.CD8.T.cells
STC1,13.418317696490053,16.903764899210465
STC2,16.365499376200223,19.703901402481414
STEAP1,12.183277607797997,14.586506739222564
STEAP1B,26.230533988153585,24.180665840904865
STEAP2,10.738955495044909,11.143198745303685
STEAP3,15.958919566899777,27.67026956219908
STEAP4,10.799594731733475,11.51430905475764
STGC3,26.676483880018473,27.581054995360706
STH,28.556462401768265,40.131227680167726
STIL,27.319203076814794,23.519113389226217
STIM1,189.68052109214827,193.68587819301916
STIM2,526.9186773985718,244.38648959745302
STIP1,235.34704098232788,325.9691356232423
STK10,673.7328264765712,567.5812559489771
STK11,209.718244271012,352.8456836591089
STK11IP,189.82795512668523,326.97653708791574
STK16,97.66601286028664,100.54733875148156
STK17A,392.9128413242263,284.75199098552207
STK17B,1140.7741359707807,1232.7992670972208
STK19,173.4214748912089,153.94244325991332
STK24,367.78606966058544,257.48257251007186
STK24-AS1,9.982875399352679,8.913292333397768
STK25,157.48901487267224,176.7045976427379
STK3,21.496914947537284,11.622193081211842
STK31,18.95518466789683,15.432452223907514
STK32A,18.328773209111848,20.279191236827884
STK32B,16.33031715264876,21.304279486850646
STK32C,67.47951724490726,91.54792802413169
STK33,15.1675416946824,17.79377015154139
STK35,280.6520700775725,214.12207064421017
STK36,23.833894499449045,20.59729924901173
STK38,572.2788255617327,620.0685627001853
STK38L,71.57944133262762,23.515051066372017
STK39,366.6661130745205,127.43015586278172
STK4,1035.3795046201765,1039.6267419619307
STK4-AS1,27.02405311179742,23.696806433146712
STK40,83.3581196400298,90.77378984398626
STKLD1,18.528906146756448,17.288820256115244
STL,8.68507350305612,9.245145552203823
STMN1,58.006661102530344,68.81249253502286
STMN2,20.79332121486288,21.012743584834688
STMN3,490.21728292441946,1280.688815668171
STMN4,46.23304926567194,70.82249342276535
STOM,1092.9619582452524,81.90644410647654
STOML1,53.99807403095802,68.87369635878807
STOML2,213.2288273950944,225.18320838672892
STOML3,13.451125577582044,14.520288755986464
STON1,17.49029888819981,11.650598199941825
STON2,10.878091127452542,12.314586420414692
STOX1,11.38262673151299,12.68616800796337
STOX2,24.867370096882766,30.707253202272494
STPG1,39.62639941322527,39.08296794994655
STPG2,20.272060628572916,23.747630396412482
STRA13,275.6394412504603,330.6974003861063
STRA6,22.37071607100852,67.87227474202477
STRADA,149.9798546640262,391.1590183559356
STRADB,105.04276522833072,76.59374134724996
STRAP,678.192373175136,472.0652298494381
STRBP,64.9690583206501,47.163119953205566
STRIP1,191.43583662016266,262.2836712575089
STRIP2,13.727989234467316,10.786650845000938
STRN,124.94699849513566,81.13137470735273
STRN3,47.93922286213571,46.68860741169608
STRN4,78.99467684230135,105.1347807368644
STS,28.009366282582178,19.748932336143085
STT3A,130.61322014631807,86.46511390704205
STT3B,621.7259154188864,609.9980358468808
STUB1,374.92490599533875,358.94298781872624
STX10,117.73287532050303,152.91506089509298
STX11,81.61933602474014,38.3329026939688
STX12,212.62598216622018,116.41773741283868
STX16,543.824956074173,1158.3591320670253
STX17,102.34018295477286,126.6929888695378
STX18,211.03529503309687,162.48692052240176
STX18-AS1,28.038043090289502,26.523725766104157
STX19,13.392608824168672,27.686385841276923
STX1A,60.14163031404807,56.24494775943624
STX1B,17.986273867130045,49.04424031118353
STX2,126.20571714904578,167.78609498525935
