ID,memory.CD8.T.cells,naive.CD8.T.cells,myeloid.dendritic.cells,monocytes,naive.B.cells,NK.cells,memory.B.cells,regulatory.T.cells
NMNAT2,0.0024083677631281477,0.005344292351895646,0.009099136261229985,0.0035721285900915333,0.04070234315028804,0.8195152799780131,0.25970670630398573,0.012189826894761044
ZFYVE9,0.03618243070484932,0.04834470707958241,0.012726428393207083,0.015671959296104956,0.0041836669657983935,0.008232480649441341,0.02179262214374622,0.23796952021819112
ATP2B2,0.0,0.005167415441765598,0.0015726016559877306,0.0,0.012655685537555764,0.0,0.14214256017378998,0.08495060374201754
LYZL4,0.0,0.0,0.7160381692958223,0.0,0.05540844505567717,0.0,0.0,0.0
SLC6A1,0.0,0.008782202584896662,0.14700934456552775,0.0,0.036943823806363886,0.0,0.5064184706048875,0.01627181313891389
SMG1,2.2079407240475244,5.108795600416563,7.9226030978024395,4.604903935810266,23.02358155056596,17.56798054376932,33.46715710812759,14.549668465572164
FCHO2,0.0866232198441273,0.036716509926561704,0.09700800610620026,0.2459547600113956,0.6644954226151276,0.6251847720481677,0.369408234679565,0.27915004812370703
RBPMS,0.011695391775603442,0.07108317031501522,0.07889097188981407,0.009459267083934996,2.7906204652305604,0.004063078550576121,0.2289896761759922,0.005941412883335797
TMEM171,1.6712254318740718,0.022441300462320013,0.0,0.0,0.16880361503603863,0.0,0.2982934881008291,0.0
KLHL40,0.0,0.28482632332575997,0.06368209264330758,0.0,64.28706336431237,0.0,1.8293018134686412,0.0
C8A,0.0,0.0,0.09127834426114835,0.0,11.539763821151862,0.006218998196167914,0.05060151214351528,0.0
TIMP4,0.0,0.0,0.0,0.0,0.04329922511498943,0.0,0.5399649121807859,0.0
NRG1,0.0,0.0,0.007032153662913393,0.0,0.003182747343980518,0.0005097735443991983,0.009392584406114481,0.0
ODR4,4.437465348858301,2.4381257712641067,4.235785513620999,8.399206732378945,4.487667692249031,11.174104267069639,0.5009264529455857,12.09790610483653
CPT2,5.030771554189187e-05,0.0,0.4614608921683282,0.0,6.844541599727057,0.24646194055313628,0.5353025420796905,0.17538712439508028
NECAP2,43.264389035738866,33.26596434587966,10.576378240151099,8.647006146728346,21.673594106648,38.44436266017986,0.27740459550173663,11.501223287954508
LRP8,0.016563878794621446,0.19270872436417044,0.5874548943880138,0.09961109820115574,1.6614789768014386,0.4362603700245558,1.27978641344949,2.2949801251144364
CDCP2,0.0,0.0,0.0,0.0,0.03809411722102847,0.4477553781824586,0.5301272169751098,0.0
PAXIP1,0.6296551852169682,0.15831595144589886,1.0932234139218875,6.527948236345455,1.8545401778723853,2.498327450671489,1.2494490442240045,4.134934159061631
STEAP2,0.01648757611734533,0.09840482795271842,0.08380734449412638,0.10518935325315966,1.5479298350771158,0.47081939591204836,0.37150377457953904,0.2389672224828821
SSBP3,0.19684282402041295,0.7941428649075929,0.40475978709669763,0.1840326193157338,0.18996148621347683,0.27117304024405575,30.92313250258095,0.1501982068228937
HTR5A,0.0,0.0,0.0,0.0,0.08773220276714311,0.0,0.14332489194839662,0.03815935579290856
