Gene symbol,B.cells,CD4.T.cells,CD8.T.cells ,NK.cells,neutrophils,monocytic.lineage,fibroblasts,endothelial.cells
CLEC2D,1012.819733,1443.461253,1510.850313,1323.633984,68.77784236,93.13451585,134.5503286,78.64035879
CLEC4A,270.684059,94.87431986,43.67169279,105.2701824,2814.377261,2802.254283,19.48358652,1137.937654
CLEC7A,148.8556127,106.6702025,86.04241069,232.5222589,5247.49398,6165.953009,58.64250526,3760.306028
CLIC2,8.195551244,11.06762282,6.339831804,55.07424589,10.41872533,103.5590934,116.2438106,437.0461122
CMA1,77.95639785,42.09518393,25.22954469,110.3532274,48.25538871,58.76829357,75.6389405,46.37300953
COL8A2,135.2230196,79.43023238,60.53487072,156.4869268,186.4210163,275.8747733,23.48774462,1233.715268
COLQ,28.85299608,66.85032911,152.7740895,757.5833542,40.46415035,33.83180651,23.55278029,24.84089345
CPA3,786.5967435,25.20265438,147.6958112,766.26367,522.5988941,135.1465191,431.8870773,139.386735
CR2,1471.268235,285.69747,245.2703384,89.67645155,33.0622167,35.1557773,139.9135207,27.25115703
CREB5,30.97425375,43.39553244,12.41011504,27.45556834,1385.315828,360.9106341,32.02053189,22.86410106
CRISP3,27.37818895,4.203532154,3.235495107,205.7646099,15.93701737,5.032005451,6.508150101,11.29862608
CRTAM,54.88908823,308.5611006,1443.48038,914.0194558,83.96491114,212.0416867,54.0562838,761.03216
CRYBB1,8.51087882,20.22798354,8.78944775,17.37513439,9.876168345,9.396148118,16.77479438,9.70690203
CSF1,22.1078749,21.94024148,22.99418539,46.20566311,22.5275051,24.56893179,14.62640697,687.8844582
CSF2,24.24874392,40.95236426,24.4197256,788.5927725,19.5960694,27.09459243,43.36581215,28.52989192
CSF3R,99.76628743,107.0724606,24.3859179,160.877013,9175.361959,2331.948628,22.72781743,214.3427639
CST7,29.71165699,197.8545424,5181.597893,21694.46861,2347.728878,63.6732263,14.02145998,254.880064
CTLA4,19.39158332,282.3095234,19.09265901,29.72689514,38.69364838,18.619765,12.39999002,14.31666435
