gene,endothelial.cells,fibroblasts,macrophages,NK.cells,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,monocytes,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,neutrophils,regulatory.T.cells
DSC1,0,0.0625,0.84,0.007956231,0.009927063,0.404825,2.73090146,0.00909848,0.013022932,0,12.45278825,28.2282475,0.009265326,1.352998353
ALKBH4,12.855,9.8475,10.4125,14.593138,12.10303588,11.16449825,12.46661425,11.26983025,11.321535,10.83897275,12.0571425,10.9132835,10.07926875,17.03931
TMEM108,0,0.8075,0,0.2506665,0.224175875,0.479643975,0.5819962,0.142929208,0.303832725,0.176237363,0.3534161,4.237257,0.133666175,0.557829614
HPCAL4,0,0,0,0.163958,0.083205375,13.82841422,4.397002944,0.05451125,0.5410565,0,6.947867504,8.019185,0,19.53259402
LINC00299,0,0,0,53.26119,1.374373325,11.35386925,7.296642125,3.666767942,3.8265505,3.133813125,1.349553525,1.098691025,2.7792915,4.1371945
NOSIP,90.485,57.97,94.69,74.52446213,59.91719433,326.626464,194.3491232,40.02476738,50.91321712,50.62789027,524.47702,377.543708,61.08927275,237.7055721
RFX1,0,0,0,7.86001175,4.331075135,7.0260547,6.548830837,3.151569008,3.109045168,4.494462513,7.306564525,7.049671625,3.7908935,4.898447775
SARDH,10.0525,0,0,1.4964295,0.507358375,3.134164,2.551655391,0.790750075,0.499255725,0.7241476,11.16919975,4.3049415,1.5689595,9.01653225
TFCP2L1,0,1.1875,1.6225,0.245786875,0.199207525,0.0436786,0.066744775,0.32474945,0.106914365,0.027604688,0.0854892,0.06649565,0.0033641,0.062108875
MRPL22,22.145,18.7875,22.0175,23.639047,16.97460316,21.04459978,24.62913826,15.26685335,21.509589,20.15393625,26.31701328,18.4759548,3.034001445,24.10028325
CAPN10,0,0,3.975,32.27512192,16.80905782,22.53914864,24.94117858,13.14705962,14.18145546,13.92812083,17.0827263,28.2798995,6.05014455,16.07798829
MANSC1,51.8175,1.88,19.515,1.57623125,1.369288488,1.904997,1.4280215,2.173633742,1.62781725,1.433444013,3.725607241,1.663115,101.6170825,1.4751275
CAV2,49.87,41.27,28.2575,0.92951975,0.860144875,0.8140253,0.73862175,0.634137592,0.50265,1.05550125,0.95462875,0.83958075,2.21295625,0.77886575
STAT4,1.6425,0,78.745,566.37813,4.887983184,313.8776315,351.9288374,6.850268723,4.49050575,6.729664875,183.3995948,336.592265,0.928008675,128.4796425
MYO7A,10.675,1.505,11.925,0.620297811,0.549433288,0.409098085,0.572101967,4.039609394,0.436594535,0.579617363,0.695375875,0.66571975,0.760648875,0.956634198
CD3G,37.4825,13.7075,253.7175,96.863449,2.21739375,499.4852638,720.5811855,1.521074608,0.81308225,1.60824125,537.4506665,506.4181098,1.21434675,523.2829305
SPIB,21.76,35.6225,16.4675,3.894300958,419.8163563,2.253586,1.955622625,1.463101071,21.41909075,280.3099221,1.98974225,2.29472025,1.82999525,2.10979675
RHOG,95.4125,84.8825,172.0125,142.263898,118.1107293,136.812543,134.9825888,405.6012883,339.482645,93.26172861,109.1090588,91.39959839,609.5523625,149.6392653
MVB12B,0.73,0,9.7075,6.7577785,1.00480965,9.136858075,16.7912716,3.795751908,9.09718075,1.308074413,2.506273522,12.72287125,0.49094555,2.831983002
PCSK5,1.33,1,0.47,9.303604925,1.582347688,9.02954125,3.34902025,6.371311142,9.793479678,1.647267537,29.8175105,39.3527045,2.819724875,8.00477125
TSPAN18,47.8325,0,0,1.2319385,1.703439925,15.87955825,3.673989337,0.305637167,0.160897,0.752223237,8.239815473,1.59621145,1.324754475,6.146763207
SLAMF1,0.335,0,29.6225,0.649817175,32.11184875,149.827025,85.056425,0.163471292,0.889317575,55.153435,37.7668675,5.886528325,0.763842525,101.1831675
PCYT1B,0.6725,1.7375,0.815,0.25840775,0.233202875,0.180179,0.151965275,0.13168645,0.206833525,0.209047312,0.238597,0.2460175,0.175076175,0.167122275
CCR5,0,0,95.1125,6.11383,0.583944675,14.330155,33.76435875,4.872219075,31.14355,0.45581125,0.960785678,0.0081428,0.413169875,7.2732725
KIR3DX1,0,0,5.03,23.86294925,1.901824338,1.576712603,3.546112127,1.536524017,0.9422135,2.02218775,1.52529575,1.95543275,1.6640455,1.66472825
NUDT16P1,0.5925,0.5125,0,1.238298,2.180652125,0.728391,0.53009575,25.5146975,33.6619925,2.350577625,0.496886,0.7629705,19.64617,0.48124425
C2,100.445,0,0,1.09686225,3.121406736,1.07348675,1.182672263,39.12962501,1.827771623,3.655833609,2.04942425,1.91557775,1.7452901,1.2624593
REN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRP1B,0,0,8.6425,0.167940225,0,0,0,0.107229458,2.8771422,0.002214154,0.00160869,0,0,0
ENC1,0,25.2025,11.0025,19.91409505,2.506524332,1.2480576,10.71968064,5.807424382,4.630743174,3.237612446,2.325504725,0.7955149,0.23743515,0.532908264
SNRNP200,55.575,197.1425,35.1375,159.6968203,103.2324703,145.8206398,162.7594179,68.84754075,85.4334465,102.3370089,132.1898213,147.5935345,53.58924525,146.0426037
BMX,0,0,0,0,0,0,0,0.073034892,0,0.288825509,0,0.04550325,20.8111674,0
