Gene Symbol,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9
CILP2,5.462586046,5.771359994,5.207741466,5.255948245,5.643981526,5.67487003,5.596566638,5.194502969,5.585691746,5.531695133
CINP,6.634053426,6.650748702,6.740924404,6.277941747,6.383945245,6.584465495,6.269672633,6.500589806,5.903421543,6.328299662
CIPC,7.650142239,8.026046545,8.206046757,7.731198656,7.877620504,7.689570593,8.075234266,7.996337107,7.834765566,7.651144396
CIR1,10.09016298,9.933377225,10.9150389,10.43115663,10.29212893,10.31010602,10.47487022,11.04207707,9.82290222,10.13258591
CIRBP,9.566248714,9.652578308,9.241561156,9.79676249,9.502115648,9.611436855,9.649742012,9.339287914,9.579405316,9.43034833
CIRBP-AS1,6.325463827,6.222010723,6.437889012,6.310629343,6.474244356,6.205239878,6.379978515,6.400714951,6.378639657,6.298459843
CIRH1A,9.731077292,10.01691798,9.238004079,9.145957423,9.494327714,9.689544296,9.712270602,9.213969025,9.527117887,9.496254522
CISD1,9.948347115,9.998103395,9.833641927,9.721590629,9.755474237,9.908333674,9.843550694,9.688368026,9.596900182,9.684960509
CISD2,7.03072439,7.087290463,7.21539477,7.073009163,7.003362685,7.248315621,6.856435542,7.217962334,7.052101403,7.05323486
CISD3,7.890860622,7.773859175,7.010103058,7.302770239,7.276443341,7.698331855,7.386679493,7.048273708,7.161553735,7.556722194
CISH,7.573026686,7.004108311,6.213964598,7.597008072,7.396597456,7.346832347,7.074956714,6.880048075,7.91120628,7.140815483
CIT,6.487269748,6.627499611,6.451406132,6.439633852,6.559287906,6.452814177,6.562949755,6.520225111,6.431389172,6.682881809
CITED1,5.958754297,6.02099287,5.826805533,6.002037383,5.918840972,5.959945941,5.698474517,6.140968226,5.94282161,6.044310145
CITED2,8.922020824,8.722675733,7.977328008,8.009353393,8.831716654,8.483325708,7.991156985,7.925511811,8.908284532,9.207807579
CITED4,6.485408454,6.315246826,6.196576905,6.579290096,6.57516712,6.492928545,6.583119499,6.475334194,6.598966828,6.63645049
CIZ1,8.426629798,8.534819072,7.83216085,8.288853231,8.273212196,8.281702585,8.145902546,7.874664634,8.156058312,8.418783786
CKAP2,6.920505446,8.127776903,7.379685794,7.166473441,7.057214401,7.796014885,7.959987204,6.611933571,7.0368379,7.363461738
CKAP2L,7.137269182,6.991315897,7.313936431,6.606657026,6.769106246,7.032404928,7.052070401,6.639585523,6.431800572,6.940009654
CKAP4,8.888963201,8.993419932,9.459537192,8.871821663,9.412604203,8.812631007,9.217759975,9.197869682,8.962763121,9.573199063
CKAP5,9.572630823,9.637533275,9.216072147,9.199319286,9.417697407,9.733892284,9.514635817,8.759356554,9.505777959,9.665910606
CKB,8.843878748,9.065279597,9.147373635,8.98212676,8.87756825,8.985068844,9.040946202,8.889906312,8.762947006,8.960031195
CKLF,10.56062559,10.08698878,10.86317202,10.43737259,10.68404891,10.54333148,10.62441017,10.71211813,10.12949838,10.6243578
CKM,4.373515506,4.527450201,4.273850445,4.462343873,4.59637127,4.662383408,4.473557209,4.428548912,4.505300903,4.532319532
CKMT1A,9.037197895,9.215981422,9.223883176,8.950076546,8.915644179,9.104948009,9.094473826,9.24458584,8.857802974,8.965500205
CKMT2,5.389929007,5.510337173,5.252748415,6.078058277,5.733937946,5.392854117,4.897002891,5.964977881,5.595285343,5.409023455
CKMT2-AS1,6.311939601,6.450079922,6.155790961,6.724119856,6.231647385,6.424502826,6.19292903,6.293556135,6.356900469,5.90271373
CKS1B,10.2042976,10.4544425,9.877587839,9.930797128,10.08426565,10.2034795,10.21203533,10.09135929,9.921165678,10.12077499
CKS2,11.36475119,11.50548935,11.33836037,11.36893693,11.34715279,11.49286563,11.42977829,11.32304437,11.32694631,11.44934078
CLASP1,8.899962114,8.624238276,8.418266912,8.645208778,8.455348861,8.831354925,8.60639741,8.267904931,8.505570163,8.705783832
CLASP2,6.989796928,7.031685597,6.731644999,6.788620211,6.930323525,6.929671397,6.834302796,6.842725131,6.980250986,6.927795107
CLASRP,9.384398411,9.524233919,9.913070235,9.904380748,9.549638718,9.461908457,9.649716376,9.638126736,9.392938039,9.26142175
CLC,4.34998687,4.230582652,6.705858454,5.712638214,4.652118161,5.252483029,6.182974294,6.018826712,4.17584788,4.493408029
CLCA1,5.04154308,5.198361271,5.043465947,5.319343072,4.952063599,4.933274812,5.080513878,5.257499225,4.995215228,5.073556987
CLCA2,3.42392208,3.421117953,3.496911646,3.40720568,3.393166131,3.441037849,3.396992521,3.420833076,3.339211526,3.378517283
CLCA3P,3.29765898,3.20118271,3.188417435,3.088951603,3.098649889,3.232125083,3.216042365,3.190212577,3.160980579,3.068118309
CLCA4,3.4113454,3.287644888,3.56120938,3.534592768,3.241531238,3.19802959,3.17566814,3.269524309,3.176297035,3.1521053
CLCC1,8.551308026,8.531617839,8.28127691,8.600650799,8.716481463,8.350925683,8.492922624,8.313439943,8.674950192,8.701906566
CLCF1,7.078845314,7.507263626,7.184275119,6.956363886,7.541195904,7.132498905,7.2323142,6.979155648,7.341137457,7.317587854
CLCN1,6.2924016,6.495569158,6.331170341,6.231497328,6.468318713,6.570385758,6.449462132,6.338439414,6.518024989,6.618949534
CLCN2,5.59137863,5.830537717,5.790912877,5.740514842,5.874566022,5.626967438,5.931226184,5.569184083,5.753802578,5.800302768
CLCN3,8.407960761,8.496596797,8.225965304,8.243088646,8.174415883,8.417504866,8.343881934,8.170153577,8.449168311,8.475375125
CLCN4,4.571712555,5.224606016,5.727555007,4.952625297,4.688967635,4.898800601,5.276302085,4.986665233,4.322353039,4.713589268
CLCN5,5.282772173,5.376630145,4.878733293,4.583056392,5.359821209,5.036401058,4.860692406,4.744380121,5.039445606,5.652524275
CLCN6,7.634438872,7.82259738,6.853884402,7.438079237,7.743549901,7.385407205,7.431032764,7.428606765,7.561927277,7.568188391
CLCN7,7.103503129,7.129920404,7.085975157,6.960081085,7.213399301,7.081867889,7.181075964,7.066994369,7.20788681,7.303378446
CLCNKA,4.364254736,4.667774748,4.50229174,4.499177669,4.567926677,4.239853118,4.515172087,4.487887517,4.731093969,4.544709816
CLCNKB,5.271285164,5.360794664,5.259279925,5.352479836,5.302697842,5.427319099,5.40686505,5.321563772,5.39112455,5.42794821
CLDN1,3.826817757,3.912037218,3.962594109,3.843253621,3.8821207,3.87756325,3.95361439,3.827151163,3.799551558,3.866045409
