Symbol,naive.B.cells,endothelial.cells,fibroblasts,memory.B.cells,memory.CD8.T.cells,monocytes,naive.CD4.T.cells,naive.CD8.T.cells,neutrophils,regulatory.T.cells,NK.cells,memory.CD4.T.cells,myeloid.dendritic.cells,macrophages
IFI44L,79.26444272,107.4006144,59.55423978,128.786198,844.4715804,704.1138052,214.3149423,179.876885,64.27999618,609.0769373,2601.435987,213.8100818,5434.0299,41.72844444
FOSB,410.1037372,388.9175856,39.7324916,900.1089822,1719.939889,5047.66534,381.4533456,468.9041125,98.59510926,219.2798573,73.04570775,104.6817544,94.92146558,65.69375513
TREM1,315.5151143,97.03442738,147.6391025,259.0712893,12.37425334,3207.834357,221.8005256,136.7952643,17606.64309,944.77955,113.8277505,117.6876652,440.5682518,996.7136502
PTGFR,18.10616684,11.46821818,481.329494,16.55086482,0.348579365,23.49712072,21.75941345,17.43631069,15.84866686,16.34309246,19.07493073,12.44495738,12.71045507,13.42230636
CCL7,143.8507514,182.0010431,81.71711482,95.66809597,16.30753377,109.2744383,63.02678302,103.630665,181.0318232,84.68061206,58.17065159,101.7065183,518.5254654,1063.721759
GZMM,85.15092752,68.08488878,93.91516041,54.08393011,1447.146896,69.57000526,1795.014518,1404.308107,167.1314793,2777.458046,3009.691703,916.5252287,39.75275088,42.74449249
VNN1,52.39334106,47.2333119,40.81699688,52.64683309,1.296373016,1405.143281,105.8777061,29.26135349,1203.000544,556.5095465,114.6410614,24.99914107,260.7193734,1545.914492
SLC12A1,150.3333648,48.44295553,12.02533198,85.38463254,0.807634921,15.51427977,13.32035116,29.85529725,23.55307867,39.96185601,15.80082426,20.39234844,13.55270942,18.75918505
TBX3,30.43577323,17.39531705,817.4920996,30.93844719,0.576238095,19.40228926,13.8296456,15.9296537,31.56426273,18.48655885,14.34052386,21.26615895,30.82461633,30.63140144
LAIR2,857.3810867,1563.516091,236.3733834,591.7498588,1050.465645,283.3844777,626.9273272,1068.978257,567.2640555,858.4894659,1676.079137,373.7321052,280.2657807,426.5380812
DCBLD2,29.58776453,82.17796226,915.3475251,29.82644763,0.591079365,18.81892256,19.06638519,22.52343288,29.4747249,19.54277721,16.21807977,19.60187484,17.37927701,26.72797745
CEMIP,483.5472104,199.1435307,4678.567865,293.5399161,0.965674603,129.9648266,152.4849633,165.6958921,446.1252709,44.09497093,103.1470476,83.85723998,138.4754168,118.5546201
CD37,18301.80621,63.85619376,108.7612735,14779.76258,0.962865079,6711.174591,8310.672462,6462.895097,6161.903752,2511.772672,2863.559991,4692.467247,649.342055,2374.588191
CD3G,67.55220608,53.31023089,42.32436208,70.38308758,7101.092242,48.85667836,4800.824661,4538.609379,95.34107019,3185.748528,395.1894914,3469.55456,39.23817715,47.25058179
DPP4,24.20095969,66.53944727,325.9827609,21.37464498,837.7386427,22.41671136,791.9445953,678.1629498,23.80366255,335.3530682,346.0785564,783.1518581,58.05649431,21.43075657
C3AR1,216.7300323,157.8099498,129.369205,164.5570823,397.9432688,2349.356906,471.9022097,370.2880862,893.9821859,1523.80852,1191.696156,259.9564904,1365.831865,1670.357053
IL18R1,70.31454238,149.052048,53.93562638,108.0801749,582.6914136,50.46008199,267.3765274,371.1406432,459.7665589,408.2316894,1604.101827,552.5637241,56.84261813,57.18396436
