Gene,memory.CD8.T.cells,naive.CD8.T.cells
PARK7,6.566803144,6.409957759
PARL,5.435039875,5.423145875
PARN,5.695289572,5.898724888
PARP1,7.493011767,7.46633819
PARP10,7.445137997,7.670366606
PARP11,4.460419974,4.781410372
PARP12,6.995798747,6.70513838
PARP14,7.125258531,6.942740321
PARP15,7.042369509,7.049888625
PARP16,4.451636189,4.981543583
PARP2,3.206499864,3.531718664
PARP3,4.000153259,4.042287234
PARP4,6.930391598,6.794822929
PARP6,6.307591986,6.406686748
PARP8,8.229515349,7.99779286
PARP9,5.899632596,5.779869448
PARPBP,0.730037271,0.492371966
PARS2,0.224908436,0.221610302
PARTICL,1.725432602,1.58280536
PARVA,1.133040237,-1.023228196
PARVB,4.520453116,2.603300607
PARVG,6.981630938,7.442577981
PASK,7.025204508,6.996493271
PATL1,6.017406835,5.80865623
PATL2,4.280329219,4.286068819
PATZ1,6.106838609,6.579318171
PAWR,0.224908436,0.988766428
PAX5,0.110518269,1.122384237
PAX6,2.742459272,3.297486103
PAX8-AS1,3.594771722,3.641539614
PAXBP1,6.364854439,6.361786482
PAXBP1-AS1,2.761538109,3.290404319
PAXIP1,4.886914801,4.758498638
PAXIP1-AS1,4.047557773,4.566666985
PAXIP1-AS2,2.972735497,3.590559604
PBDC1,4.403864155,3.95540909
PBK,-1.633184056,-3.226208962
PBLD,0.911806311,0.442133029
PBRM1,6.724608258,6.830657082
PBX1,-0.76210071,1.153940799
PBX2,7.088428557,7.748024172
PBX3,4.412942738,4.895484288
PBX4,4.47204911,3.696148259
PBXIP1,9.357852876,8.740213288
PC,2.347250087,3.059966915
PCAT19,-4.181418243,-1.524577687
PCBD1,2.372289393,1.357393802
PCBD2,3.135148588,3.339261959
PCBP1,8.622534189,8.658173558
PCBP1-AS1,1.725432602,2.367933254
PCBP2,9.033234707,9.152233855
PCBP3,-0.657034196,-1.171791271
PCBP4,4.686877744,3.247167697
PCCA,2.673623472,3.17978162
PCCB,4.108434022,4.609975376
PCDH1,-2.405487138,-1.739675656
PCDH12,1.538985496,2.367933254
PCED1A,5.847015156,6.435059731
PCED1B,6.688304192,8.147369516
PCED1B-AS1,6.664428757,7.582865823
PCF11,7.265928913,7.588289876
PCGF1,2.947965795,2.52098607
PCGF3,6.27393896,6.210554507
PCGF5,7.821471926,7.988524197
PCGF6,3.50139185,3.101020748
PCID2,5.685333365,5.451993699
PCIF1,5.967957907,5.903374175
PCK2,4.363849766,3.690779478
PCM1,7.329637342,7.460040298
PCMT1,5.647373418,5.467774475
PCMTD1,6.165313115,6.43023525
PCMTD2,7.095964105,7.493958094
PCNA,4.815682217,4.213045966
PCNP,7.723320288,7.624994222
PCNT,6.886528158,7.781240824
PCNX,8.603495447,8.042473345
PCNXL2,5.917817116,5.629441432
PCNXL3,6.682685088,6.796698411
PCNXL4,5.302909098,5.59823821
PCOLCE,1.298931316,0.720258627
PCP2,-0.657034196,0.492371966
PCSK1N,2.468314659,2.648311272
PCSK4,0.841822236,2.471750775
PCSK5,3.721969429,6.234736093
PCSK6,-1.132873601,-1.023228196
PCSK7,7.534849908,7.418419895
PCTP,2.456655259,2.313081527
PCYOX1,5.288183206,5.276747198
PCYOX1L,5.104260295,6.01068557
PCYT1A,4.728681002,4.385789716
PCYT2,4.987574051,4.649256219
PDAP1,6.220648151,6.213365465
PDCD1,3.783930466,-1.171791271
PDCD10,5.146601481,4.907105501
PDCD11,5.882305805,6.310201501
PDCD1LG2,-0.657034196,-6.563717529
PDCD2,6.041022012,6.114579764
PDCD2L,2.547394081,2.614685608
PDCD4,8.174525918,7.912726412
PDCD4-AS1,3.793231088,5.05023388
PDCD5,4.696823335,4.096076036
PDCD6,5.803954464,5.680443895
PDCD6IP,7.410428677,7.513476407
PDCD7,4.893416003,4.740423385
PDCL,4.418963543,4.09200889
PDCL3,4.313027197,3.584782336
PDCL3P4,0.381099131,1.535669345
PDDC1,5.882305805,5.998786716
PDE12,5.187735358,5.097659985
PDE1B,2.525238783,1.93129379
PDE3B,8.134609726,9.473814741
