,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16,mix17,mix18,mix19
AARS,141.9154171800908,144.42951626262956,125.44143871928594,120.91225799292503,143.52698792801294,124.3075390756521,107.73314982361593,133.57983958837593,143.15707814468487,166.83862302699262,149.5518531442016,151.91402560806617,150.82403460523173,101.63509470483817,136.92706316570025,110.6053573562122,140.01917751446436,138.15659260994724,149.919820151377,156.71572415930274
AARS2,67.45588547118946,55.909841892589654,38.70024358584758,39.12495051055261,62.57069912327616,66.8469781979199,44.57987859660675,53.51960936756042,48.38456149915762,57.76615530956161,105.03295732031803,60.114922246250494,74.51788086917053,97.110918242695,51.15391265463043,43.67262577459903,54.58151849523534,69.70175082972999,56.924585993825204,47.48868465406089
AASDH,51.53575947695009,47.38090884129665,46.77287639028381,39.64654444015024,75.20001056451635,77.69501745820159,41.93555561253712,59.70249171531007,41.52477486019831,57.70226872498385,56.77056751466875,55.318132928216414,51.61771146740747,57.48206025173185,44.67838794397765,54.958753534614424,44.392039363727946,47.643490863195396,50.366241147404665,62.3943796405891
AASDHPPT,94.94604294402441,79.4572945322665,109.44417153729597,93.9230199755012,91.20088898700084,95.18875241318014,103.84195308390967,90.1324012152128,92.73483244763335,128.74269030603597,86.86917904797033,98.7047452865601,138.96280821224207,102.26844447994895,87.55373753544384,93.34863260144304,96.96137883738365,80.41669081349056,97.76080251974298,99.39864807677206
AATF,178.88365183453806,185.7668601356911,239.24941569364995,158.6646605314997,182.39589105397027,226.82221302159948,187.9261612116536,215.37705215491258,141.5148023083021,238.44839637864177,190.63871631265144,211.36855665412293,225.55946307855785,228.4747585784181,217.41464025278066,208.0490255838529,218.09166519359016,183.37034450433094,240.19525108518226,220.22384967815705
AATK,65.52647093894338,66.68773875071314,80.8919781113927,113.57507870108353,54.09975762327052,52.62464486185009,61.18717284798483,77.39740260658273,117.840126239876,76.15698291205051,47.67641296162206,55.30123767258775,47.782987866550734,36.63768111572937,46.52135767776868,124.1248625590691,109.26320391138343,88.43272702658314,70.44263948353566,80.92626356614525
ABAT,57.30142724441801,65.67788607078,65.39351509055528,94.7755910340915,56.07235086228373,43.53591850384624,43.371382685321336,93.38227782036897,66.19832724364213,76.7707573164729,54.212472658324415,69.1776455808168,71.63932087871035,69.66602119814605,28.264163375668854,78.46693790448704,80.61335450023685,46.44962184657605,46.751354419093566,91.90918424432692
ABCA1,39.4478923061426,38.409425978732905,48.98360762915356,56.1322996860492,37.244615524161546,44.83140371643263,24.757139277012975,63.879442557208165,25.169102968399276,55.8280244622734,67.55981507151232,28.707004156431438,41.990228685298824,46.625091029818925,26.79773740356374,66.5206865226528,46.405471838005695,30.464156994348393,37.50734488685977,54.750077338932066
ABCA2,26.959921399548726,24.88401554795299,30.97646918545656,37.22390744444573,23.21732052582718,27.8273997929339,33.632154818818044,25.41308330188127,24.705496200330327,23.79418096792591,23.3923894478237,17.36938292915133,29.87840295934742,22.875747157481975,30.17002649119356,24.03174415765354,31.462729110618273,28.84577307105145,31.531491112497363,21.913184238648988
ABCA5,38.261657310481105,51.0159387321132,48.19133563592439,54.861825538304174,81.55278564536073,58.06946946966274,63.643005987827536,56.27265828738938,55.772830102030916,43.17666953616413,71.52989476131762,89.90586164370146,46.74981623337792,52.924773287229215,49.78828348093327,40.27826498163644,48.18444028844766,53.967675184561045,47.352273545319804,32.510738625803924
ABCA7,120.87029678026084,125.5858991703595,117.20952726181682,103.83102439548357,125.25062576081379,113.36907429629044,93.4595182586471,175.0153373290796,126.37491485106597,98.03730658820785,148.24873861976485,134.7687407377576,138.57462673151406,137.70924859870723,99.84646912573632,140.50077006607523,124.1076336340144,147.32301443078043,112.90483333978057,165.2044115427105
ABCB1,23.16843401557982,25.282004058074328,21.934494741271134,29.90344255252733,21.991818900079267,47.379337453871855,39.864299643530316,24.465029277934313,43.54432485706502,33.414550863247655,22.261422760820405,14.496202742719282,34.5663733837727,17.750406532954482,39.28852259196918,23.559286591233672,44.09649665411407,42.56685241261808,30.05729783508717,16.542179868370166
ABCB4,36.441630181615636,24.10536568870885,26.191243582010205,14.65518254110872,42.339398439111704,39.82789725539633,18.248795609229738,62.86605953045243,8.600920765783073,48.746750497869094,65.36015607802051,27.983210436276455,51.04460949313132,55.31515428866278,30.5788121869634,34.83393623261484,15.435064095982538,13.459429376620541,29.873379307177963,17.187042125072047
ABCB7,145.7612563683124,94.6899011807231,72.64826490011711,51.65551534907936,94.24209203823906,119.09196404309841,85.15592353228998,97.57614866521251,65.5033359761836,118.18701751211316,138.59698184968966,111.63760081312958,117.58235738358616,149.77102393536865,76.18338414121638,72.0442856210846,107.5450561007875,71.84631092731777,114.50473664849329,117.18008691359017
ABCC1,36.18201703252754,28.529271535514418,35.371183680269,30.159906156428,36.41075215791602,36.437946591402174,32.85117234730331,36.097125441276596,29.660077981162726,32.46701199759194,36.14806508762842,35.941599665885875,38.14607891162703,42.67608342501377,32.81977577682005,41.66242587884042,36.0937864094886,34.55165997005396,39.93611049699682,35.9699455801213
ABCC10,53.52105553115542,51.706765366579866,42.47523576714141,38.49251563020777,41.536579059480474,44.345919470905564,44.54550206357142,31.910150982223755,47.20689553728208,45.936704438168945,51.24494207330158,54.515357798056925,39.35932187160065,59.397987213482956,49.12320093679121,39.473890059843335,52.921455183324746,52.26747224102456,48.810515619358824,58.28572286561713
ABCC11,16.546753033000897,17.09285570920432,24.25004106901968,32.56785588703909,15.940612602848201,21.76068122383164,27.861937259855388,25.66710855372185,26.91132583573076,21.075961995240682,16.164031448292622,18.217247062259766,16.575004931052042,12.114505815071547,27.906740869283524,26.283578923439116,22.420352658238865,24.64900883970799,18.740472858699224,19.739105278129045
ABCC3,21.791251310562302,17.806648400401283,20.16380073759832,16.71062488251879,14.724711153215658,10.898397999158922,16.131536530777428,15.707288471063604,22.059349550041617,15.237749377062588,17.051503085155616,21.360361753022406,15.476472082223419,22.234805259592925,13.70437794329332,16.897314693644645,14.599988149741998,14.345738104953806,22.471482293107098,21.438587090180086
ABCC5,27.165570570220687,21.452793321720865,29.676260141750014,29.01055397878021,24.353582509937382,27.355702375197335,29.760004323215924,22.214365158988493,29.71007629105653,28.62987183058032,22.54665171795227,18.469692098034,19.104097001321016,20.10061330576137,30.117824076497776,27.662338380279763,30.032680729270293,39.108435104158396,28.585713757106447,17.24395237336971
