,monocytic.lineage,B.cells,CD4.T.cells,NK.cells,neutrophils,CD8.T.cells
ACAP2,71.36822566625958,60.88605778180453,41.549234729766695,67.97488969346887,164.91627842788682,45.95033619822888
ACAP3,90.00167835394004,48.81457279282939,69.4691239968208,51.80502002412754,41.03804217474675,43.613584198892184
ACAT1,10.484164571180274,11.963353920602827,13.79687856089685,25.301131491645645,17.626816079540465,57.07648779068746
ACAT2,33.897571172002515,62.96202339447278,50.22208433543309,52.00217282382266,19.185972644757307,52.489451326906355
ACBD3,117.51409514666543,319.2604427813055,94.35715402874699,65.58118203576613,26.53399497717496,72.0287676439104
ACBD4,36.318431687312604,53.435255057975766,50.05249219951774,47.22176300885121,36.50367982721469,35.26784154901594
ACBD5,58.58136887273308,26.80611053848288,29.20675151506849,63.906022855844476,24.974778884738228,23.417163224813418
ACBD6,64.97982710902211,78.38306052336702,68.3306052180724,45.93525715191116,29.193797858915556,80.86929952289908
ACCS,71.70043666291055,69.29551139741588,64.68682508523511,40.12390177823129,42.5441835062537,32.16729222600098
ACER3,88.53217745508209,10.308124771800111,15.333764258489655,10.28271975990933,8.947223158355731,10.953175814147993
ACIN1,114.08774347481229,174.81922044591397,120.2039087787125,92.19777311207122,105.5973631734053,43.411076361234144
ACKR3,13.87042414951592,34.09244113626223,40.14226174534153,38.09183807629945,38.471281971869296,25.21106037521839
ACLY,86.16499616580965,112.08893053304585,65.99294976826609,78.02313162185362,70.22924400507152,31.87387452915296
ACO1,43.09504216381665,23.101746197449213,19.2814280305808,24.03975020345259,16.723211246553003,27.053685942253328
ACO2,116.1012745621019,158.2607841072534,68.65057980787878,57.09173496286185,28.153843809285508,46.463885785533236
ACOT13,43.80003143114107,55.2047308099661,40.91619265063769,40.444174232907166,64.7321268061002,20.868612044109813
ACOT7,20.79882323318288,23.495132521514744,31.24016135746057,61.56847800760308,15.686808945678262,29.47903660839361
ACOT8,64.91950074694293,65.32032210656287,49.23628479892111,43.199718309835895,47.07535273949099,28.801608962663195
ACOT9,251.6648640778177,115.33207608377063,95.9958411590151,65.53892026613981,107.8401052909482,79.3338796803713
ACOX1,37.65710010053883,17.6394050901187,20.912157400883498,11.72511363739484,105.94487573913727,9.301426538331013
ACP2,86.31742965274344,22.649071452835994,34.10118575695375,35.68015555781961,29.78656797660919,44.474512512213515
ACP5,61.11311019311191,111.65933044173593,47.87199418560626,19.51984916841187,35.091506992694754,26.650866167511197
ACP6,35.64480689262607,39.98037225818923,47.45834876180602,19.349307111068047,42.204063314035544,31.427040345061446
ACPP,37.37832460431554,12.940845725352661,21.400164776694645,22.16881883997736,47.744081556210965,20.966427712739296
ACPT,29.784503400601622,28.495851536258964,32.88869821241205,44.091541154800474,57.46413879045853,45.30985029367541
ACRBP,19.73438972132873,21.117980908315804,18.816025299723293,14.733926032487627,26.811499448267394,27.063914849036678
ACSF3,22.760179018699947,35.36744266800631,28.087182382563185,14.817498434817189,12.073482793598394,32.38338772156563
ACSL1,139.68371267704165,25.78017228620918,24.172252293767375,13.118764945588849,1383.4933556929348,37.84311807532023
ACSL3,36.48521373089826,27.890463403319867,27.663465611234667,32.45660061247785,16.730283646125383,52.941310485871306
ACSL4,41.12375221893705,10.565433081188518,13.899874962409971,10.380974672734865,12.24906734330604,12.577513909576327
ACSL5,91.97373350181975,117.67956429862348,73.88655712086253,87.77511036603411,13.833842200297783,35.81402833681289
ACSS1,117.00934941013466,196.45567047986395,134.72651502773888,153.0511420601758,52.161013622507795,48.008513166020656
ACSS2,124.95458244859806,34.14517919202651,49.14763192807617,34.280351562795666,86.61289947443495,33.15184190281328
ACTA2,35.709845823014206,21.67755289726878,19.064806721211408,28.45657251239219,29.82623559960961,15.379528806542694
ACTB,2223.474278307345,1262.6158048600003,989.3107888233195,2415.4897241376525,1942.5015035749761,675.4281935582021
ACTBP9,139.97544923540949,54.12337875504755,63.66550484312047,90.21841279784219,131.19327875399097,44.33842720512889
ACTG1,3759.174054006246,2194.8399112919897,3273.4585598640765,3868.611124458503,1942.5015035749761,2860.3991016742584
ACTL8,26.015147824949626,21.439509579965023,24.72502372129,27.343006915602988,29.532262866611614,32.38967230585963
ACTN1,217.3159115257784,4.808876913773397,237.02410889280125,14.323280006427336,819.0399425377609,110.91212027637566
ACTR10,262.63220029846497,273.60485116413975,204.83806135963968,243.76040636779163,264.7285532387006,142.43155150766154
ACTR1A,108.98229748780138,40.71080940347364,34.33528419937341,47.89821541100266,111.06573593401018,38.31259091019676
ACTR1B,135.11649507786723,136.02707257998537,174.60971255806308,147.1751206391407,91.30361012028038,131.35265833294787
ACTR2,129.13891493009697,60.55608366430952,66.5547624754064,47.74474343430911,39.67862150261282,54.71603602642748
ACTR3,487.50391684452757,632.8062330529821,470.75088602859125,580.1169649850622,896.0404182102881,285.53563545287903
ACTR3BP2,20.811946519167083,14.905160444628404,24.72605202750177,27.710291839975024,37.42758352629029,48.059152288552056
ACTR3BP5,20.811946519167083,14.905160444628404,24.72605202750177,27.710291839975024,37.42758352629029,48.059152288552056
ACTR5,28.66503230862843,37.95873475585636,32.211858590447235,35.67298411484347,13.77451865339431,36.0494960625842
ACTR6,37.377547351987396,92.41979600597642,68.28041870091681,63.609044050201796,15.615750473098952,125.29009209239237
ACVR1,57.0616674221317,16.31899152706857,62.486386137449685,19.327324063196667,35.75318841831104,34.31655988866636
ACVR1B,71.71882763466667,25.8048439302272,44.6803939158514,27.380559080334113,36.15166028116155,27.261248773484386
