Symbol,monocytic.lineage,B.cells,CD4.T.cells,NK.cells,CD8.T.cells,myeloid.dendritic.cells,neutrophils
AIM1,375.1334237044534,524.7367417760686,450.0963327814045,226.70933710697454,474.219112878686,454.2208118873299,133.11875171977707
AIM1L,39.20321316710339,33.03675313546374,32.372570046209255,22.62412357031044,26.99705251202019,43.56386346045688,34.96864526621171
AIM2,74.61325282554233,377.3684497874307,55.40637209252208,11.65389247761604,43.38125845760003,46.495203865361596,79.39960912203183
AIMP1,34.348852540680134,39.07624678095959,35.673725921407,83.87157249098867,91.79285780183626,15.926860434008894,9.150623193752663
AIMP2,136.60438645355546,72.26975007346724,72.1901451660988,139.0326586176071,94.60470302239762,176.5557503944864,28.729281353103083
AIP,64.21774051575854,94.29634847168974,79.79519667721199,133.00622882072025,159.64239305083618,54.58338646390531,55.864117222297345
AIPL1,21.48726565028343,23.83483940996324,20.260529869098733,16.97723961107213,14.975476465810196,26.683018969264452,34.25707336749268
AJ420595,38.408667269645385,43.82918660386476,91.04134712314344,52.210569853923616,74.2618834208464,28.557543896504296,15.131467430919471
AJAP1,10.027777600917545,8.825389795255385,9.091384406092915,7.816701792795533,8.078682318732609,9.402210627358167,13.672735440636966
AK021537,19.67115822567936,28.820031355133743,32.72610498608447,18.869574681801268,25.06687071699649,23.531151244756646,26.288319236548823
AK022030,74.23357788834778,74.34841080848429,77.708472601283,225.0497263111287,167.98050496186212,64.68861860971562,28.913072050088868
AK025288,129.01544705148294,22.17681073239898,81.14385843480059,27.28620780682838,29.78801326496463,23.136680729232975,31.64421776267384
AK026714,595.7238876660294,102.07742279977927,170.40808789030152,22.947101023161032,70.37689698734734,99.5617718264309,900.0554035070023
AK026905,101.52984049407178,19.140146934614297,27.75315726314788,36.277421208909516,33.88699961815928,47.891243810688344,45.87034966924788
AK057657,438.5963512998961,251.32493431797658,268.7721789714343,482.2341464758113,392.1712593832803,303.4636699303484,586.115020560207
AK091729,22.833023410063486,21.927052674049712,23.16717134011136,20.340877318086108,17.14065101456662,14.201486081640407,28.31039552131296
AK096592,49.864459250587466,61.172443509196135,175.08236902703655,50.58017067327981,95.67035191263606,44.416382746040384,17.136136831410436
AK1,16.67055233595423,24.058920390736382,48.31502490509825,46.42371268109078,48.30464429918738,19.48645834315464,17.2213937314933
AK126278,30.030362815827967,16.781851634851087,31.802317580024955,43.457702507667854,67.52079567671018,22.297962758663516,9.043617659462793
AK128734,10.531507090164746,16.06456488201027,28.75797128222044,38.024042126758005,24.113179695244103,7.948430426022253,22.961420635754834
AK2,51.698839816609,34.60119598157833,42.56837167193985,56.91156707921904,54.87168600172437,44.51531933270985,25.73357517441792
AK4,63.35163727087187,48.07150279131066,58.04943016453482,37.74464310827547,37.223969370926774,39.92747682113452,57.06760055064994
AK5,13.612121229531184,12.208127249869435,72.57345254238416,214.2854375232687,81.89423552018799,18.230724614035594,11.53119400172213
AK6,273.0951721969651,225.73557671513663,189.07305923008437,239.71061725839135,307.2054499373597,213.3073695584958,39.13099799454254
AK7,16.010983219337895,19.74629389814175,14.793484459992426,10.638552769323542,11.346142630454358,20.183577403507854,27.225752133471314
AK8,17.78156007186117,25.5990789827767,17.403312188566726,9.213057390622827,9.818141778249432,27.186339351112224,37.34388193803947
AK9,26.369530871910257,69.52982243148766,58.30266802914575,78.05991571939983,67.76648327606185,12.140786671236135,18.676600815554032
AKAP1,16.138784272330543,22.571180968049894,20.025272922417432,8.983390201727005,10.330298233580532,17.05591206467527,12.73882228272201
AKAP10,38.922972875643,22.711168025199818,26.0665907503293,42.484362159977614,60.34113799801759,26.491910789156087,21.629523831947015
AKAP11,28.133165763762257,41.709381099888695,48.07950040690518,25.92622046975731,51.03057526050576,40.65384775324701,13.446604423293005
