gene,naive.CD4.T.cells,memory.CD4.T.cells,regulatory.T.cells
GRAMD4,55.96437916666665,60.277735,73.54472888888888
GRAP,80.45805999999999,47.471646666666665,52.72978777777777
GRAP2,49.412914666666666,69.69761666666666,33.961388888888884
GRAPL,23.404583333333335,15.476080000000001,6.354685
GRASP,70.1203,58.669327777777774,52.826306666666675
GRASPOS,8.5128275,0.7703136666666667,1.1496133333333336
GRB10,90.9174,53.31541555555555,23.781435
GRB14,0.302764,4.225803333333334,5.078283333333333
GRB2,496.0620777777778,568.5532333333334,503.8868416666666
GRB7,5.186663333333334,47.5028,45.9701
GREB1,3.759325222222222,1.5771075555555554,1.7223939999999998
GREB1L,10.320700666666667,9.641799111111112,13.057538333333333
GREM1,5.845459000000001,3.841883833333334,5.8012835
GREM2,7.186482222222222,16.662830555555555,3.4318188888888894
GRHL1,20.7567,11.253064444444446,12.270518333333333
GRHL2,5.124793666666666,7.510182166666667,4.249672222222222
GRHL3,2.748836666666667,2.4086308055555556,1.7792133333333335
GRHPR,252.94273944444444,218.4151222222222,289.01363888888886
GRIA1,11.047244833333332,2.003183111111111,7.215446666666666
GRIA2,0.48260133333333327,1.387816777777778,4.891249444444445
GRIA3,3.2124075,3.6326316666666667,5.5267422
GRIA4,3.3306144444444445,11.003819111111113,8.430190333333334
GRID1,16.830887666666666,25.271724722222228,22.860114444444445
GRID1-AS1,1.2905666666666666,1.5515283333333334,8.551422222222222
GRID2,3.8433333333333333,1.7673733333333335,1.8137233333333336
GRIK1,9.775128333333335,2.2535183333333335,14.6501
GRIK1-AS1,10.498766666666667,4.804768888888888,7.230385000000001
GRIK1-AS2,1.5195366666666665,1.1675578333333334,0.8004023333333334
GRIK2,3.0944436444444445,3.2265165000000002,3.678555
GRIK3,6.184770966666666,3.755187,7.722031666666666
GRIK4,1.5166899999999999,1.5326923333333333,1.1493833333333334
GRIK5,20.945993333333334,26.087211111111113,18.760099999999998
GRIN1,9.675090666666668,4.178882844444445,6.335104199999999
GRIN2A,11.187913333333332,5.625249744444445,9.295270444444446
GRIN2B,12.992565555555556,7.913289555555555,4.545134888888889
GRIN2C,17.225929333333337,12.815157777777777,21.65311777777778
GRIN2D,16.634585,9.72188,17.248356666666666
GRIN3A,7.631228833333332,11.394981666666666,14.682833333333335
GRIN3B,1.71615,3.593454,1.2310999999999999
GRINA,20.917933333333334,12.904913333333333,29.455188888888888
GRIP1,19.9004485,10.072854333333334,8.723060333333333
GRIP2,28.914822222222224,24.451333333333334,48.09258500000001
GRIPAP1,111.94663333333334,99.87253333333332,81.35110000000002
GRK1,17.66756666666667,1.8943699999999997,2.314948333333333
GRK4,6.6488214999999995,6.113280333333333,3.865255833333333
GRK5,201.51088833333333,206.39470000000003,218.6097791666667
GRK6,407.7055833333334,445.8784166666667,433.98005000000006
GRK7,1.4578866666666668,1.1310088333333335,5.286686
GRM1,7.009998400000001,8.592201944444446,3.1361133333333338
GRM2,14.973441666666666,19.93257222222222,29.23876
GRM3,12.738097777777776,16.776688888888888,1.0089946666666667
GRM4,25.261799999999997,21.835155555555556,7.47947
GRM5,25.190447777777777,20.955144444444446,25.859971111111108
GRM6,18.07965,36.584268333333334,16.626
GRM7,6.109444777777777,3.6601883333333336,11.532308333333333
GRM8,3.989635555555555,4.413684777777778,4.643807222222223
GRN,177.95031666666668,212.371,119.4901
GRP,6.792823333333334,1.4091066666666665,0.9603958333333332
GRPEL1,484.16814999999997,481.36533333333335,661.6143666666667
GRPEL2,197.81745333333333,158.82485499999999,194.5062
GRPR,4.392236666666666,16.80392833333333,24.498963333333336
GRSF1,460.8730556666667,405.7443916666667,426.67903714285717
GRTP1,4.0523549999999995,0.9040594999999999,4.8536166666666665
GRTP1-AS1,11.698258333333333,12.017001666666667,5.018484999999999
GRWD1,139.5400718,115.36022777777778,119.17445833333333
GS1-111G14.1,746.7469333333333,556.1381028,637.804888888889
GS1-124K5.11,44.37150555555556,6.269555047619048,45.022490833333336
GS1-124K5.9,6.922006666666667,13.573766666666666,0.3907323333333334
GS1-164F24.1,26.372466666666668,26.719800000000003,31.6083
GS1-166A23.2,14.213700000000001,12.305,17.49391
GS1-24F4.2,3.0663533333333337,5.317318944444445,1.5057599999999998
GS1-259H13.2,24.7722,10.260964444444445,15.542775533333334
GS1-279B7.1,15.706633333333334,3.9148983333333334,7.7363
GS1-304P7.2,1.895245,2.08001,6.133044666666667
GS1-600G8.3,1.3057400000000001,0.5562286666666666,0.9570086666666667
GSAP,897.3211083333332,369.89390000000003,530.6060000000001
GSC,0.9278963333333333,0.947117,0.9285316666666666
GSC2,2.611143333333333,1.02177,1.4047266666666667
GSDMB,262.56013611111115,153.68982222222223,122.74667777777778
GSDMC,43.86388333333334,40.62955633333333,51.0033
GSDMD,413.3885,476.181725,369.6642
GSE1,34.64949555555555,91.82398755555555,50.33166
GSG1,1.5672833333333334,3.8872283333333333,3.2936628888888886
GSG1L,36.66480428571429,35.62851666666667,22.63705555555556
GSG2,21.27940083333333,27.997477777777778,22.96692416666667
GSK3A,46.79468333333333,55.58410125,41.25307822222222
GSK3B,262.4665686,269.43986866666665,265.74654888888887
GSKIP,442.19800000000004,590.8642485714286,437.68209444444443
GSN,12.118375777777779,17.54579372222222,11.786593722222221
GSN-AS1,1.4357600000000001,1.6192140000000002,18.548033333333333
GSPT1,504.25467222222215,513.0622111111111,491.94825666666674
GSPT2,447.0072166666667,351.3971111111111,491.16534166666673
GSR,92.30261666666667,150.10035333333335,96.39933333333333
GSS,313.2802075,246.475635,228.4591311111111
GSTA1,53.332764999999995,52.964572000000004,63.68331311111111
GSTA3,2.349825,6.483809666666667,15.984555555555554
GSTA4,22.953417222222225,16.93772,29.457783333333335
GSTCD,28.43552222222222,20.545178888888888,18.84086122222222
GSTK1,1635.1766666666665,2451.853333333333,1441.4399999999998
GSTM1,141.26130555555554,64.26876666666666,104.7885
GSTM2,271.10436666666664,117.08298333333335,122.21801111111112
GSTM3,199.03930476190476,79.1117111111111,205.80700000000002
GSTM4,24.088513499999994,15.725017999999999,22.99377766666667
GSTM5,30.36524,43.36758333333333,35.82112222222222
GSTO1,547.3287666666666,737.2013833333334,538.035655
GSTO2,15.045041666666664,13.511727222222222,12.497816666666667
GSTP1,121.15733333333333,136.71237999999997,109.57507449999999
GSTT1,42.14304333333334,19.639733333333332,51.68441111111111
GSTT2,2.491956666666667,0.7405588333333334,2.782183333333333
GSTTP1,0.882282,5.729403333333333,1.6528466666666668
GSTZ1,37.379211481481484,18.3997325,18.4369
GSX1,8.908344444444445,2.2988383333333338,5.3385299999999996
GSX2,3.757173333333333,22.075063888888888,4.713743
GTDC1,31.264834833333335,56.96891111111111,29.735595333333336
GTF2A1,388.00293800000003,492.141493,443.5928839333333
GTF2A1L,6.1641943333333336,7.451446499999999,1.2427186666666665
