,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8
SAP30L,12.302971,9.763092,15.43152,14.77499,10.250107,10.979648,10.906332,10.67672,12.029824
SAP30,16.8279,10.6034,11.4912,17.3531,13.5987,21.7924,21.1079,17.9693,15.6435
PPP6R1,100.372,61.8154,117.17185,125.74094,94.4075,79.6995,82.0703,97.7737,99.7007
PPP6R2,25.7971358,22.24774207,61.642254,55.231971,23.1640127,24.61043454,23.948272,26.215111,24.51699342
PPP6R3,30.21009001,24.61986614,46.74331224,49.840889,24.6083397,28.088146,27.34468345,27.18594996,30.91057629
SAR1A,25.59883,20.693,56.27618,50.7203891,20.00280036,22.54519278,20.94634001,19.71753,27.67231659
SAR1B,12.5111,7.889397,10.99353,11.5167,10.97953,6.993060026,7.7446,8.30101,11.69877
SARDH,4.70634,4.826577,5.280943,2.35537,1.0147853,2.128273,2.042275,3.124509,1.001916
SARM1,6.49139,2.980082,7.530019,5.912243,6.033788,4.007529,4.136405038,4.248751,4.71527144
SARNP,60.159736,41.468863,47.39211,53.60774,54.033704,59.100336,55.176346,46.095973,55.847966
SARS2,7.9192334,4.691959,22.001651,23.76337,8.95664,9.381466,6.569592,11.306825,8.970077
SARS,85.10712,53.14302094,69.21331,73.96784802,72.692,64.96563167,59.485766,63.3661294,68.754041
SART1,56.96993,48.1922,56.48626,56.920505,52.028889,43.763348,42.880598,60.88931,49.011055
SART3,17.24171108,11.06211351,20.43453039,19.845563,11.67003,13.1253368,11.41023933,13.23411222,14.9542157
SASH1,3.479578,1.21421,2.1595456,3.53886,3.031326,0.998421,1.373687324,1.083543,1.50432
SASH3,125.9001402,86.413761,147.64293,155.4767,114.432169,122.93592,119.309818,104.6766335,123.036679
SASS6,1.504268,0.883016,3.48452,2.32288,1.10335,1.417558336,1.2262283,1.60668,1.5318
SAT1,318.0072,348.7763,671.5536,711.5179,290.46038,535.9771,430.9461,500.2463,440.3612
SAT2,67.1816,65.8663,101.4126,101.0396,71.0585,76.4629,63.4658,73.6733,54.8233
SATB1,64.00271,45.16658,68.57763,61.20999,37.24503,44.2796,33.68206,47.10495,51.5776
SATB2,0.2828477,0.1884867,0.901356,0.4954964,0.22075469,0.2475359,0.359095,0.2790256,0.3089042
SATL1,0.646948,0.550178,0.768592,0.989671,0.753411,1.08679,0.565604,0.554903,0.699669
SAV1,12.5655,6.083445,7.75867,7.8234997,8.653720778,10.40370275,9.984070004,11.0539,13.29890012
SBDS,52.3155,32.3789,128.421,89.5091,55.546,63.4862,55.458,47.5238,62.8001
SBF1P1,0.0056579,0.00581463,0,0.00337194,0.00437541,0.00223227,0.00489933,0.00322874,0.00291951
SBF1,34.951629,26.2791769,63.26622002,59.44367,32.107671,27.081353,27.928687,26.95155975,35.927574
SBF2,8.027428,10.098189,41.08415,20.02002,9.6953342,10.989615,9.18837,5.58161,9.587266
SBK1,14.2224,11.6146,17.9169,16.5686,16.448,18.0868,13.9683,12.0119,17.323
SBK2,0,0,0,0,0,0,0,0,0
SBNO1,20.15347242,12.621888,30.20873,22.60572336,15.684241,14.457236,13.93764406,13.5269757,20.40842109
SBNO2,17.54609032,19.50846712,66.68336,52.401198,14.74055234,20.8850113,14.800582,21.32301752,14.26697141
SBSN,0,0.0650395,0,0,0,0,0,0,0
MSMO1,5.731932,5.59896,12.634476,10.07182,5.30534,5.049277,5.369456,4.98786,5.91908
SC5D,4.60412029,2.718613062,6.626676,6.718338,4.0356512,3.592337009,3.038095,3.389551002,4.639876964
P3H4,3.27106,5.51611,13.970047,5.27981,3.51958,3.79515,3.563263,2.98853,3.95275
SCAF1,24.3334,15.2145,22.6756,24.9882,19.1838,17.2979,17.0375,21.3417,18.3916
SCAI,2.194800062,2.56079,6.325878,4.0740018,2.0360181,2.528086,1.8039637,1.95407092,2.010067
SCAMP1,7.970110012,5.933462317,7.954996094,7.841592493,8.9014874,7.966965764,7.090242819,5.969482053,10.005586
SCAMP2,141.2269,119.6793,109.6274,133.4743,144.9812,116.18431,118.90902,129.14147,133.199388
SCAMP3,49.76861,37.55183003,50.36544,51.12196001,47.478025,38.28994,38.73059,40.780432,44.3062
SCAMP4,28.99607113,25.33691,48.87886683,34.79748,31.279831,22.939033,23.35194,27.550928,23.8599
SCAMP5,2.316740002,2.864980003,1.801256981,4.170645001,2.28335,2.268805004,1.847424001,1.9438749,1.255164353
SCAND1,189.06611,264.83604,207.6686,160.6291,204.703,161.8989,198.6414,253.985,177.26646
ZBED9,0.0319106,0,0.00550316,0.0253464,0,0,0.0459301,0.0444209,0.00730821
SCAPER,5.035159,5.516305,7.839026,8.200777,3.59456183,7.282237,4.68095,4.894127,5.636589
SCAP,26.0347,22.7855,33.73598,33.30411,26.5839,22.40717,20.41795,28.47007,24.30288
SCARA3,0,0,0,0,0.00738877,0,0,0,0
SCARA5,0.206424,0.394138,0.0732321,0.1561963,0.0729625,0.389659,0.0458404,0.0246301,0.042548
SCARB1,10.8868358,8.856865,6.5624015,9.985739,8.44947817,5.9733,6.489256,9.93347,5.273159
SCARB2,20.8804,13.54673,17.53905,28.16540007,22.0818,17.85519,21.06437,22.78683124,25.0166
SCARF1,4.12004418,4.217649,13.39688,13.0665725,3.995734026,4.86774,3.471673009,4.2805,3.060883992
SCARF2,1.29206815,1.84443236,3.393831291,2.483059,0.82227207,1.387572,0.711686,1.29613892,1.09601671
SCARNA10,0,0,0.662465,0.363236,0.0942894,0.671409,0.105315,0.300933,0.125679
SCARNA11,0,0,0,0,0,0,0,0,0
SCARNA12,2.6488,2.88348,22.9744,18.0072,1.44567,5.26967,3.56583,3.22388,3.29188
SCARNA14,0,0,0.908932,0,0,0,0,0,1.00589
SCARNA16,0.751312,0,4.66445,8.80227,0,0.098488,0.216278,2.42449,0.645251
SNHG22,6.67653,15.0541,13.0784,11.1915,5.69628,5.72208,8.31081,5.87359,8.54171
SCARNA18,0,0,0,0,0,0,0,0,0
SCARNA1,0,0,0.227669,0.349532,0,0,0,0,0
SCARNA20,0.212138,0,1.97556,0,0.656096,0.500559,0.54961,1.36915,0.874518
SCARNA21,2.50905,0,3.29517,2.06957,0,0,0,0.806008,0
SCARNA22,0,0,0,0,0,0,0,0,0
SCARNA23,0,0,0,0.252751,0,0,0,0,0
