,Tregs,memory.B.cells,naive.B.cells,naive.CD4.T.cells,memory.CD4.T.cells,monocytes,naive.CD8.T.cells,endothelial.cells
ABHD1,6.428107,2.192745289,1.44903676,0.389728504,0.157331869,0.38,2.37,2.228810207
ABHD10,23.75254,112.122257,114.2972312,49.18251372,30.07258234,8.87,7.08,33.01288874
ABHD11,13.80242368,19.3540535,34.19490417,3.768402175,6.7766518,20.74,24.15,22.59852368
ABHD11-AS1,0.0,3.485447228,1.3512669080000002,0.0,1.4429294830000001,0.0,0.0,0.0
ABHD12,9.617498,31.35703081,25.17439016,45.40401725,37.97988696,18.12,10.73,19.93830902
ABHD12B,9.973542,0.103841857,0.0,0.0,0.0,0.73,1.85,0.0
ABHD13,11.7079,48.88780479,60.74752271,36.08531644,41.38543287,12.74,10.31,14.36781229
ABHD14A,34.46728,32.61814798,27.14713023,50.60737176,32.03095088,2.03,9.56,10.06392126
ABHD14A-ACY1,9.08055,0.0,0.0,0.0,0.0,0.02,2.85,11.60652554
ABHD14B,50.124140000000004,113.6164277,93.82374222,40.35249246,28.93950898,20.06,21.81,11.909676699999999
ABHD15,3.03209,96.90038167,78.35307246,0.881855122,17.35930902,6.22,8.0,6.693653812000001
ABHD15-AS1,0.0,16.04051275,11.95907344,0.0,0.0,0.0,0.0,0.0
ABHD16A,41.307359999999996,65.67076063,76.46550349,3.142760382,4.963127624,38.17,21.63,7.359968841000001
ABHD16B,1.3054290000000002,19.73099754,25.57324734,2.062532773,0.0,4.27,2.67,0.21790684800000001
ABHD17A,2.020731,117.03458810000001,138.4344406,0.0,0.0,53.85,102.92,22.07162709
ABHD17AP1,2.9110400000000003,22.33998584,25.7271757,0.0,0.0,0.0,0.0,0.0
ABHD17AP3,0.0,4.43073812,4.294362679,0.0,0.0,0.0,0.0,0.0
ABHD17AP4,0.0,27.11810869,19.88683838,0.0,0.0,0.0,0.0,0.0
ABHD17AP5,0.0,107.61875309999999,85.48837184,0.0,0.0,0.0,0.0,0.0
ABHD17AP6,0.0,22.24854891,25.06250648,0.0,0.0,0.0,0.0,0.0
ABHD17AP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17B,5.50979,85.46377856,84.94943316,0.0,0.0,20.98,32.6,22.54807811
ABHD17C,0.0,1.908491369,1.726432548,0.0,0.0,1.36,1.13,10.84942408
ABHD18,24.019579,33.53874415,33.93624297,0.0,0.0,0.0,0.0,11.66868267
ABHD2,45.35913,61.30300271,46.76980334,3.70227143,2.329073246,43.16,14.35,15.18332774
ABHD3,41.1199704,49.88899601,48.04611166,17.95215243,2.865818279,23.45,18.21,5.70916231
ABHD4,12.10494877,41.47022793,22.55578215,4.829122936,2.176183804,8.08,2.92,47.70798071
ABHD5,11.157789999999999,11.2022186,7.1912789,0.9211731540000001,5.121236085,63.94,21.65,16.18225707
ABHD6,41.3495967,42.55994247,50.84588837,0.0,0.665488163,6.25,3.9,6.519430259
ABHD8,0.0,21.92519791,25.75340468,13.54940558,6.095744203,7.46,2.57,9.260236381
ABI1,42.47018357,155.8484097,152.801121,125.2534875,169.9335428,56.38,52.38,15.68859549
ABI1P1,0.0,0.0,0.7986952620000001,0.0,0.0,0.0,0.0,0.0
ABI2,32.448765,10.16166745,10.49590533,2.304630637,2.3171487969999998,3.21,8.54,63.48605108
ABI3,3.3004919999999998,142.5819448,107.0368723,4.008160854,6.310507392000001,25.62,4.77,0.0
ABI3BP,34.950208,0.25221709600000003,0.244454006,0.0,0.0,0.47,0.15,189.43454330000003
ABL1,6.929285,63.82389244,60.29156583,4.252831415,4.521041925,11.06,7.07,16.22122829
ABL2,18.15784,19.49347509,24.66273609,4.3773052130000005,1.3938964219999999,5.24,8.87,1.882025436
ABLIM1,109.45221599999999,166.6651813,194.5220651,116.1302697,61.34851421,0.15,87.21,84.69760839
ABLIM2,6.149929,0.610313391,0.96123351,0.903868476,1.0358115479999999,0.1,0.97,2.290451102
