"ROW_ID","ROW_VERSION","objectId","submitterId","repo_name","submitter","is_latest","dataset","celltype","metric","metric_value"
"570","1","9696369","3393206","lnvi_sub2","VUmc_TGAC","false","FIVA2","neutrophils","spearman","0.623"
"571","1","9696348","3392907","r3-sc2-s2-reupload","Rubbernecks","true","FIVA2","neutrophils","spearman","0.952"
"572","1","9696347","3392907","r3-sc2-s1-reupload","Rubbernecks","false","FIVA2","neutrophils","spearman","0.83"
"573","1","9696229","3390884","lb3sc2s2","Aboensis IV","true","FIVA2","neutrophils","spearman","0.895"
"574","1","9696203","3390884","lb3sc2s1","Aboensis IV","false","FIVA2","neutrophils","spearman","0.725"
"575","1","9696024","3390893","my-model","D3Team","true","FIVA2","neutrophils","spearman","0.701"
"576","1","9695993","3390893","my-model","D3Team","false","FIVA2","neutrophils","spearman","0.753"
"577","1","9695973","3397741","beda-decon","Tonys Boys","true","FIVA2","neutrophils","spearman","0"
"578","1","9695901","3397741","beda-decon","Tonys Boys","false","FIVA2","neutrophils","spearman","0"
"579","1","9695845","3392392","celest_fine","CCB","true","FIVA2","neutrophils","spearman","0.925"
"580","1","9695844","3392392","celest_fine","CCB","false","FIVA2","neutrophils","spearman","0.774"
"581","1","9695725","3396736","dc_round3_fine2","Aginome-XMU","true","FIVA2","neutrophils","spearman","0.881"
"582","1","9695579","3396736","dc_round3_fine1","Aginome-XMU","false","FIVA2","neutrophils","spearman","0.881"
"583","1","9695136","3394057","my-model2","Northwestern Polytechnical University","true","FIVA2","neutrophils","spearman","0.806"
"584","1","9694643","3394515","model12","REGGEN_LAB","true","FIVA2","neutrophils","spearman","0.737"
"585","1","9693959","3360851","baseline_method1","andrewelamb","true","FIVA2","neutrophils","spearman","0.943"
"586","1","9693922","3360851","baseline_method5","andrewelamb","false","FIVA2","neutrophils","spearman","0.296"
"587","1","9693920","3360851","baseline_method4","andrewelamb","false","FIVA2","neutrophils","spearman","0.95"
"588","1","9693918","3360851","baseline_method3","andrewelamb","false","FIVA2","neutrophils","spearman","0.836"
"589","1","9693916","3360851","baseline_method2","andrewelamb","false","FIVA2","neutrophils","spearman","0.881"
"590","1","9696412","3396685","finep3cps","DA_505","true","FIVA1","myeloid.dendritic.cells","spearman","0.725"
"591","1","9696409","3392762","izi_fine","IZI","true","FIVA1","myeloid.dendritic.cells","spearman","0.95"
"592","1","9696405","3390926","ictdtest","ICTD","true","FIVA1","myeloid.dendritic.cells","spearman","0.961"
"593","1","9696401","3395690","test","Cancer_Decon","true","FIVA1","myeloid.dendritic.cells","spearman","0.961"
"594","1","9696400","3396685","finep3drg","DA_505","false","FIVA1","myeloid.dendritic.cells","spearman","0"
"595","1","9696397","3391057","main_fine","LeiliLab","true","FIVA1","myeloid.dendritic.cells","spearman","0.931"
"596","1","9696393","3391553","r3_fine_elasticnet","mitten_TDC19","true","FIVA1","myeloid.dendritic.cells","spearman","0.498"
"597","1","9696391","3391553","r3_fine_median","mitten_TDC19","false","FIVA1","myeloid.dendritic.cells","spearman","0.968"
"598","1","9696382","3392762","izi_fine","IZI","false","FIVA1","myeloid.dendritic.cells","spearman","0.926"
"599","1","9696376","3391057","fine_coarse_k","LeiliLab","false","FIVA1","myeloid.dendritic.cells","spearman","0.788"
"600","1","9696372","3393206","lnvi_sub2","VUmc_TGAC","true","FIVA1","myeloid.dendritic.cells","spearman","0.069"
"601","1","9696369","3393206","lnvi_sub2","VUmc_TGAC","false","FIVA1","myeloid.dendritic.cells","spearman","0.167"
"602","1","9696348","3392907","r3-sc2-s2-reupload","Rubbernecks","true","FIVA1","myeloid.dendritic.cells","spearman","0.941"
"603","1","9696347","3392907","r3-sc2-s1-reupload","Rubbernecks","false","FIVA1","myeloid.dendritic.cells","spearman","0.986"
"604","1","9696229","3390884","lb3sc2s2","Aboensis IV","true","FIVA1","myeloid.dendritic.cells","spearman","0.953"
"605","1","9696203","3390884","lb3sc2s1","Aboensis IV","false","FIVA1","myeloid.dendritic.cells","spearman","0.929"
"606","1","9696024","3390893","my-model","D3Team","true","FIVA1","myeloid.dendritic.cells","spearman","0.955"
"607","1","9695993","3390893","my-model","D3Team","false","FIVA1","myeloid.dendritic.cells","spearman","0.958"
"608","1","9695973","3397741","beda-decon","Tonys Boys","true","FIVA1","myeloid.dendritic.cells","spearman","0.594"
"609","1","9695901","3397741","beda-decon","Tonys Boys","false","FIVA1","myeloid.dendritic.cells","spearman","0.276"
"610","1","9695845","3392392","celest_fine","CCB","true","FIVA1","myeloid.dendritic.cells","spearman","0.758"
"611","1","9695844","3392392","celest_fine","CCB","false","FIVA1","myeloid.dendritic.cells","spearman","0.758"
"612","1","9695725","3396736","dc_round3_fine2","Aginome-XMU","true","FIVA1","myeloid.dendritic.cells","spearman","0.707"
"613","1","9695579","3396736","dc_round3_fine1","Aginome-XMU","false","FIVA1","myeloid.dendritic.cells","spearman","-0.442"
"614","1","9695136","3394057","my-model2","Northwestern Polytechnical University","true","FIVA1","myeloid.dendritic.cells","spearman","0.693"
"615","1","9694643","3394515","model12","REGGEN_LAB","true","FIVA1","myeloid.dendritic.cells","spearman","0.52"
"616","1","9693959","3360851","baseline_method1","andrewelamb","true","FIVA1","myeloid.dendritic.cells","spearman","0.962"
"617","1","9693922","3360851","baseline_method5","andrewelamb","false","FIVA1","myeloid.dendritic.cells","spearman","0.949"
"618","1","9693920","3360851","baseline_method4","andrewelamb","false","FIVA1","myeloid.dendritic.cells","spearman","0.996"
"619","1","9693918","3360851","baseline_method3","andrewelamb","false","FIVA1","myeloid.dendritic.cells","spearman","-0.208"
"620","1","9693916","3360851","baseline_method2","andrewelamb","false","FIVA1","myeloid.dendritic.cells","spearman","0.986"
"621","1","9696412","3396685","finep3cps","DA_505","true","FIAS4","memory.CD8.T.cells","pearson","0.682"
"622","1","9696409","3392762","izi_fine","IZI","true","FIAS4","memory.CD8.T.cells","pearson","0.532"
"623","1","9696405","3390926","ictdtest","ICTD","true","FIAS4","memory.CD8.T.cells","pearson","-0.11"
"624","1","9696401","3395690","test","Cancer_Decon","true","FIAS4","memory.CD8.T.cells","pearson","-0.11"
"625","1","9696400","3396685","finep3drg","DA_505","false","FIAS4","memory.CD8.T.cells","pearson","0.779"
"626","1","9696397","3391057","main_fine","LeiliLab","true","FIAS4","memory.CD8.T.cells","pearson","0.52"
"627","1","9696393","3391553","r3_fine_elasticnet","mitten_TDC19","true","FIAS4","memory.CD8.T.cells","pearson","0.835"
"628","1","9696391","3391553","r3_fine_median","mitten_TDC19","false","FIAS4","memory.CD8.T.cells","pearson","0.69"
"629","1","9696382","3392762","izi_fine","IZI","false","FIAS4","memory.CD8.T.cells","pearson","0.029"
"630","1","9696376","3391057","fine_coarse_k","LeiliLab","false","FIAS4","memory.CD8.T.cells","pearson","0.794"
"631","1","9696372","3393206","lnvi_sub2","VUmc_TGAC","true","FIAS4","memory.CD8.T.cells","pearson","-0.025"
"632","1","9696369","3393206","lnvi_sub2","VUmc_TGAC","false","FIAS4","memory.CD8.T.cells","pearson","-0.264"
"633","1","9696348","3392907","r3-sc2-s2-reupload","Rubbernecks","true","FIAS4","memory.CD8.T.cells","pearson","0.647"
"634","1","9696347","3392907","r3-sc2-s1-reupload","Rubbernecks","false","FIAS4","memory.CD8.T.cells","pearson","0.36"
"635","1","9696229","3390884","lb3sc2s2","Aboensis IV","true","FIAS4","memory.CD8.T.cells","pearson","-0.228"
"636","1","9696203","3390884","lb3sc2s1","Aboensis IV","false","FIAS4","memory.CD8.T.cells","pearson","-0.246"
"637","1","9696024","3390893","my-model","D3Team","true","FIAS4","memory.CD8.T.cells","pearson","0.874"
"638","1","9695993","3390893","my-model","D3Team","false","FIAS4","memory.CD8.T.cells","pearson","0.876"
"639","1","9695973","3397741","beda-decon","Tonys Boys","true","FIAS4","memory.CD8.T.cells","pearson","0.864"
"640","1","9695901","3397741","beda-decon","Tonys Boys","false","FIAS4","memory.CD8.T.cells","pearson","0.893"
"641","1","9695845","3392392","celest_fine","CCB","true","FIAS4","memory.CD8.T.cells","pearson","0.576"
"642","1","9695844","3392392","celest_fine","CCB","false","FIAS4","memory.CD8.T.cells","pearson","0.525"
"643","1","9695725","3396736","dc_round3_fine2","Aginome-XMU","true","FIAS4","memory.CD8.T.cells","pearson","0.137"
"644","1","9695579","3396736","dc_round3_fine1","Aginome-XMU","false","FIAS4","memory.CD8.T.cells","pearson","0.137"
"645","1","9695136","3394057","my-model2","Northwestern Polytechnical University","true","FIAS4","memory.CD8.T.cells","pearson","0.53"
"646","1","9694643","3394515","model12","REGGEN_LAB","true","FIAS4","memory.CD8.T.cells","pearson","-0.289"
"647","1","9693959","3360851","baseline_method1","andrewelamb","true","FIAS4","memory.CD8.T.cells","pearson","-0.013"
"648","1","9693922","3360851","baseline_method5","andrewelamb","false","FIAS4","memory.CD8.T.cells","pearson","-0.042"
"649","1","9693920","3360851","baseline_method4","andrewelamb","false","FIAS4","memory.CD8.T.cells","pearson","-0.294"
"650","1","9693918","3360851","baseline_method3","andrewelamb","false","FIAS4","memory.CD8.T.cells","pearson","0"
"651","1","9693916","3360851","baseline_method2","andrewelamb","false","FIAS4","memory.CD8.T.cells","pearson","0.279"
"652","1","9696412","3396685","finep3cps","DA_505","true","FIAS6","neutrophils","pearson","0.991"
"653","1","9696409","3392762","izi_fine","IZI","true","FIAS6","neutrophils","pearson","0.965"
"654","1","9696405","3390926","ictdtest","ICTD","true","FIAS6","neutrophils","pearson","0.613"
"655","1","9696401","3395690","test","Cancer_Decon","true","FIAS6","neutrophils","pearson","0.613"
"656","1","9696400","3396685","finep3drg","DA_505","false","FIAS6","neutrophils","pearson","0.982"
"657","1","9696397","3391057","main_fine","LeiliLab","true","FIAS6","neutrophils","pearson","0.925"
"658","1","9696393","3391553","r3_fine_elasticnet","mitten_TDC19","true","FIAS6","neutrophils","pearson","0.917"
"659","1","9696391","3391553","r3_fine_median","mitten_TDC19","false","FIAS6","neutrophils","pearson","0.829"
"660","1","9696382","3392762","izi_fine","IZI","false","FIAS6","neutrophils","pearson","0.988"
"661","1","9696376","3391057","fine_coarse_k","LeiliLab","false","FIAS6","neutrophils","pearson","0.898"
"662","1","9696372","3393206","lnvi_sub2","VUmc_TGAC","true","FIAS6","neutrophils","pearson","0.762"
"663","1","9696369","3393206","lnvi_sub2","VUmc_TGAC","false","FIAS6","neutrophils","pearson","0.877"
"664","1","9696348","3392907","r3-sc2-s2-reupload","Rubbernecks","true","FIAS6","neutrophils","pearson","0.962"
"665","1","9696347","3392907","r3-sc2-s1-reupload","Rubbernecks","false","FIAS6","neutrophils","pearson","0.925"
"666","1","9696229","3390884","lb3sc2s2","Aboensis IV","true","FIAS6","neutrophils","pearson","0.942"
"667","1","9696203","3390884","lb3sc2s1","Aboensis IV","false","FIAS6","neutrophils","pearson","0.952"
"668","1","9696024","3390893","my-model","D3Team","true","FIAS6","neutrophils","pearson","0.907"
"669","1","9695993","3390893","my-model","D3Team","false","FIAS6","neutrophils","pearson","0.902"
"670","1","9695973","3397741","beda-decon","Tonys Boys","true","FIAS6","neutrophils","pearson","0"
"671","1","9695901","3397741","beda-decon","Tonys Boys","false","FIAS6","neutrophils","pearson","0"
"672","1","9695845","3392392","celest_fine","CCB","true","FIAS6","neutrophils","pearson","0.938"
"673","1","9695844","3392392","celest_fine","CCB","false","FIAS6","neutrophils","pearson","0.96"
"674","1","9695725","3396736","dc_round3_fine2","Aginome-XMU","true","FIAS6","neutrophils","pearson","0.982"
"675","1","9695579","3396736","dc_round3_fine1","Aginome-XMU","false","FIAS6","neutrophils","pearson","0.982"
"676","1","9695136","3394057","my-model2","Northwestern Polytechnical University","true","FIAS6","neutrophils","pearson","0"
"677","1","9694643","3394515","model12","REGGEN_LAB","true","FIAS6","neutrophils","pearson","0.236"
"678","1","9693959","3360851","baseline_method1","andrewelamb","true","FIAS6","neutrophils","pearson","0.963"
"679","1","9693922","3360851","baseline_method5","andrewelamb","false","FIAS6","neutrophils","pearson","-0.157"
"680","1","9693920","3360851","baseline_method4","andrewelamb","false","FIAS6","neutrophils","pearson","0.967"
"681","1","9693918","3360851","baseline_method3","andrewelamb","false","FIAS6","neutrophils","pearson","0.982"
"682","1","9693916","3360851","baseline_method2","andrewelamb","false","FIAS6","neutrophils","pearson","0.89"
"683","1","9696412","3396685","finep3cps","DA_505","true","FIVA1","myeloid.dendritic.cells","pearson","0.69"
"684","1","9696409","3392762","izi_fine","IZI","true","FIVA1","myeloid.dendritic.cells","pearson","0.945"
"685","1","9696405","3390926","ictdtest","ICTD","true","FIVA1","myeloid.dendritic.cells","pearson","0.995"
"686","1","9696401","3395690","test","Cancer_Decon","true","FIVA1","myeloid.dendritic.cells","pearson","0.995"
"687","1","9696400","3396685","finep3drg","DA_505","false","FIVA1","myeloid.dendritic.cells","pearson","0"
"688","1","9696397","3391057","main_fine","LeiliLab","true","FIVA1","myeloid.dendritic.cells","pearson","0.991"
"689","1","9696393","3391553","r3_fine_elasticnet","mitten_TDC19","true","FIVA1","myeloid.dendritic.cells","pearson","0.52"
"690","1","9696391","3391553","r3_fine_median","mitten_TDC19","false","FIVA1","myeloid.dendritic.cells","pearson","0.945"
"691","1","9696382","3392762","izi_fine","IZI","false","FIVA1","myeloid.dendritic.cells","pearson","0.803"
"692","1","9696376","3391057","fine_coarse_k","LeiliLab","false","FIVA1","myeloid.dendritic.cells","pearson","0.901"
"693","1","9696372","3393206","lnvi_sub2","VUmc_TGAC","true","FIVA1","myeloid.dendritic.cells","pearson","0.142"
"694","1","9696369","3393206","lnvi_sub2","VUmc_TGAC","false","FIVA1","myeloid.dendritic.cells","pearson","-0.113"
"695","1","9696348","3392907","r3-sc2-s2-reupload","Rubbernecks","true","FIVA1","myeloid.dendritic.cells","pearson","0.905"
"696","1","9696347","3392907","r3-sc2-s1-reupload","Rubbernecks","false","FIVA1","myeloid.dendritic.cells","pearson","0.956"
"697","1","9696229","3390884","lb3sc2s2","Aboensis IV","true","FIVA1","myeloid.dendritic.cells","pearson","0.997"
"698","1","9696203","3390884","lb3sc2s1","Aboensis IV","false","FIVA1","myeloid.dendritic.cells","pearson","0.992"
"699","1","9696024","3390893","my-model","D3Team","true","FIVA1","myeloid.dendritic.cells","pearson","0.969"
"700","1","9695993","3390893","my-model","D3Team","false","FIVA1","myeloid.dendritic.cells","pearson","0.972"
"701","1","9695973","3397741","beda-decon","Tonys Boys","true","FIVA1","myeloid.dendritic.cells","pearson","0.642"
"702","1","9695901","3397741","beda-decon","Tonys Boys","false","FIVA1","myeloid.dendritic.cells","pearson","0.354"
"703","1","9695845","3392392","celest_fine","CCB","true","FIVA1","myeloid.dendritic.cells","pearson","0.709"
"704","1","9695844","3392392","celest_fine","CCB","false","FIVA1","myeloid.dendritic.cells","pearson","0.709"
"705","1","9695725","3396736","dc_round3_fine2","Aginome-XMU","true","FIVA1","myeloid.dendritic.cells","pearson","0.793"
"706","1","9695579","3396736","dc_round3_fine1","Aginome-XMU","false","FIVA1","myeloid.dendritic.cells","pearson","-0.468"
"707","1","9695136","3394057","my-model2","Northwestern Polytechnical University","true","FIVA1","myeloid.dendritic.cells","pearson","0.833"
"708","1","9694643","3394515","model12","REGGEN_LAB","true","FIVA1","myeloid.dendritic.cells","pearson","0.388"
"709","1","9693959","3360851","baseline_method1","andrewelamb","true","FIVA1","myeloid.dendritic.cells","pearson","0.97"
"710","1","9693922","3360851","baseline_method5","andrewelamb","false","FIVA1","myeloid.dendritic.cells","pearson","0.997"
"711","1","9693920","3360851","baseline_method4","andrewelamb","false","FIVA1","myeloid.dendritic.cells","pearson","0.811"
"712","1","9693918","3360851","baseline_method3","andrewelamb","false","FIVA1","myeloid.dendritic.cells","pearson","-0.321"
"713","1","9693916","3360851","baseline_method2","andrewelamb","false","FIVA1","myeloid.dendritic.cells","pearson","1"
"714","1","9696412","3396685","finep3cps","DA_505","true","FIAS4","NK.cells","spearman","0.845"
"715","1","9696409","3392762","izi_fine","IZI","true","FIAS4","NK.cells","spearman","-0.17"
"716","1","9696405","3390926","ictdtest","ICTD","true","FIAS4","NK.cells","spearman","0.571"
"717","1","9696401","3395690","test","Cancer_Decon","true","FIAS4","NK.cells","spearman","0.571"
"718","1","9696400","3396685","finep3drg","DA_505","false","FIAS4","NK.cells","spearman","0.833"
"719","1","9696397","3391057","main_fine","LeiliLab","true","FIAS4","NK.cells","spearman","0.591"
"720","1","9696393","3391553","r3_fine_elasticnet","mitten_TDC19","true","FIAS4","NK.cells","spearman","0.65"
"721","1","9696391","3391553","r3_fine_median","mitten_TDC19","false","FIAS4","NK.cells","spearman","0.89"
"722","1","9696382","3392762","izi_fine","IZI","false","FIAS4","NK.cells","spearman","0.529"
"723","1","9696376","3391057","fine_coarse_k","LeiliLab","false","FIAS4","NK.cells","spearman","-0.416"
"724","1","9696372","3393206","lnvi_sub2","VUmc_TGAC","true","FIAS4","NK.cells","spearman","0.218"
"725","1","9696369","3393206","lnvi_sub2","VUmc_TGAC","false","FIAS4","NK.cells","spearman","0.549"
"726","1","9696348","3392907","r3-sc2-s2-reupload","Rubbernecks","true","FIAS4","NK.cells","spearman","0.889"
"727","1","9696347","3392907","r3-sc2-s1-reupload","Rubbernecks","false","FIAS4","NK.cells","spearman","0.337"
"728","1","9696229","3390884","lb3sc2s2","Aboensis IV","true","FIAS4","NK.cells","spearman","0.889"
"729","1","9696203","3390884","lb3sc2s1","Aboensis IV","false","FIAS4","NK.cells","spearman","0.889"
"730","1","9696024","3390893","my-model","D3Team","true","FIAS4","NK.cells","spearman","0.645"
"731","1","9695993","3390893","my-model","D3Team","false","FIAS4","NK.cells","spearman","0.759"
"732","1","9695973","3397741","beda-decon","Tonys Boys","true","FIAS4","NK.cells","spearman","0.806"
"733","1","9695901","3397741","beda-decon","Tonys Boys","false","FIAS4","NK.cells","spearman","0.811"
"734","1","9695845","3392392","celest_fine","CCB","true","FIAS4","NK.cells","spearman","0.597"
"735","1","9695844","3392392","celest_fine","CCB","false","FIAS4","NK.cells","spearman","0.726"
"736","1","9695725","3396736","dc_round3_fine2","Aginome-XMU","true","FIAS4","NK.cells","spearman","0.818"
"737","1","9695579","3396736","dc_round3_fine1","Aginome-XMU","false","FIAS4","NK.cells","spearman","0.818"
"738","1","9695136","3394057","my-model2","Northwestern Polytechnical University","true","FIAS4","NK.cells","spearman","0.439"
