,monocytes,myeloid.dendritic.cells,NK.cells,naive.CD4.T.cells,memory.CD4.T.cells,naive.CD8.T.cells,naive.B.cells,neutrophils
CLDN1,1.0,0.0,0,1.0,1.0,1.0,0.0,0.0
CLDN10,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
CLDN10-AS1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
CLDN11,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
CLDN12,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0
CLDN14,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLDN15,1.0,1.0,1,2.0,1.0,1.0,1.0,2.0
CLDN16,1.0,2.0,2,2.0,4.0,1.0,1.0,2.0
CLDN17,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
CLDN18,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
CLDN19,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLDN2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLDN20,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLDN22,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
CLDN23,1.0,1.0,1,0.0,1.0,1.0,0.0,0.0
CLDN3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLDN4,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
CLDN5,2.0,2.0,2,2.0,1.0,2.0,2.0,2.0
CLDN6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLDN7,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLDN8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CLDN9,1.0,2.0,1,1.0,2.0,2.0,2.0,1.0
CLDND1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLDND2,1.0,2.0,4,2.0,3.0,2.0,2.0,4.0
CLEC10A,3.0,345.0,1,1.0,1.0,1.0,1.0,7.0
CLEC11A,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLEC12A,1.0,0.0,0,0.0,1.0,0.0,0.0,1.0
CLEC12B,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0
CLEC14A,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLEC16A,1.0,2.0,2,3.0,2.0,2.0,2.0,1.0
CLEC18A,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLEC18C,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLEC1A,1.0,1.0,1,1.0,2.0,0.0,1.0,1.0
CLEC1B,1.0,1.0,1,2.0,2.0,1.0,1.0,1.0
CLEC2B,82.0,6.0,16,5.0,15.0,14.0,4.0,15.0
CLEC2D,0.0,1.0,2,2.0,1.0,3.0,1.0,4.0
CLEC2L,1.0,1.0,1,1.0,1.0,2.0,2.0,1.0
CLEC3A,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0
CLEC3B,1.0,2.0,1,1.0,2.0,1.0,1.0,1.0
CLEC4A,25.0,117.0,1,1.0,1.0,1.0,1.0,5.0
CLEC4C,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0
CLEC4D,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0
CLEC4E,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0
CLEC4F,26.0,3.0,1,1.0,2.0,1.0,1.0,2.0
CLEC4G,3.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLEC4GP1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLEC4M,1.0,1.0,0,1.0,0.0,1.0,1.0,1.0
CLEC5A,1.0,1.0,0,1.0,1.0,1.0,0.0,1.0
CLEC7A,1.0,1.0,0,1.0,1.0,0.0,1.0,1.0
CLECL1,3.0,2.0,1,1.0,1.0,1.0,3.0,1.0
CLGN,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CLHC1,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
CLIC1,551.0,785.0,448,62.0,380.0,94.0,382.0,936.0
CLIC1P1,3.0,4.0,3,1.0,2.0,2.0,2.0,3.0
CLIC2,1.0,18.0,0,0.0,0.0,0.0,0.0,1.0
CLIC3,1.0,2.0,497,1.0,2.0,2.0,1.0,496.0
CLIC4,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0
CLIC5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
CLIC6,0.0,0.0,0,1.0,1.0,1.0,0.0,1.0
CLINT1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CLIP1,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
CLIP1-AS1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLIP2,3.0,5.0,3,2.0,1.0,2.0,8.0,2.0
CLIP3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLIP4,3.0,1.0,2,1.0,2.0,2.0,2.0,1.0
CLK1,544.0,155.0,533,531.0,298.0,756.0,323.0,207.0
CLK2,5.0,25.0,52,54.0,23.0,27.0,28.0,51.0
CLK3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLK4,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
CLLU1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CLMN,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
CLMP,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
CLN3,7.0,13.0,10,9.0,6.0,6.0,2.0,12.0
CLN5,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0
CLN6,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
CLN8,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLNK,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0
CLNS1A,2.0,2.0,4,1.0,2.0,5.0,6.0,1.0
CLOCK,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0
CLP1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLPB,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0
CLPP,7.0,17.0,18,35.0,55.0,20.0,18.0,11.0
CLPS,1.0,1.0,1,2.0,1.0,1.0,1.0,1.0
CLPTM1,2.0,3.0,4,3.0,4.0,2.0,2.0,3.0
CLPTM1L,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
CLPX,1.0,2.0,1,1.0,1.0,1.0,1.0,4.0
CLRN1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLRN1-AS1,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0
CLRN3,0.0,1.0,1,0.0,1.0,0.0,0.0,1.0
CLSPN,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
CLSTN1,18.0,31.0,105,77.0,89.0,80.0,35.0,52.0
CLSTN2,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0
CLSTN2-AS1,2.0,2.0,2,3.0,6.0,1.0,2.0,2.0
CLSTN3,2.0,2.0,6,2.0,3.0,3.0,3.0,3.0
CLTA,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLTB,0.0,1.0,1,1.0,1.0,0.0,1.0,1.0
CLTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CLTC-IT1,2.0,1.0,2,2.0,2.0,2.0,2.0,2.0
CLTCL1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLU,0.0,1.0,0,0.0,1.0,1.0,1.0,1.0
CLUAP1,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0
CLUH,7.0,8.0,7,8.0,7.0,7.0,12.0,5.0
CLUHP3,0.0,1.0,2,1.0,3.0,2.0,1.0,1.0
CLUL1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLVS1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLVS2,1.0,1.0,1,0.0,1.0,1.0,1.0,1.0
CLYBL,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0
CLYBL-AS1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CLYBL-AS2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CMA1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CMAHP,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
CMAS,3.0,3.0,2,3.0,2.0,3.0,2.0,3.0
CMBL,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CMC1,3.0,8.0,516,11.0,38.0,202.0,4.0,326.0
CMC2,77.0,36.0,43,16.0,77.0,47.0,30.0,18.0
CMC4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CMIP,1.0,3.0,2,1.0,2.0,1.0,2.0,2.0
CMKLR1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CMPK1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CMPK2,74.0,52.0,4,1.0,2.0,2.0,1.0,4.0
CMSS1,3.0,4.0,3,6.0,2.0,11.0,4.0,3.0
CMTM1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CMTM2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CMTM3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CMTM4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CMTM5,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0
CMTM6,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
CMTM7,6.0,1.0,1,3.0,3.0,2.0,6.0,1.0
CMTM8,1.0,1.0,1,27.0,2.0,1.0,1.0,1.0
CMTR1,16.0,9.0,26,21.0,25.0,18.0,15.0,15.0
CMTR2,6.0,1.0,5,1.0,1.0,1.0,1.0,8.0
CMYA5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNBD1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNBD2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNBP,10.0,12.0,8,9.0,5.0,9.0,5.0,4.0
CNDP1,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
CNDP2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNEP1R1,307.0,23.0,19,9.0,7.0,25.0,11.0,11.0
CNFN,1.0,2.0,1,1.0,1.0,1.0,2.0,1.0
CNGA1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNGA3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNGA4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNGB1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNGB3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNIH1,6.0,3.0,2,3.0,2.0,3.0,3.0,1.0
CNIH2,2.0,2.0,2,2.0,2.0,2.0,2.0,1.0
CNIH3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNIH4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNKSR1,1.0,1.0,1,2.0,1.0,1.0,1.0,1.0
CNKSR2,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0
CNKSR3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNN1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNN2,68.0,89.0,18,86.0,100.0,73.0,56.0,40.0
CNN2P10,1.0,1.0,1,2.0,2.0,2.0,2.0,1.0
CNN3,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
CNN3P1,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
CNNM1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNNM2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNNM3,1.0,1.0,3,2.0,2.0,1.0,2.0,3.0
CNNM4,5.0,2.0,2,1.0,2.0,1.0,8.0,1.0
CNOT1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNOT10,4.0,4.0,5,4.0,2.0,4.0,4.0,3.0
CNOT11,5.0,6.0,9,10.0,7.0,18.0,10.0,13.0
CNOT2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNOT3,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNOT4,1.0,0.0,0,1.0,1.0,0.0,0.0,1.0
CNOT6,2.0,2.0,3,4.0,2.0,8.0,3.0,7.0
CNOT6L,1.0,1.0,0,1.0,0.0,1.0,0.0,0.0
CNOT7,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNOT8,39.0,14.0,8,11.0,11.0,19.0,14.0,13.0
CNP,2.0,2.0,2,3.0,3.0,2.0,3.0,1.0
CNPPD1,5.0,6.0,2,2.0,2.0,3.0,7.0,2.0
CNPY1,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
CNPY2,1.0,0.0,0,0.0,1.0,0.0,1.0,0.0
CNPY3,4.0,30.0,3,5.0,2.0,4.0,5.0,3.0
CNPY4,1.0,1.0,1,2.0,1.0,1.0,1.0,1.0
CNR1,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
CNR2,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
CNRIP1,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0
CNST,1.0,1.0,1,3.0,3.0,1.0,1.0,1.0
CNTD1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNTD2,2.0,2.0,1,2.0,1.0,2.0,2.0,2.0
CNTF,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNTFR,2.0,3.0,2,2.0,2.0,2.0,2.0,2.0
CNTFR-AS1,1.0,1.0,0,1.0,0.0,1.0,1.0,1.0
CNTLN,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNTN1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNTN2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNTN3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNTN4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNTN5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNTN6,2.0,2.0,1,2.0,1.0,2.0,2.0,1.0
CNTNAP1,1.0,1.0,1,1.0,3.0,1.0,1.0,1.0
CNTNAP2,1.0,0.0,0,1.0,0.0,1.0,1.0,0.0
CNTNAP3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNTNAP3B,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0
CNTNAP3P2,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
CNTNAP4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CNTNAP5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CNTRL,1.0,2.0,3,2.0,4.0,2.0,7.0,2.0
CNTROB,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
COA1,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0
COA3,1.0,0.0,0,1.0,1.0,1.0,0.0,1.0
COA4,5.0,15.0,12,15.0,10.0,17.0,15.0,15.0
COA5,2.0,3.0,8,5.0,2.0,12.0,7.0,7.0
COA6,13.0,8.0,5,11.0,6.0,8.0,5.0,8.0
COA7,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COASY,12.0,29.0,25,15.0,15.0,11.0,15.0,15.0
COBL,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0
COBLL1,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
COCH,1.0,0.0,0,1.0,1.0,1.0,4.0,1.0
COG1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COG2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COG3,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0
COG4,4.0,6.0,7,10.0,6.0,6.0,5.0,9.0
COG5,2.0,1.0,2,1.0,1.0,2.0,1.0,2.0
COG6,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
COG7,2.0,3.0,3,4.0,4.0,2.0,2.0,2.0
COG8,2.0,2.0,3,4.0,2.0,4.0,3.0,4.0
COIL,1.0,2.0,4,2.0,3.0,1.0,3.0,1.0
COL10A1,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0
COL11A1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL11A2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL12A1,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
COL13A1,0.0,0.0,2,0.0,1.0,0.0,0.0,2.0
COL14A1,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
COL15A1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL16A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL17A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL18A1,1.0,2.0,3,40.0,2.0,3.0,9.0,2.0
COL18A1-AS1,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
COL19A1,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
COL1A1,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
COL1A2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL20A1,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0
COL21A1,1.0,1.0,0,1.0,0.0,1.0,0.0,0.0
COL22A1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL23A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL24A1,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
COL25A1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL26A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL27A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL28A1,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
COL2A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL3A1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL4A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL4A2,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0
COL4A3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL4A3BP,3.0,2.0,2,1.0,1.0,1.0,2.0,2.0
COL4A4,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
COL4A5,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
COL4A6,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL5A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL5A2,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0
COL5A3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL6A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL6A2,1.0,1.0,3,3.0,3.0,3.0,1.0,2.0
COL6A3,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0
COL6A5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL6A6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL7A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL8A1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL8A2,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0
COL9A1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COL9A2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COL9A3,1.0,3.0,1,1.0,1.0,1.0,25.0,1.0
COLCA1,2.0,2.0,2,2.0,2.0,4.0,4.0,1.0
COLCA2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COLEC10,1.0,0.0,0,0.0,1.0,0.0,0.0,1.0
COLEC11,1.0,1.0,1,2.0,1.0,1.0,2.0,1.0
COLEC12,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0
COLGALT1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COLGALT2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COLQ,1.0,1.0,10,1.0,2.0,2.0,1.0,7.0
COMMD1,8.0,26.0,17,17.0,13.0,8.0,13.0,17.0
COMMD10,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COMMD2,5.0,2.0,2,1.0,1.0,2.0,2.0,2.0
COMMD3,34.0,27.0,13,14.0,16.0,13.0,19.0,26.0
COMMD3-BMI1,44.0,6.0,21,16.0,20.0,24.0,22.0,23.0
COMMD4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COMMD5,2.0,2.0,3,1.0,2.0,1.0,1.0,2.0
COMMD6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COMMD7,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COMMD8,22.0,28.0,7,5.0,4.0,6.0,2.0,38.0
COMMD9,67.0,53.0,7,6.0,5.0,7.0,6.0,9.0
COMP,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COMT,1.0,1.0,1,1.0,1.0,1.0,2.0,1.0
COMTD1,2.0,3.0,5,3.0,5.0,2.0,2.0,3.0
COPA,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COPB1,2.0,1.0,1,2.0,1.0,7.0,2.0,1.0
COPB2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COPE,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
COPG1,5.0,3.0,4,3.0,2.0,4.0,2.0,4.0
COPG2,0.0,0.0,1,1.0,1.0,1.0,0.0,1.0
COPG2IT1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COPRS,10.0,10.0,3,3.0,3.0,2.0,6.0,3.0
COPS2,9.0,1.0,2,2.0,1.0,2.0,1.0,1.0
COPS3,96.0,63.0,28,16.0,18.0,24.0,32.0,21.0
COPS4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COPS5,27.0,38.0,41,42.0,21.0,43.0,23.0,69.0
COPS6,8.0,6.0,7,8.0,4.0,6.0,4.0,5.0
COPS7A,6.0,5.0,3,4.0,2.0,3.0,3.0,5.0
COPS7B,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0
COPS8,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
COPZ1,5.0,26.0,7,5.0,5.0,3.0,4.0,36.0
COPZ2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COQ10A,2.0,2.0,8,4.0,4.0,7.0,6.0,4.0
COQ10B,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
COQ2,1.0,0.0,0,0.0,0.0,1.0,1.0,0.0
COQ3,1.0,1.0,1,1.0,1.0,2.0,1.0,2.0
COQ4,2.0,3.0,3,3.0,3.0,3.0,2.0,3.0
COQ5,2.0,5.0,3,4.0,2.0,4.0,3.0,6.0
COQ6,1.0,1.0,1,2.0,1.0,2.0,1.0,2.0
COQ7,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COQ9,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CORIN,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
CORO1A,776.0,1219.0,788,870.0,935.0,767.0,1010.0,1507.0
CORO1B,10.0,14.0,2,5.0,15.0,3.0,4.0,3.0
CORO1C,7.0,13.0,1,1.0,1.0,1.0,4.0,2.0
CORO2A,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
CORO2B,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0
CORO6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CORO7,18.0,10.0,13,14.0,23.0,10.0,10.0,10.0
CORT,2.0,2.0,2,2.0,2.0,3.0,2.0,1.0
COTL1,1613.0,56.0,5,1.0,6.0,3.0,17.0,2.0
COX1,8673.0,5991.0,6768,9118.0,6768.0,6568.0,5642.0,10117.0
COX10,1.0,2.0,1,3.0,2.0,2.0,1.0,2.0
COX10-AS1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
COX11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COX14,21.0,50.0,45,54.0,39.0,57.0,41.0,30.0
COX15,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COX16,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0
COX17,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COX18,1.0,2.0,2,2.0,2.0,2.0,2.0,2.0
COX19,2.0,3.0,3,5.0,3.0,4.0,5.0,2.0
COX2,6063.0,5198.0,5745,4798.0,5105.0,5553.0,6088.0,6674.0
COX20,1.0,1.0,1,1.0,2.0,1.0,2.0,1.0
COX3,1045.0,847.0,655,784.0,812.0,756.0,787.0,1075.0
COX4I1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COX4I2,3.0,4.0,3,3.0,4.0,3.0,2.0,2.0
COX5A,7.0,4.0,2,1.0,2.0,2.0,2.0,1.0
COX5B,13.0,5.0,4,2.0,2.0,5.0,6.0,4.0
COX6A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COX6A2,2.0,2.0,2,2.0,2.0,3.0,3.0,1.0
COX6B1,726.0,575.0,283,392.0,376.0,431.0,439.0,321.0
COX6B1P3,7.0,8.0,4,5.0,8.0,5.0,4.0,3.0
COX6B2,2.0,1.0,1,2.0,2.0,1.0,2.0,1.0
COX6C,896.0,854.0,896,884.0,765.0,977.0,585.0,735.0
COX6CP1,4.0,5.0,3,4.0,4.0,4.0,3.0,3.0
COX6CP2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COX7A1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
COX7A2,1014.0,644.0,800,893.0,935.0,1380.0,871.0,669.0
COX7A2L,60.0,102.0,19,75.0,42.0,98.0,43.0,77.0
COX7A2P2,70.0,61.0,51,56.0,61.0,68.0,56.0,48.0
COX7B,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0
COX7B2,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0
COX7BP1,64.0,47.0,23,20.0,25.0,30.0,24.0,24.0
COX7C,209.0,132.0,83,382.0,183.0,336.0,159.0,70.0
COX8A,352.0,553.0,385,179.0,344.0,125.0,200.0,217.0
COX8C,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CP,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPA1,0.0,1.0,1,0.0,1.0,1.0,0.0,0.0
CPA2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPA3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
CPA4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPA5,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
CPA6,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
CPAMD8,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPB1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPB2,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
CPD,0.0,1.0,1,0.0,1.0,1.0,1.0,1.0
CPE,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CPEB1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPEB2,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0
CPEB2-AS1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPEB3,0.0,1.0,1,1.0,0.0,1.0,1.0,0.0
CPEB4,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0
CPED1,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0
CPLX1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPLX2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPLX3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPM,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0
CPN1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPN2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
CPNE1,10.0,18.0,33,49.0,8.0,38.0,29.0,57.0
CPNE2,4.0,4.0,2,3.0,2.0,4.0,2.0,4.0
CPNE3,1.0,87.0,14,2.0,7.0,4.0,6.0,8.0
