gene,dendritic,macrophages,CD4.T.cells,CD8.T.cells,naive.B.cells,NK.cells
CEBPZOS,29.26183536908053,20.185237418534545,40.104910453019386,34.45880128206995,34.38263621651237,35.361762791326875
CECR1,40.789618815679,52.628846590070324,11.546769774167066,12.804273512490743,5.601856970796252,16.85653790103562
CECR2,0.1280292733604481,0.0,0.0,0.016454325486868124,1.735791543648364,0.0
CECR3,0.0,0.0,0.0,0.0,0.04544906596020413,0.0
CECR5-AS1,0.16088803395350693,0.0,0.0,0.0,0.1822721700425689,0.181789699303331
CECR6,0.4147255530521182,0.18599205104161534,0.09272884986760903,0.017748154747715877,0.019525510270198925,0.13631678489742532
CECR7,1.5669812628205908,0.5815921194379681,1.7985668604141545,1.6236549061533674,5.2385827328695385,1.5230374340299657
CECR9,0.0,0.0,0.0,0.0,0.0,0.0
CEL,0.0427156160573152,0.0,0.27589620146160154,0.22154926477891027,0.0973238689637592,0.0965299762990473
CELA1,0.0,0.07879704870309509,1.7367178545676645,0.5867759672865397,0.09142327863508705,0.0
CELA2A,1.1835705688226985,0.0,0.0,0.4090030227939426,0.7505009014533232,0.1483838993710356
CELA2B,5.299497065768731,1.326495305028209,0.3961886594545718,0.25470333399237244,1.4049376876444042,1.8055352891697145
CELA3A,0.0,0.0,0.0,0.0,0.0,0.0
CELA3B,0.0,0.0,0.0,0.0,0.0,0.0
CELF1,564.7024441726893,626.1287708431892,766.458505924493,746.0962471272054,645.0773677970545,735.5584083774846
CELF2,418.1963349394714,400.6910645340703,485.65088960061155,389.7565936290242,262.00316258588214,288.7429074472099
CELF2-AS1,29.153195319423492,26.83283897126016,42.42730208636715,33.4137067684966,21.358282342460132,26.954029381022423
CELF2-AS2,0.0,0.0,0.0,0.0,0.0,0.0
CELF3,0.06580217252200984,0.0,0.0,0.0,0.0,0.0
CELF4,0.0,0.0,0.33415407602659103,0.16096014528841254,0.17698380007215725,0.08777005199760454
CELF5,0.062357172683991866,0.0,0.06647481676364532,0.3884200787907984,0.0,0.07045826422255583
CELF6,0.0,0.0,0.04704019252246931,0.0,0.0,0.04985903578056347
CELP,0.06150843531784199,0.0,0.13191148435038463,0.06334059181214993,0.0,0.0
CELSR1,1.8264364588594466,0.12307170052902255,2.704951788314635,1.599035090862164,29.775888282562953,25.882593763872944
CELSR2,1.4157602122669517,0.20429519907230767,1.9188593434579644,2.0685184072880145,0.476389012727748,2.7211743824036714
CELSR3,2.0013213022373817,1.2161906931541382,5.0569938880338645,6.293468819511494,1.3378498358249722,3.2090947132843035
CELSR3-AS1,0.0,0.0,0.8405992019180656,0.0,0.0,0.0
CEMIP,0.45735141043381194,0.5119053023456863,0.8419671685190292,0.5192269605261016,0.9191946494989532,0.4909761379116127
CEMP1,0.0,0.0,0.0,0.0,0.0,0.0
CEND1,0.0,0.0,0.0,0.0,0.08206974158022294,0.0
CEND1P1,0.0,0.0,0.0,0.0,0.0,0.0
CENPA,0.7137954358574348,0.13904502361475346,0.9197392364989604,0.7394601384460006,0.4068980792060607,1.1262874300654662
CENPB,16.111954911886585,17.66113261313872,9.231899251633944,9.219814986703385,6.960072811579328,13.790993697828013
CENPBD1,0.3711575198545602,0.8640788429548918,0.1493023291177225,0.09598407249556622,0.05247811968526675,0.31403526546341937
CENPBD1P1,21.373424604815387,36.622339640205546,9.083574700133756,10.151623952251947,10.663692654161459,20.916087313207353
CENPC,44.53112641891096,32.63334637008129,63.08905221506286,65.14248647708476,59.95119883144666,52.931730428245004
CENPCP1,4.273073441501077,3.5106616526026757,6.384548081832684,6.440634592095817,5.316177366894895,4.917899735800151
CENPE,1.1934274135899372,3.7532551024349554,3.688869538080704,3.3731251387006247,1.7733884149998445,2.731388547755456
CENPF,3.4633926889790505,0.8475628628760526,9.066185714909496,7.179955671204525,3.210378367296695,12.693714367174252
CENPH,3.7618351421002933,2.8644918955030496,8.079229060345792,4.224372244338384,7.748250368366169,7.54062939279779
CENPI,0.0,0.032417800430351154,0.10700860488019723,0.03418859118459857,0.11367285844626379,0.3376150520931389
CENPIP1,0.0,0.0,0.0,0.0,0.0,0.0
CENPJ,1.1731835788851956,2.539214436438239,1.1600542846099189,1.4075425638262773,3.0984523769226153,5.568971938747181
CENPK,0.5311622592399705,0.8317806570174545,20.07788228612209,12.772427375770462,2.1808760438908377,6.46813524157174
CENPL,2.3323241848797993,1.5222976617498862,4.285796878449756,4.2973851084282115,5.025302615203201,4.675163185292554
CENPM,0.20391250500322144,0.0,0.7672147219713851,0.42253373220243784,0.9317611440445646,2.0736329948106578
CENPN,5.8707909208446925,7.6121445839233175,2.2137535696434205,3.2878215681233507,2.98482411325645,4.202668021665628
CENPO,8.568773502713654,2.7378493380029982,4.745263482167802,5.047612377834408,11.830005746861545,11.083841548987195
CENPP,0.6259606431827377,1.2796727807204655,1.4324690755394396,1.8623870019823436,2.0185438397692677,2.1178744321295833
CENPQ,0.22221156256809113,0.7830846811872938,0.47702117691748147,0.1380650709894751,0.5574657076409313,0.40071358892246556
CENPS,0.11231584251447226,0.10967074566390701,0.6042965631271776,0.0,0.0,0.2538145648162801
CENPT,24.10259428347639,31.118198210172604,110.6185483785653,101.74786171756826,51.20349244381249,68.86115818327359
CENPU,2.6203248073710976,12.080027713128501,2.813320017866288,3.6198254247638424,2.863470105175781,20.92506137563265
CENPUP1,0.0,0.0,0.0,0.0,0.07240845373720663,0.0
CENPUP2,2.077743590638629,2.4166522100611196,0.48743363634146264,0.4710039811956818,1.407366904011451,2.3429358611204893
CENPV,8.495585669613078,5.507018012454812,22.06415210482883,24.15126621213467,17.543907679021746,22.778589601054712
CENPVL1,0.0,0.0,0.0,0.0,0.0,0.0
CENPVL2,0.0,0.0,0.0,0.0,0.0,0.0
CENPVL3,0.0,0.0,0.0,0.0,0.0,0.0
CENPW,1.3113423912231343,1.2841965281657968,0.0,0.14983408909135393,0.33150942750942686,0.49320784760722614
CENPX,7.58050263881018,9.82897923846218,6.3780216011060045,4.3517977762662134,3.5042888558907803,6.235901662084941
CEP104,22.91000515334893,13.220530947630735,32.44177831740663,29.362188813455692,21.4586197853569,31.318539087369622
CEP112,4.9656254219078795,0.13068778754642563,2.5933762275373775,0.8336821192490276,2.7545908219774473,1.2098199467234676
CEP120,10.005063636561774,10.232599922336194,51.50387385807944,49.10813314590469,72.44223826256358,25.09351233345398
CEP126,0.42476575928978333,0.08317281924524855,1.514426093386031,1.2150804323315056,1.4146354605432299,3.544159464337474
CEP128,19.047918520093297,3.296636781930364,21.80628707938396,12.867758781585314,11.761874034463455,9.965178709524874
CEP131,11.337516185752918,3.9520485112258608,5.417170232579601,5.013315391085489,9.172772165953214,8.331378941977203
CEP135,11.96743963639269,13.628341977175872,30.16629149991843,22.514271656876,57.198167333639574,17.476725306105834
