,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10
N4BP1,0.082840808,0.138621022,0.119667416,0.107788845,0.099293455,0.082840808,0.138621022,0.119667416,0.107788845,0.110673613
RP11-42I10.1,0.012087574,0.027150739,0.016438987,0.016571381,0.022006558,0.012087574,0.027150739,0.016438987,0.016571381,0.003462838
CNEP1R1,0.078843181,0.120572188,0.083361011,0.069920358,0.084404664,0.078843181,0.120572188,0.083361011,0.069920358,0.085420205
HEATR3,0.033579579,0.064393157,0.047267829,0.070579307,0.081544445,0.033579579,0.064393157,0.047267829,0.070579307,0.057186177
PAPD5,0.053435901,0.091707406,0.073002843,0.088861767,0.106721916,0.053435901,0.091707406,0.073002843,0.088861767,0.066392698
ADCY7,0.198200604,0.200946066,0.172145791,0.192139632,0.244296797,0.198200604,0.200946066,0.172145791,0.192139632,0.179720288
BRD7,0.343036037,0.23467361,0.305920221,0.324219047,0.310447454,0.343036037,0.23467361,0.305920221,0.324219047,0.29029853
NKD1,0.002350729,0,0,0.006654843,0,0.002350729,0,0,0.006654843,0.005159062
SNX20,0.508067354,0.373620072,0.368444349,0.331795953,0.398943017,0.508067354,0.373620072,0.368444349,0.331795953,0.396730932
NOD2,0.034418767,0.068524234,0.022253201,0.025718348,0.030772332,0.034418767,0.068524234,0.022253201,0.025718348,0.035408781
RP11-327F22.2,0.005574136,0.006298459,0.006479601,0,0.003139918,0.005574136,0.006298459,0.006479601,0,0.006896643
CYLD,0.621332494,0.333476042,0.480321158,0.417602338,0.436023621,0.621332494,0.333476042,0.480321158,0.417602338,0.426792389
CHD9,0.293526895,0.363908059,0.476911148,0.349435907,0.383208046,0.293526895,0.363908059,0.476911148,0.349435907,0.441456697
RBL2,0.647049155,0.392176193,0.525646173,0.643988805,0.506720597,0.647049155,0.392176193,0.525646173,0.643988805,0.545697853
AKTIP,0.41893908,0.284158731,0.358089847,0.390343647,0.389034147,0.41893908,0.284158731,0.358089847,0.390343647,0.35238641
RPGRIP1L,0,0.011844272,0.005692851,0.001996849,0.002651787,0,0.011844272,0.005692851,0.001996849,0.015356412
FTO,0.034851174,0.038462591,0.048701624,0.060383173,0.076767813,0.034851174,0.038462591,0.048701624,0.060383173,0.050989417
LPCAT2,0.038098192,0.080546346,0.031491417,0.023211779,0.043131266,0.038098192,0.080546346,0.031491417,0.023211779,0.052516968
RP11-212I21.4,0,0.002889142,0.003404648,0.003432068,0.01261896,0,0.002889142,0.003404648,0.003432068,0.007366531
CES1,0.026171763,0.10128043,0.045359786,0.036698322,0.048734849,0.026171763,0.10128043,0.045359786,0.036698322,0.038853713
GNAO1,0.011726506,0,0,0.005882042,0,0.011726506,0,0,0.005882042,0.004559959
AMFR,0.099716937,0.149918228,0.178275008,0.132420712,0.126023463,0.099716937,0.149918228,0.178275008,0.132420712,0.117857869
RP11-413H22.2,0.035584783,0.00256223,0.003019406,0.014506421,0.008360168,0.035584783,0.00256223,0.003019406,0.014506421,0.019645662
NUDT21,0.445845194,0.429247622,0.41944893,0.459864188,0.410844079,0.445845194,0.429247622,0.41944893,0.459864188,0.416508547
OGFOD1,0.11845547,0.056275098,0.066218075,0.112595557,0.075456722,0.11845547,0.056275098,0.066218075,0.112595557,0.08350927
BBS2,0.088119377,0.055791654,0.056088579,0.088569236,0.032682774,0.088119377,0.055791654,0.056088579,0.088569236,0.070704072
MT3,0.012733135,0.005286285,0.006229511,0.019376071,0.008339327,0.012733135,0.005286285,0.006229511,0.019376071,0.015020991
MT2A,2.448081247,3.731397777,2.285559298,3.116822399,3.53259559,2.448081247,3.731397777,2.285559298,3.116822399,3.041595807
MT1E,0.051321036,0.055137549,0.034205049,0.153153747,0.060830451,0.051321036,0.055137549,0.034205049,0.153153747,0.082569762
MT1F,0.399448908,0.331302223,0.223603553,0.327815638,0.260471784,0.399448908,0.331302223,0.223603553,0.327815638,0.246001261
MT1X,0.389668765,0.358542357,0.217108712,0.34770542,0.352236463,0.389668765,0.358542357,0.217108712,0.34770542,0.295002078
NUP93,0.159054889,0.183230287,0.155702024,0.242637923,0.190849165,0.159054889,0.183230287,0.155702024,0.242637923,0.211378871
HERPUD1,1.098089487,1.370602053,1.494634481,1.199979559,1.323840794,1.098089487,1.370602053,1.494634481,1.199979559,1.312447762
CETP,0.015557117,0.016184823,0.014778697,0.01489772,0.040905001,0.015557117,0.016184823,0.014778697,0.01489772,0.027234622
NLRC5,0.242025515,0.317004542,0.286626432,0.359211529,0.288144869,0.242025515,0.317004542,0.286626432,0.359211529,0.308435242
CPNE2,0.175895868,0.107842523,0.101850816,0.258219384,0.130686697,0.175895868,0.107842523,0.101850816,0.258219384,0.159079919
FAM192A,0.372728946,0.501246281,0.565447244,0.502476973,0.491559488,0.372728946,0.501246281,0.565447244,0.502476973,0.426680351
RSPRY1,0.113196762,0.135089983,0.173345654,0.183320594,0.158910017,0.113196762,0.135089983,0.173345654,0.183320594,0.165626714
ARL2BP,0.823200311,0.498059157,0.637899024,0.611799729,0.544357396,0.823200311,0.498059157,0.637899024,0.611799729,0.608037385
RP11-407G23.3,0.009485313,0,0,0.00281637,0.003740099,0.009485313,0,0,0.00281637,0.005816561
PLLP,0.018048391,0.003403444,0,0,0,0.018048391,0.003403444,0,0,0.003134285
CIAPIN1,0.236883765,0.287344617,0.233696762,0.301571252,0.266017283,0.236883765,0.287344617,0.233696762,0.301571252,0.245975357
COQ9,0.129397847,0.151608608,0.148867211,0.137178643,0.188720713,0.129397847,0.151608608,0.148867211,0.137178643,0.150686798
POLR2C,0.60536863,0.37214529,0.545434946,0.654318433,0.515806115,0.60536863,0.37214529,0.545434946,0.654318433,0.548731888
DOK4,0.017583857,0.010751128,0.012669438,0.007951907,0,0.017583857,0.010751128,0.012669438,0.007951907,0.016065472
CCDC102A,0.041690777,0.014674174,0.029227522,0.041146521,0.04523053,0.041690777,0.014674174,0.029227522,0.041146521,0.022026375
GPR114,0.03458921,0.037707015,0.057489543,0.119647647,0.06186012,0.03458921,0.037707015,0.057489543,0.119647647,0.061361203
GPR56,0.112055455,0.124370344,0.142015379,0.305655807,0.125118277,0.112055455,0.124370344,0.142015379,0.305655807,0.159405916
KATNB1,0.066484789,0.060276887,0.063551592,0.066559613,0.062097965,0.066484789,0.060276887,0.063551592,0.066559613,0.055413321
KIFC3,0.015823613,0.013680816,0.011815405,0.039579162,0.007736681,0.015823613,0.013680816,0.011815405,0.039579162,0.023964512
TEPP,0.018417442,0.015399044,0.01486536,0.039678502,0.0287113,0.018417442,0.015399044,0.01486536,0.039678502,0.025616369
ZNF319,0.046241062,0.040278401,0.042499717,0.035258483,0.046822763,0.046241062,0.040278401,0.042499717,0.035258483,0.027049633
USB1,0.24630791,0.28483771,0.214097592,0.372283103,0.290946751,0.24630791,0.28483771,0.214097592,0.372283103,0.330228514
C16orf80,0.336888469,0.239820415,0.272383699,0.50712948,0.209285631,0.336888469,0.239820415,0.272383699,0.50712948,0.461329778
CSNK2A2,0.069759957,0.039729609,0.055482758,0.057311002,0.065008995,0.069759957,0.039729609,0.055482758,0.057311002,0.065595561
GINS3,0.01021745,0.006503578,0.017359051,0.023087039,0.02323823,0.01021745,0.006503578,0.017359051,0.023087039,0.015141142
SETD6,0.042389831,0.029489918,0.039882923,0.083337762,0.06410568,0.042389831,0.029489918,0.039882923,0.083337762,0.074652018
CNOT1,0.384840096,0.346542663,0.354628954,0.328161654,0.270532948,0.384840096,0.346542663,0.354628954,0.328161654,0.316059112
SLC38A7,0.02622834,0.039084224,0.025429277,0.023216422,0.026882668,0.02622834,0.039084224,0.025429277,0.023216422,0.024895165
GOT2,0.149156796,0.119170872,0.136726188,0.123971529,0.110476121,0.149156796,0.119170872,0.136726188,0.123971529,0.161185189
LINC00920,0.039676429,0.015090356,0.01778291,0.017926128,0.023805642,0.039676429,0.015090356,0.01778291,0.017926128,0.014520066
TK2,0.055200253,0.107247079,0.038093273,0.048438949,0.048968529,0.055200253,0.107247079,0.038093273,0.048438949,0.063007738
CKLF,1.075026716,1.334703553,0.799117457,1.222493521,0.996699915,1.075026716,1.334703553,0.799117457,1.222493521,1.160885839
CMTM2,0.017998745,0.073615146,0.064504391,0.073158931,0.078226225,0.017998745,0.073615146,0.064504391,0.073158931,0.033099692
CMTM3,0.728664336,0.850524311,0.561956403,0.820529385,0.798788469,0.728664336,0.850524311,0.561956403,0.820529385,0.687310001
CMTM4,0.005580357,0.006305488,0.007430569,0.007490412,0.009947161,0.005580357,0.006305488,0.007430569,0.007490412,0.005806823
DYNC1LI2,0.126262679,0.183942924,0.199346188,0.229687617,0.226536016,0.126262679,0.183942924,0.199346188,0.229687617,0.166507262
NAE1,0.479807485,0.259509276,0.290161753,0.383975609,0.313514501,0.479807485,0.259509276,0.290161753,0.383975609,0.314757447
PDP2,0.013931378,0.006471612,0.007626334,0.014001404,0.010209228,0.013931378,0.006471612,0.007626334,0.014001404,0.01474585
FAM96B,1.390413142,1.42998879,1.363347572,1.385276586,1.388986616,1.390413142,1.42998879,1.363347572,1.385276586,1.342829795
CES2,0.170588797,0.203850994,0.171102354,0.195255766,0.187347088,0.170588797,0.203850994,0.171102354,0.195255766,0.170061446
CES4A,0.032229793,0.127665424,0.013542562,0.025303851,0.027478766,0.032229793,0.127665424,0.013542562,0.025303851,0.035441912
CBFB,0.293015995,0.142909072,0.196029209,0.266320283,0.26170669,0.293015995,0.142909072,0.196029209,0.266320283,0.208176679
C16orf70,0.05142582,0.107522729,0.047799849,0.065588971,0.06914253,0.05142582,0.107522729,0.047799849,0.065588971,0.07000303
B3GNT9,0.009097196,0,0,0,0,0.009097196,0,0,0,0.003216639
TRADD,1.283844333,0.580971549,0.635413899,0.753743761,0.686533872,1.283844333,0.580971549,0.635413899,0.753743761,0.730374165
FBXL8,0.141807117,0.058410217,0.065541074,0.070624762,0.06622515,0.141807117,0.058410217,0.065541074,0.070624762,0.071562388
HSF4,0,0.002927315,0,0,0,0,0.002927315,0,0,0.00269581
NOL3,0.027483968,0.030475962,0,0,0,0.027483968,0.030475962,0,0,0
KIAA0895L,0.007587546,0.01182607,0.009071154,0.00914421,0.012143381,0.007587546,0.01182607,0.009071154,0.00914421,0.007088904
EXOC3L1,0.062633119,0.111390717,0.038938917,0.039252519,0.072360169,0.062633119,0.111390717,0.038938917,0.039252519,0.076808633
E2F4,0.357501466,0.310840509,0.319609634,0.368676605,0.332555022,0.357501466,0.310840509,0.319609634,0.368676605,0.41700078
ELMO3,0.026401164,0.00988637,0.011650383,0.011744212,0.015596146,0.026401164,0.00988637,0.011650383,0.011744212,0.012760813
LRRC29,0.02123596,0.016848495,0.007462444,0.019654354,0.014834983,0.02123596,0.016848495,0.007462444,0.019654354,0.019821434
TMEM208,0.454820817,0.961722666,0.524723795,0.558468147,0.650763139,0.454820817,0.961722666,0.524723795,0.558468147,0.829310851
FHOD1,0.081670029,0.138056652,0.118910793,0.115532841,0.123252804,0.081670029,0.138056652,0.118910793,0.115532841,0.120842105
PLEKHG4,0.021082915,0.019503147,0.02298307,0.0290735,0.030766997,0.021082915,0.019503147,0.02298307,0.0290735,0.022538769
TPPP3,0.190683625,0.402360951,0.237302316,0.249578208,0.452346699,0.190683625,0.402360951,0.237302316,0.249578208,0.354726904
ZDHHC1,0.078911494,0.234211437,0.120188014,0.129859127,0.209685987,0.078911494,0.234211437,0.120188014,0.129859127,0.159395254
ATP6V0D1,0.661685793,1.403937588,0.941782721,1.016407484,1.331800569,0.661685793,1.403937588,0.941782721,1.016407484,1.101213789
FAM65A,0.064272451,0.097792111,0.109354898,0.096291007,0.105186648,0.064272451,0.097792111,0.109354898,0.096291007,0.109192245
CTD-2012K14.6,0.015022273,0.013454247,0.031682349,0.003013655,0.004002091,0.015022273,0.013454247,0.031682349,0.003013655,0.014705107
CTD-2012K14.7,0.020955304,0.015781334,0.025189049,0.021225318,0.024895687,0.020955304,0.015781334,0.025189049,0.021225318,0.02160599
CTCF,0.209035254,0.143605143,0.260205808,0.193443693,0.199025471,0.209035254,0.143605143,0.260205808,0.193443693,0.21296155
RLTPR,0.075375406,0.052113561,0.095217661,0.088441549,0.092842727,0.075375406,0.052113561,0.095217661,0.088441549,0.062031766
ACD,0.168289089,0.113761978,0.190534669,0.24087988,0.149959069,0.168289089,0.113761978,0.190534669,0.24087988,0.232885778
