Name,CD8.T.cells,CD4.T.cells,NK.cells,B.cells,monocytic.lineage,neutrophils,fibroblasts,endothelial.cells
EPC1 ,2946.0,1976.0,1952.0,2409.0,1106.0,1036.0,443.0,76.0
EREG,33.0,60.0,74.0,177.0,334.0,109.0,3018.0,33.0
ERN1,1097.0,592.0,1202.0,468.0,700.0,983.0,625.0,122.0
ERO1L,1661.0,3032.0,755.0,385.0,1579.0,2436.0,3074.0,823.0
ERP70,1098.0,800.0,1063.0,564.0,616.0,304.0,774.0,328.0
EST,1541.3456790123457,1412.5802469135801,1590.888888888889,1394.6913580246915,1926.9753086419753,2472.185185185185,1641.0617283950617,391.2098765432099
ETV6 ,566.0,1055.0,577.0,594.0,1605.0,1486.0,1633.0,889.0
EVER1,2460.5,2574.0,2475.0,1100.0,609.0,796.0,245.5,405.0
EVER2,9289.5,7911.0,6302.5,2531.0,1875.5,1334.5,464.5,363.5
EVI2A,2266.0,2628.0,1634.0,771.0,5779.0,7381.0,3679.0,886.0
EVI2B,3433.0,3420.0,2420.0,3370.0,6676.0,10990.0,1380.0,266.0
EVL,3775.0,2319.0,4085.0,1535.0,389.0,189.0,449.0,2398.0
EZI,237.0,312.0,321.0,497.0,1682.0,3071.0,266.0,129.0
FABP5,691.0,328.0,332.0,159.0,395.0,117.0,1572.0,2023.0
FAD104,257.75,285.75,807.5,312.25,1088.5,1629.75,4394.0,754.0
FALZ,1621.0,1477.0,1791.0,1027.0,1550.0,924.0,1006.0,229.0
FAM29A,1319.0,1055.0,757.0,686.0,424.0,236.0,397.0,183.0
FAM31B ,371.0,270.0,577.0,115.0,367.0,167.0,655.0,486.0
FANCD2 ,535.0,722.0,304.0,573.0,241.0,281.0,403.0,202.0
FBXO18,1145.0,708.0,731.0,676.0,936.0,621.0,602.0,314.0
FBXO5,388.0,1367.0,629.0,112.0,191.0,91.0,145.0,182.0
FBXO6,1221.0,1108.0,3212.0,566.0,1796.0,817.0,2004.0,924.0
FCAR,48.0,68.0,73.0,282.0,1007.0,1002.0,2837.0,31.0
FCER1A,106.0,368.0,2655.0,181.0,658.0,196.0,66.0,3694.0
FCGR2A ,127.0,194.0,271.0,764.5,1827.0,5264.5,2135.0,747.0
FCGR2B,67.0,186.5,237.5,949.0,1810.5,6921.0,2219.5,656.0
FCGR3B,559.0,1127.5,3333.0,418.0,1211.0,25927.5,177.0,119.5
FCN1,109.0,569.0,179.0,286.0,22980.0,5508.0,893.0,34.0
FCRH1,132.0,198.0,130.5,5831.0,118.0,249.5,85.0,48.0
FCRH2,99.0,162.0,143.0,2263.0,116.0,230.0,80.0,26.0
FCRH3,5702.0,1109.0,7815.0,13052.0,414.0,735.0,372.0,110.0
FDX1,415.0,323.0,282.0,336.0,276.0,131.0,550.0,369.0
FEN1,320.5,288.5,579.0,315.5,208.0,153.0,340.5,80.5
FEZ2,486.0,237.0,1090.0,265.0,1466.0,296.0,11905.0,1940.0
FGD3,8244.0,5336.0,7217.0,1850.0,6376.0,9357.0,3139.0,228.0
FGL2,962.0,652.0,1290.5,210.5,15744.0,12812.5,531.0,3926.5
FGR,776.0,723.0,4702.0,1484.0,7394.0,6192.0,4866.0,1075.0
FIGNL1,593.0,2182.0,697.0,763.0,337.0,352.0,1486.0,21.0
FKBP11,1514.0,872.0,1623.0,330.0,115.0,170.0,68.0,21.0
FKSG14,1838.0,1375.0,522.0,106.0,47.0,28.0,45.0,52.0
FKSG79 ,3177.0,2065.0,1999.0,953.0,228.0,314.0,190.0,61.0
