,B_cell,CD4_Tcell,CD8_Tcell,Neutrophil,Macrophage,Dendritic
ARHGAP22,44.0,26.0,18.0,20.0,143.0,88.0
ARHGAP25,302.0,207.5,284.0,2323.5,129.5,326.0
ARHGAP26,182.0,69.0,79.0,289.0,397.0,82.0
ARHGAP30,991.0,2382.0,2654.0,5461.0,1917.0,1209.0
ARHGAP9,489.6666666666667,2165.0,1015.3333333333334,8363.666666666666,482.6666666666667,2373.0
ARL4C,111.33333333333333,900.6666666666666,1659.0,247.66666666666666,50.666666666666664,722.0
ARL6IP6,120.0,1486.0,474.0,825.0,872.0,415.0
ARL8B,214.0,1410.0,171.0,244.0,3091.0,1281.0
ARNTL2,17.0,13.0,11.0,17.0,416.0,496.0
ARPC5,390.0,422.0,416.0,2442.0,2131.0,639.0
ARPC5L,209.0,1391.0,804.5,205.5,324.5,322.0
ARRB2,110.0,426.0,300.0,2688.0,524.0,667.0
ARRDC4,262.0,217.0,153.0,444.0,2409.0,7647.0
ASAP1,177.8,226.8,266.4,1876.2,2285.0,2052.6
ASF1B,343.0,34.0,62.0,515.0,90.0,77.0
ASPM,75.0,2.0,57.0,53.0,3.0,6.0
ASXL1,229.0,465.0,200.0,70.0,209.0,267.0
ATAD2,61.5,1134.5,125.5,29.0,47.0,48.0
ATG16L2,257.5,166.5,173.0,5107.0,457.0,399.0
ATG7,104.0,88.0,107.0,486.0,823.0,523.0
ATL3,171.0,566.0,87.0,118.0,474.0,189.0
ATM,331.3333333333333,361.3333333333333,401.6666666666667,142.66666666666666,67.66666666666667,186.33333333333334
ATP13A3,152.0,106.0,92.0,70.0,1659.0,483.5
ATP2B1,468.0,368.0,132.0,584.0,929.0,1237.0
ATP6V1A,145.0,80.0,102.0,1003.0,1034.0,489.0
ATP6V1C1,79.0,33.0,71.0,197.0,349.0,415.0
ATP8B2,165.0,2060.0,3083.0,137.0,173.0,6.0
ATXN1,105.0,77.0,237.0,125.0,856.0,178.0
AURKA,268.0,32.0,78.0,45.0,64.0,47.0
BACH1,349.0,204.0,95.0,1579.0,1241.0,423.0
BACH2,911.6666666666666,769.3333333333334,748.3333333333334,111.0,48.0,36.333333333333336
BANK1,1386.5,164.0,141.5,111.0,126.5,124.0
BANP,284.3333333333333,276.0,286.3333333333333,1008.6666666666666,1821.0,188.33333333333334
BAT2L2,259.0,571.5,357.5,384.0,1013.5,351.0
BAT4,234.0,402.0,448.0,581.0,1664.0,124.0
BATF,133.0,170.0,119.0,197.0,211.0,84.0
BATF3,160.0,124.0,58.0,173.0,91.0,150.0
BAZ1A,115.0,31.0,49.0,462.0,336.0,194.0
BCL11A,904.5,81.0,115.5,229.5,384.5,73.5
BCL11B,165.0,3925.5,2445.5,404.0,113.5,149.5
BCL2A1,109.0,344.0,164.0,1257.0,2120.0,731.0
BCL2L11,234.0,459.0,421.0,1019.0,233.0,2414.0
BCL6,212.0,380.5,104.5,3396.5,911.5,889.0
BHLHE40,22.0,295.0,157.0,154.0,370.0,246.0
BHLHE41,103.0,31.0,22.0,44.0,800.0,863.0
BID,98.66666666666667,215.0,66.0,1419.3333333333333,897.3333333333334,768.3333333333334
BIN2,235.0,710.0,416.0,414.0,163.0,235.0
BIRC3,576.0,40.0,128.0,71.0,173.0,244.0
BLK,269.0,53.0,86.0,6.0,17.0,9.0
BLNK,1042.0,75.0,112.0,99.0,19.0,1198.0
BLOC1S2,1247.0,1432.0,1071.0,2259.0,2799.0,1489.0
BLVRA,177.0,307.0,48.0,232.0,355.0,309.0
BMP2K,303.0,183.0,33.0,185.0,262.0,1302.0
BMP8B,181.0,115.0,96.0,119.0,91.0,87.0
BOD1L,658.0,202.0,238.0,3956.0,616.0,396.0
BPTF,192.0,69.0,260.0,348.0,199.0,229.0
BRD2,506.0,348.0,234.0,812.0,3585.0,470.0
BTLA,527.0,370.0,67.0,70.0,139.0,33.0
BTN3A2,120.0,308.0,224.0,410.5,82.5,28.5
BUB3,224.5,509.5,226.5,66.0,362.5,142.0
C10orf119,174.0,3029.0,224.0,980.0,782.0,376.0
C10orf54,190.5,1120.5,719.0,6130.0,394.0,790.0
C10orf78,146.0,696.0,511.0,212.0,661.0,81.0
C11orf21,213.0,341.0,790.0,106.0,198.0,208.0
C12orf35,621.0,1059.0,2100.0,8825.0,1986.0,324.0
C12orf5,43.0,148.0,52.0,99.0,193.0,419.0
C13orf18,981.5,26.5,36.0,435.0,135.0,31.0
C13orf31,120.0,33.0,51.0,89.0,1776.0,1137.0
C14orf106,268.0,673.0,180.0,294.0,156.0,321.0
C14orf109,62.0,29.0,21.0,33.0,624.0,677.0
C14orf118,197.0,169.0,168.0,151.0,742.0,353.0
C14orf138,558.0,89.0,109.0,265.0,62.0,88.0
C14orf145,208.0,36.0,80.0,53.0,159.0,143.0
C15orf29,114.0,457.0,282.0,3679.0,595.0,400.0
C15orf39,231.0,101.0,61.0,1091.0,127.0,54.0
C16orf87,59.0,489.0,122.0,127.0,187.0,242.0
C17orf49,420.0,2322.0,204.0,676.0,1255.0,252.0
C17orf58,54.0,921.0,45.0,213.0,212.0,278.0
C17orf62,173.0,90.0,222.0,437.0,388.0,294.0
C17orf96,72.0,777.0,13.0,77.0,525.0,1018.0
C19orf10,100.0,229.0,222.0,137.5,336.0,536.0
C19orf22,157.0,191.0,243.0,3392.0,212.0,120.0
C19orf28,140.0,259.5,59.0,126.0,454.0,686.5
C1D,212.0,737.0,441.0,726.0,678.0,535.0
C1QBP,159.0,408.0,249.0,92.0,324.0,217.0
C1orf162,580.0,2948.0,622.0,756.0,1275.0,6189.0
C1orf228,171.0,1065.5,478.5,156.5,63.5,8.0
C1orf38,126.0,627.5,477.0,2200.0,569.0,250.5
C21orf45,87.0,994.0,95.0,59.0,111.0,43.0
C21orf91,454.0,464.0,318.0,1277.0,626.0,461.0
C22orf9,101.0,60.0,71.0,83.0,114.0,684.0
C3orf34,27.0,320.0,34.0,1216.0,109.0,111.0
C3orf38,171.0,405.5,321.0,121.5,302.5,152.0
C3orf59,124.0,482.0,106.0,136.0,1417.0,413.0
C4orf46,77.0,626.0,52.0,162.0,99.0,108.0
C5AR1,143.0,594.0,58.0,3129.0,1936.0,543.0
C5orf20,142.0,64.0,158.0,92.0,148.0,3265.0
C5orf39,130.0,1491.0,976.0,204.0,94.0,175.0
C5orf41,317.5,387.5,337.0,1529.5,436.5,720.5
C5orf56,268.0,309.0,698.0,522.0,299.0,184.0
C6orf129,34.0,963.0,457.0,48.0,302.0,218.0
C6orf173,55.0,1746.0,115.0,39.0,351.0,237.0
C6orf62,1734.0,670.0,783.0,601.0,2594.0,1653.0
C7orf29,210.0,82.0,142.0,204.0,103.0,93.0
C7orf40,32.0,2159.0,951.0,27.0,353.0,84.0
C9orf72,149.0,142.0,88.0,1144.0,813.0,422.0
C9orf80,250.0,1499.0,311.0,593.0,916.0,1079.0
C9orf89,14.0,358.0,222.0,1118.0,1207.0,565.0
C9orf98,47.0,65.0,75.0,40.0,1144.0,200.0
CAB39,221.0,1140.0,953.0,1148.0,845.0,645.0
CAMK1D,493.0,548.0,270.0,4258.0,229.0,809.0
CAMK4,82.0,295.0,313.0,63.0,51.0,40.0
CAMP,24.0,377.0,4.0,231.0,10.0,18.0
CANX,89.0,659.0,282.0,379.0,717.0,861.0
CAP1,875.0,460.0,1148.0,3117.0,928.0,2479.0
CAPG,105.0,133.0,68.0,171.0,1594.0,2229.0
CARD11,400.0,532.0,366.0,38.0,13.0,8.0
CASP1,117.0,206.0,124.0,420.0,775.0,115.0
CASP2,1190.0,326.0,146.0,4719.0,185.0,116.0
CASP3,28.0,103.0,66.0,188.0,160.0,103.0
CASP8,334.0,231.0,304.0,689.0,124.0,159.0
CBL,303.6666666666667,329.0,385.3333333333333,1045.3333333333333,826.0,679.3333333333334
CBLB,167.0,241.0,280.0,134.0,75.0,183.0
CBR3,57.0,85.0,59.0,11.0,49.0,248.0
CBX3,278.0,155.0,192.0,108.0,197.0,108.0
CBX5,48.0,1652.0,264.0,88.0,163.0,388.0
CCAR1,299.0,840.0,396.0,336.0,725.0,903.0
CCDC109B,318.0,1107.0,234.0,203.0,311.0,190.0
CCDC88A,58.0,41.0,61.0,30.0,604.0,1203.0
CCDC88B,418.0,364.0,434.0,1046.0,758.0,395.0
CCDC88C,467.0,1460.0,1062.0,72.0,100.0,41.0
CCL1,7.0,2.0,1.0,5.0,2926.0,9.0
CCL13,137.0,52.0,67.0,106.0,47.0,1831.0
CCL17,13.0,14.0,22.0,44.0,30.0,2350.0
CCL19,70.0,54.0,26.0,68.0,957.0,100.0
CCL20,28.0,2.0,10.0,12.0,4318.0,6.0
CCL22,34.0,9.0,55.0,106.0,3080.0,4310.0
CCL24,74.0,32.0,25.0,48.0,4386.0,34.0
CCL4,118.0,480.0,581.0,256.0,4890.0,894.0
CCL5,35.0,5007.5,2359.0,132.5,1213.5,107.5
CCL8,161.0,24.0,97.0,141.0,122.0,67.0
CCNB1,99.5,423.5,60.0,110.0,49.5,55.5
CCNB2,106.0,47.0,120.0,82.0,41.0,36.0
CCND2,85.0,153.5,78.5,120.0,42.5,154.5
CCNOGENE2,131.0,34.5,81.5,168.0,53.5,38.5
CCNY,166.5,538.5,826.5,2494.0,340.0,1509.0
CCNYL1,139.5,96.5,52.0,94.5,320.0,405.5
CCR1,83.5,36.5,48.5,2283.0,1403.5,700.5
CCR2,199.0,56.0,183.0,206.0,194.0,146.0
CCR3,99.0,11.0,25.0,926.0,42.0,27.0
CCR5,219.0,431.0,317.0,112.0,708.0,721.0
CCR7,612.0,2341.0,824.0,325.0,2320.0,76.0
CCRL2,7.0,29.0,32.0,44.0,1236.0,114.0
CCT2,376.0,424.0,263.0,149.0,338.0,265.0
CD160,127.0,355.0,392.0,138.0,32.0,44.0
CD164,261.0,358.0,182.0,214.0,414.0,804.0
CD19,481.0,59.0,43.0,99.0,60.0,33.0
CD1A,232.0,129.0,57.0,370.0,125.0,7072.0
CD1B,167.0,25.0,32.0,145.0,52.0,4996.0
CD1C,474.0,25.0,16.0,204.0,161.0,4311.0
CD1D,45.0,18.0,12.0,90.0,183.0,118.0
CD1E,37.0,15.5,29.5,70.5,31.5,3529.5
CD2,203.0,917.0,1052.0,209.0,125.0,78.0
CD209,189.0,36.0,70.0,154.0,125.0,1898.0
CD244,46.0,249.0,218.0,73.0,62.0,27.0
CD247,18.0,1675.0,490.0,275.0,29.0,17.0
CD27,147.0,2274.0,933.0,199.0,65.0,27.0
CD274,80.0,261.0,47.0,236.0,1248.0,462.0
CD300A,49.5,427.0,336.0,1274.5,231.5,116.5
CD37,4771.0,244.0,398.0,2250.0,213.0,273.0
CD38,166.0,118.0,306.0,120.0,179.0,4.0
CD3D,76.0,776.0,1279.0,609.0,128.0,88.0
CD3E,218.0,1075.0,753.0,254.0,62.0,67.0
CD3G,18.0,556.0,227.0,23.0,12.0,3.0
CD40,325.0,40.666666666666664,73.0,336.0,549.3333333333334,677.3333333333334
CD44,211.0,368.8,374.2,213.8,1456.4,621.0
CD48,1601.0,2113.0,993.0,677.0,2723.0,269.0
CD5,243.0,670.0,504.0,88.0,55.0,39.0
CD52,2240.0,972.0,1674.0,616.5,645.5,3416.0
CD53,498.0,115.0,228.0,732.0,207.0,406.0
CD58,80.33333333333333,189.66666666666666,210.0,547.0,980.0,303.3333333333333
CD6,144.66666666666666,636.0,532.3333333333334,147.0,73.33333333333333,102.33333333333333
CD69,2523.0,639.0,1398.0,132.0,41.0,88.0
CD7,34.5,778.5,299.0,44.0,37.5,18.0
CD79A,2827.0,168.0,121.0,111.0,53.0,68.0
CD79B,1454.0,117.0,87.0,68.0,60.0,28.0
CD80,216.0,75.0,53.0,547.0,378.0,236.0
CD83,2112.0,446.0,89.0,114.0,2362.0,278.0
CD84,229.0,245.0,249.0,69.0,192.0,964.0
CD86,173.66666666666666,74.66666666666667,57.666666666666664,151.33333333333334,143.66666666666666,736.3333333333334
CD8A,261.0,80.0,983.0,113.0,81.0,64.0
CD8B,81.5,47.0,816.5,84.5,48.5,43.5
CD96,104.0,100.0,340.0,107.0,14.0,44.0
CD97,92.0,438.0,150.0,1614.0,266.0,121.0
CDA,14.0,48.0,5.0,2113.0,120.0,321.0
CDC25B,150.0,370.0,497.0,179.0,85.0,85.0
CDC42,220.0,2426.0,3910.0,5884.0,3180.0,617.0
CDC42SE1,239.0,465.0,294.0,2281.0,289.0,130.0
CDC42SE2,757.0,8717.0,7115.0,4615.0,2270.0,1716.0
CDC5L,1009.0,164.0,88.0,6001.0,419.0,55.0
CDCA2,69.0,905.0,91.0,12.0,193.0,79.0
CDCA5,7.0,2178.0,4.0,6.0,7.0,5.0
CDK1,101.0,19.666666666666668,69.66666666666667,81.66666666666667,63.333333333333336,20.666666666666668
CDK5RAP2,114.0,201.5,197.0,115.0,1722.0,238.5
CDK6,147.8,854.4,257.0,103.0,121.4,427.0
CDKN1A,161.0,193.0,118.0,67.0,2563.0,1659.0
CDKN2D,149.0,236.0,109.0,1107.0,112.0,19.0
CDT1,179.0,2786.0,52.0,267.0,195.0,134.0
CDV3,111.0,157.0,99.0,169.0,132.0,117.0
CECR1,490.0,185.0,199.0,321.0,734.0,1735.0
CELF2,184.0,41.0,233.0,672.0,102.0,173.0
CENPH,115.0,1462.0,44.0,56.0,17.0,139.0
CENPK,83.0,1295.0,545.0,13.0,30.0,52.0
CEP152,116.0,530.0,134.0,73.0,199.0,152.0
CEP170,171.0,72.0,79.0,51.0,1105.0,350.0
CEP78,202.0,151.0,216.0,140.0,132.0,119.0
CFLAR,158.9,359.3,294.3,1891.0,778.8,476.9
CFP,3.0,156.0,18.0,1055.0,336.0,3.0
CHAC2,90.0,257.0,145.0,126.0,94.0,95.0
CHEK1,206.0,1789.0,64.0,188.0,155.0,96.0
CHI3L1,5.0,32.0,6.0,3146.0,647.0,228.0
CHORDC1,144.0,83.0,136.0,146.0,435.0,187.0
CHST11,195.0,479.5,350.5,1109.0,1630.0,1691.0
CHST12,147.5,264.0,197.5,183.5,85.0,123.5
CHST15,84.0,193.0,65.0,1499.0,718.0,200.0
CHST2,74.0,229.0,77.0,47.0,490.0,66.0
CHST7,10.0,209.0,23.0,320.0,169.0,126.0
CISH,266.5,1834.5,77.0,263.0,425.5,807.5
CKAP4,137.0,59.0,249.0,960.0,979.0,552.0
CKLF,133.0,526.3333333333334,374.0,2540.0,850.3333333333334,1102.3333333333333
CKS2,122.0,23.0,107.0,42.0,102.0,103.0
CLC,169.0,312.0,24.0,10281.0,49.0,313.0
CLEC10A,67.0,22.0,21.0,76.0,50.0,3926.0
CLEC2B,555.0,685.0,408.0,3925.0,541.0,413.0
CLEC2D,389.5,1212.5,1068.0,132.0,499.5,107.0
CLEC4A,154.5,17.5,14.0,1009.5,977.5,1236.0
CLEC4E,210.0,126.0,78.0,5540.0,8747.0,451.0
CLEC5A,200.0,21.0,43.0,125.0,3275.0,780.0
CLEC7A,130.0,204.0,24.0,2578.0,480.0,983.0
CLECL1,131.0,111.0,75.0,154.0,319.0,636.0
CLIC2,7.0,2.0,2.0,7.0,165.0,1268.0
CLIC3,26.0,251.0,311.0,6.0,7.0,5.0
CLN8,191.0,165.0,102.0,111.66666666666667,545.6666666666666,538.3333333333334
CMC1,95.0,616.0,2940.0,66.0,357.0,527.0
CMPK2,150.0,1247.0,275.0,283.0,7904.0,282.0
CMTM2,142.0,257.0,57.0,8609.0,124.0,101.0
CNO,515.0,785.0,1168.0,586.0,496.0,476.0
CNOT10,162.0,297.0,146.0,117.0,124.0,193.0
CNOT6L,582.0,688.0,2466.0,1235.0,484.0,1239.0
COL4A3BP,128.0,131.0,80.0,827.0,837.0,669.0
COMMD2,162.0,63.0,142.0,190.0,505.0,551.0
CORO1A,980.0,401.0,876.0,3691.0,642.0,396.0
CORO1C,105.0,152.0,73.0,731.0,1154.0,2330.0
COTL1,491.0,3387.0,1356.0,6687.0,2016.0,2009.0
CPM,110.0,88.0,41.0,165.0,1101.0,2674.0
CPNE5,762.0,148.0,496.0,110.0,123.0,47.0
CPOX,62.0,65.0,20.0,93.0,119.0,168.0
CPPED1,97.33333333333333,263.0,125.33333333333333,4397.0,346.0,716.0
CPSF2,132.0,650.0,553.0,199.0,519.0,450.0
CPVL,6.0,49.0,146.0,137.0,232.0,837.0
CR1,508.0,327.0,195.0,3294.0,181.0,1829.0
CREB1,327.0,256.0,472.0,1662.0,485.0,337.0
CREB5,220.5,75.5,60.5,1469.0,238.5,336.5
CREG1,41.0,77.0,110.0,227.0,1907.0,1097.0
CRIM1,181.0,201.0,189.0,46.0,4042.0,1940.0
CRLF2,65.0,6.0,8.0,135.0,157.0,58.0
CRLF3,229.0,1133.0,411.0,671.0,471.0,123.0
CRTAM,88.0,84.0,416.0,84.0,80.0,61.0
CSF1,132.0,47.0,31.0,82.0,3594.0,465.0
CSF1R,153.0,1005.0,117.0,300.0,1294.0,2794.0
CSF2,16.0,12.0,10.0,14.0,1770.0,35.0
CSF2RA,25.666666666666668,19.0,23.666666666666668,269.3333333333333,529.3333333333334,615.6666666666666
CSF2RB,179.0,251.0,139.0,5441.0,882.0,1831.0
CSF3R,93.0,42.0,31.0,5224.0,307.0,70.0
CSGALNOGENECT2,97.0,34.0,98.0,241.0,437.0,392.0
CSK,1287.0,137.0,202.0,986.0,360.0,246.0
CSNK1G1,132.0,307.0,295.0,419.0,514.0,233.0
CST7,71.0,2016.0,1429.0,2100.0,222.0,1111.0
CSTA,46.0,156.0,57.0,1696.0,1804.0,1496.0
CTBS,164.5,98.0,88.0,628.5,155.0,125.0
CTLA4,107.75,1322.0,104.25,129.5,84.0,128.25
CTSB,144.0,63.0,60.0,122.0,1231.0,1970.0
CTSC,34.0,220.0,646.0,1006.0,529.0,5733.0
CTSD,70.0,19.0,52.0,190.0,685.0,2540.0
CTSL1,49.0,37.0,41.0,84.0,2133.0,1531.0
CTSS,650.0,1004.0,445.5,2498.0,1066.0,921.0
CTSW,11.0,1791.0,2044.0,160.0,12.0,11.0
CTSZ,98.0,11.0,17.0,194.0,317.0,1036.0
CUL1,171.0,182.0,77.0,50.0,162.0,138.0
CWF19L1,363.0,124.0,380.0,231.0,369.0,422.0
CX3CR1,128.0,1472.0,2498.0,275.0,217.0,25.0
CXCL1,101.0,19.0,24.0,526.0,7731.0,18.0
CXCL10,217.0,59.0,76.0,165.0,67.0,45.0
CXCL11,77.0,12.0,18.5,60.0,16.5,11.5
CXCL3,42.0,11.0,16.0,67.0,3525.0,47.0
CXCL5,65.5,7.5,5.5,50.0,5219.5,10.0
CXCL9,170.0,51.0,65.0,149.0,104.0,26.0
CXCR1,44.0,10.0,17.0,2676.0,85.0,4.0
CXCR2,5.0,42.0,27.0,4285.0,46.0,66.0
CXCR4,5030.0,2407.0,4301.333333333333,3362.6666666666665,584.3333333333334,598.3333333333334
CXCR6,88.0,59.0,58.0,77.0,78.0,26.5
CXorf38,240.0,715.0,320.0,679.0,333.0,163.0
CXorf40A,351.0,127.0,94.0,98.0,97.0,88.0
CXorf40B,132.0,99.0,89.0,72.0,96.0,60.0
CYB5R4,164.0,48.0,43.0,245.0,374.0,402.0
CYBA,1370.0,644.0,1131.0,1478.0,1398.0,1445.0
CYBB,324.0,228.5,53.0,159.0,1184.0,1425.0
CYLD,436.0,138.0,269.0,471.0,171.0,200.0
CYP1B1,108.5,27.75,28.0,83.75,2887.25,1356.25
CYSLTR1,231.0,291.0,159.5,1190.5,97.5,161.5
CYTH1,165.0,80.0,236.0,309.0,347.0,127.0
CYTH4,182.0,147.0,207.0,1379.0,275.0,319.0
CYTIP,315.0,266.0,642.0,632.0,910.0,967.0
DAPP1,384.3333333333333,504.3333333333333,96.33333333333333,1480.6666666666667,424.3333333333333,333.3333333333333
DCAF13,280.0,1200.0,370.0,200.0,325.0,471.0
DCUN1D1,113.5,233.5,317.5,918.0,681.0,883.5
DDHD1,160.0,281.0,93.0,122.0,48.0,178.0
DDOST,176.0,245.0,465.0,62.0,412.0,594.0
DDX17,597.0,310.0,124.0,581.0,339.0,323.0
DDX21,445.0,118.0,573.0,138.0,217.0,1024.0
DDX39,737.0,131.0,75.0,76.0,744.0,276.0
DDX60L,109.0,244.0,313.0,839.0,1011.0,283.0
DEDD2,352.0,1155.0,924.0,4487.0,1612.0,459.0
DEF6,172.0,884.0,484.0,917.0,224.0,313.0
DEFA4,170.0,41.0,1214.0,150.0,58.0,44.0
DENND1B,97.0,75.5,119.0,123.0,247.0,838.5
DENND2D,175.0,406.0,950.0,12.0,146.0,366.0
DENND4C,147.0,199.0,681.0,165.0,731.0,3359.0
DENR,218.0,291.0,94.0,362.0,294.0,131.0
DEPDC1,106.0,592.0,319.0,101.0,80.0,52.0
DERL1,177.0,174.5,224.5,96.5,268.0,165.0
DERL3,254.0,128.0,819.0,178.0,238.0,314.0
DFNOGENE5,174.0,20.0,49.0,77.0,1073.0,583.0
DGKA,185.5,1120.5,371.5,88.5,57.5,61.5
DHX33,127.0,646.0,312.0,214.0,228.0,147.0
DHX36,200.0,686.0,626.0,126.0,697.0,231.0
DIP2A,144.0,763.0,897.0,343.0,317.0,98.0
DIRC2,151.0,164.0,62.0,521.0,1195.0,1933.0
DKC1,171.0,43.0,109.0,74.0,55.0,97.0
DNMT1,144.0,238.0,112.0,71.0,198.0,449.0
DNOGENEH3,895.0,342.0,42.0,2993.0,386.0,110.0
DNOGENEJB1,335.0,75.0,1367.0,355.0,184.0,52.0
DNOGENEJB14,234.0,598.0,992.0,826.0,1282.0,511.0
DNOGENEJC1,86.0,1308.0,617.0,205.0,328.0,223.0
DNOGENEJC3,187.0,7.0,84.0,777.0,4126.0,218.0
DNOGENEJC5B,188.0,397.0,111.0,123.0,435.0,265.0
DNTTIP2,195.0,195.0,169.0,169.0,1644.0,285.0
DOCK10,204.0,320.0,216.0,7.0,439.0,299.0
DOCK2,248.0,244.0,73.0,552.0,213.0,339.0
DOCK5,99.33333333333333,139.33333333333334,60.666666666666664,2282.3333333333335,987.0,232.66666666666666
DOCK8,297.0,1402.5,691.5,3220.5,823.0,1349.5
DOK3,363.0,185.0,229.0,7436.0,2862.0,2033.0
DPEP2,331.0,139.0,70.0,1500.0,122.0,190.0
DPH3,66.0,978.0,156.0,400.0,703.0,282.0
DPYD,61.0,77.0,179.0,176.0,507.0,165.0
DSE,186.0,37.0,40.0,249.0,762.0,631.0
DTL,200.5,616.0,74.5,124.0,131.0,34.5
DTX3L,368.0,1054.0,486.0,2164.0,748.0,689.0
DUSP2,96.0,1438.0,2104.0,52.0,469.0,51.0
DUSP4,38.5,139.5,19.5,13.0,188.0,17.5
DUSP5,98.0,749.0,148.0,192.0,1130.0,241.0
DUSP6,12.0,128.0,4.0,1128.0,1401.0,365.0
DUT,402.0,300.0,425.0,150.0,222.0,210.0
DYNC1H1,27.0,136.0,380.0,34.0,428.0,644.0
DYRK2,154.0,653.0,388.0,84.0,62.0,138.0
EAF1,149.0,199.0,71.0,90.0,1703.0,290.0
EAF2,1043.0,115.0,122.0,40.0,91.0,64.0
EBI3,8.0,10.0,6.0,19.0,1946.0,35.0
EDEM1,252.0,40.0,115.0,77.0,159.0,222.0
EDEM2,197.0,69.0,63.0,151.0,153.0,244.0
EDEM3,204.0,478.0,1068.0,1420.0,1565.0,644.0
EED,156.0,121.0,136.0,45.0,223.0,83.0
EFHD2,104.0,1188.0,1106.0,1288.0,409.0,255.0
EFTUD2,325.0,1256.0,592.0,487.0,1571.0,1114.0
EGLN1,196.0,102.0,197.0,198.0,64.0,85.0
EGLN3,24.0,219.0,26.0,9.0,20.0,715.0
EHD4,158.0,196.0,64.0,186.0,372.0,347.0
EIF1,2581.0,1184.0,560.0,327.0,82.0,53.0
EIF2AK3,1204.0,119.0,117.0,151.0,131.0,92.0
EIF2C2,300.0,1454.0,511.0,1183.0,1175.0,373.0
EIF2C4,385.0,273.0,292.0,2897.0,593.0,462.0
EIF2S3,726.0,1339.0,566.0,92.0,193.0,329.0
EIF4E3,205.0,1018.0,492.0,2678.0,175.0,140.0
EIF5A,718.0,404.5,614.5,247.0,844.5,633.5
EIF5B,161.0,123.0,142.0,68.0,595.0,285.0
ELF1,577.0,227.0,797.0,1434.0,342.0,250.0
ELF4,83.0,142.0,141.0,550.0,243.0,226.0
ELL2,14.0,12.0,11.0,35.0,113.0,60.0
EME1,108.0,689.0,206.0,63.0,444.0,314.0
EMILIN2,185.0,66.0,125.0,270.0,3794.0,2515.0
EMR2,152.0,209.0,51.0,2679.0,500.0,225.0
EMR3,60.0,64.0,32.0,886.0,211.0,17.0
