,CYFZ,FY2H,FLWA,453W,684C,CZJE,925L,9JD4,G4YW,4DUY,36TS,CR3L
UNC5A,0,0.174924923,0.147793341,0.348958795,0.099523573,0.065477929,0.414934516,0.22618384,0.4658605,0.250929853,0.166577318,0.187330414
HK3,161.6543261,269.6000535,161.4805221,180.2589885,175.3031596,128.3455974,200.0008599,147.7543582,191.7995304,194.802573,220.3368608,184.9652077
UIMC1,47.91101789,45.73611071,43.73592952,46.9092095,46.81266133,38.14370546,39.66315454,37.58303462,39.0732935,51.67841139,46.917987,48.7397259
ZNF346,14.20193715,17.833049,14.9907905,23.03574239,20.89038831,16.70840523,23.2547865,22.32707609,19.62233865,24.54157474,11.9776399,17.06741613
NSD1,23.13998696,26.94940374,19.61645039,17.33744402,23.75356089,31.9108634,46.30318284,35.13602694,34.9650622,34.39517096,35.00269448,38.49900575
CTD-2301A4.3,6.472568554,8.546517601,7.486431722,1.43773844,12.84403619,9.172189242,7.79296448,5.016543997,6.297783072,4.566506076,6.438436477,14.18081505
RAB24,146.387729,164.3892472,117.8444095,135.5084203,143.5622948,137.3508976,111.1574695,124.9099378,144.47005,153.8031557,166.2571753,120.8884692
MXD3,21.76184315,17.34640757,19.89985381,25.03748347,21.71230108,15.70302823,34.31784937,15.48739265,34.65223162,37.54201824,25.27583422,23.10095168
PRELID1,241.8597111,280.5413169,207.9744842,176.9562623,213.7441478,207.2019775,179.9705284,220.4186523,217.4514598,175.5610823,211.1653257,208.1949195
LMAN2,269.4353709,294.3403159,254.5301702,296.9579577,327.7367512,238.1556038,188.5449973,197.0482017,209.1692232,231.7892117,217.7428101,205.5094149
RGS14,82.78111564,60.19547218,82.52239379,86.24820503,91.73751588,62.13809868,95.98630038,107.3003727,95.57772116,99.64891185,70.61360941,53.66685796
F12,1.510818619,0.983280792,1.967806235,2.027154163,0.448255906,1.630606534,1.020794323,1.691470845,0.816090813,1.670572663,0.882204451,0.99420249
GRK6,21.78704421,37.09047562,60.49922248,52.3744996,40.21862105,32.77466639,41.09590747,47.62151721,45.65793895,43.54020281,32.81537475,43.94310641
PRR7,1.317201628,1.439096437,1.978689661,2.228925357,1.097960267,3.395270073,4.957407709,2.684004732,3.393235327,4.389746419,7.534185474,4.118666913
DBN1,3.412794268,6.650003368,8.832779248,14.66559322,6.916473128,6.181039044,4.812817261,7.236810696,13.00457524,5.615167313,5.595531108,4.388967879
PDLIM7,23.51856479,57.78846554,45.77120384,48.06228177,31.97122533,39.47461518,46.17230784,34.56854358,46.66196434,50.43169938,51.01788883,56.00764894
RP11-1334A24.6,17.26833441,38.60109965,24.28968254,24.85412217,22.20964336,29.36659553,26.52268011,23.0563107,30.79112785,31.63766293,46.94119723,29.21564393
DOK3,69.38737403,142.3036339,93.97099298,116.7401169,103.9604536,91.27614826,98.04785867,82.72516059,119.902742,116.3158782,119.384465,119.2518453
DDX41,61.35387616,65.72030654,77.30886444,89.54445708,63.35103479,60.1364794,52.96727526,54.62775974,49.15092898,63.60237063,63.98789668,76.08139893
