gene,naive.B.cells,CD4.T.cells,CD8.T.cells,NK.cells,neutrophils,monocytes,fibroblasts,endothelial.cells
NAT8L,0.016746375,0,0,0,0,0.005093992,0,22.4275
MAN1C1,1.258155696,18.4225045,17.83282,2.993203325,0.71591984,3.562711283,0,1.0325
HRH4,0.467761353,0.41344975,0.4177655,0.40536825,0.8018275,0.41655925,10.3275,1.4025
TCL6,49.27262482,4.56382685,5.363255475,4.921564985,5.2435026,4.374771381,0,0
VCAN,58.96026097,0.98444165,0.33530945,1.920400063,1.3991416,517.2990468,55.165,0
SNAI1,1.17544835,0.296414625,0.41542125,0.66249375,0.27638425,2.9522755,4.6525,0
PCYT1B,0.209047312,0.238597,0.2460175,0.25840775,0.175076175,0.13168645,1.7375,0.6725
HOXA3,0.182055488,0.0298735,0,0.1190587,0.06002085,0.052850867,3.45,4.14
FAM221B,1.1680058,1.554595,1.2397145,1.9315535,2.05964,1.711324483,0,0
HSD11B1,0.220778463,0.2254765,0.08188775,0.49041575,0.0575735,0.1014165,8.11,0
GPR39,0,0,0,0,0,0.008009308,0,0
GAS7,8.493935719,0.792403357,0.341273275,22.85853211,25.86012671,51.99164406,17.22,20.79
CD1B,0.132005125,0,0,0,0,0.806192833,0,0
TACSTD2,0.107738163,0,0.01233505,0.1236295,2.2884225,1.387066167,0,0
FAM201A,0.053470662,1.62266695,0.865389225,0.268445425,0.2386049,0.0524275,0,0
MS4A4A,2.917501189,0,0,0.6598929,0.53030475,84.67735784,0,0
SERTAD3,19.51721113,6.4423925,5.0649745,45.29341475,36.323155,31.06760247,0,0
ADAMDEC1,5.7883675,0.21302695,0.02785675,0.042908,0.20622,2.638258595,0,0
ROBO4,0,0,0,0.0597495,0,0.037689917,0,3.9975
SYNPO,3.96242575,0.2017206,0.255759075,0.5168555,0.31598175,0.170757658,14.7575,1.45
SLC45A4,0.329271019,0.5699535,0.75077025,0.611241803,19.50537325,0.658506508,0,0
SULT1C4,0.69953775,0.5448999,0.590130725,0.8293385,0.96193375,0.480689175,0,0
PDK1,27.5098215,91.68189275,94.431587,22.19435025,19.4162115,11.09865775,7.525,31.685
FPR3,0.7420368,0.0700771,0.0447032,0.363251,0.074785225,5.993232338,0,0
ENPP3,2.255775863,1.332493225,1.91746784,1.779448265,1.3096285,0.56335915,0,0
LINGO2,0.0047928,0,0,11.3523225,0.009612075,0.189498358,0,0
KCNK10,0.0768067,0.111669475,0.131018925,0.443268275,0.18847125,0.116784017,0,0
CDS1,0.087545912,0.20999325,0.34527095,0,0,0.110934442,0,0
KLRD1,9.275029788,11.1838152,3.139646445,1246.182007,7.97590525,14.89026375,56.3775,36.73
PATL2,95.10965153,72.7903565,68.62272,289.6400172,46.9783085,20.00918791,0,11.04
TENM1,0.053291557,5.333402165,3.982574225,6.282437056,1.431120183,0.138881622,0,0
NAA16,18.61920355,66.67032147,108.2281633,31.56275966,5.076830602,17.24891148,2.1,40
DTHD1,0.401004625,0.774338375,0.158967775,63.20867625,0.194187525,0.391306773,0.7375,0
SARDH,0.7241476,11.16919975,4.3049415,1.4964295,1.5689595,0.790750075,0,10.0525
SLC8A3,0,0,0,0,0,0.00337835,0,0
DOCK5,5.817679575,3.056063855,2.388015475,26.806681,203.6432598,70.98097008,2.9225,9.5375
GAL3ST4,0.684029063,22.7818,22.346924,1.53380975,1.639698125,0.626941584,2.8275,3.4425
IGF1,0.9813775,0,0,0,0,0.044886583,4.44,1.4125
RCAN2,0.007969875,0.035238,0,2.0569545,0,0,0,0
SLC17A3,0.136872375,0.2092745,0.4801465,2.22747222,0,0.043329833,0,0
NID1,0.69716845,0.005057,0.004562875,0.105369291,0.210816,11.92771645,139.435,2.26
HPCAL4,0,6.947867504,8.019185,0.163958,0,0.05451125,0,0
KREMEN1,1.241488325,1.109658,1.124934675,1.31350175,15.3510645,1.197279975,15.975,23
CPXM1,0.460043125,0.2920561,1.371775,1.276995,0,0.004048283,5.235,43.3475
ALPL,3.231267652,0.08018675,0.1225575,0.542117323,671.136451,0.934471042,148.11,0
MARCH3,93.34662313,21.711499,19.8714145,10.40209525,19.23528175,8.226866917,2.6975,0.3175
KIF19,0.433657775,2.014409375,0.8659246,8.0639785,0.29333845,0.61300265,0,4.3325
IFNG,1.741941125,2.11786125,0.330849,39.76925,0.428894,0.230588283,0,0
CD28,0.6884095,91.71606275,52.35846175,0.42125425,8.0209225,4.346998167,0.125,0.285
ST6GALNAC1,0.26766825,5.655795843,0.15053875,0.68337875,0.373708,0.539416442,0,0
PRSS23,2.765204875,4.729308,1.565600075,265.5072625,2.25190625,3.176227825,132.6475,65.5325
CMTM2,0.845408375,0,0,0.07596075,311.4459458,1.376365583,0,0
HBEGF,0.973714488,0.241609225,0.0572588,0,6.00399025,16.00739325,0,0
RBM24,0,0,0,0,0,0,0,0
DCHS1,0.223213575,4.3395725,4.9839875,0.149224,0,0.30408575,11.04,9.76
PRSS35,0,0,0,0,0,0,0,0
COBL,0.040171362,0.004133625,0,0,0.0171013,0,0,0.6675
FAM109A,4.667637375,1.696324325,0.741057161,3.422148475,0.11048845,12.13273119,0,0.2025
HOXA7,0.222929975,0,0,0.249087,0,0.010046442,0,0
