3,run_dtw_deconv,,Cell4,0.702635113,0.622953181,1.36E-06
4,run_dtw_deconv,,Cell5,0.800024719,0.878511405,5.17E-17
5,run_dtw_deconv,,Cell6,0.927980835,0.88302521,2.19E-17
0,run_dtw_deconv,,Cell1,0.93248762,0.934309724,3.84E-23
1,run_dtw_deconv,,Cell2,0.905178461,0.89032413,5.09E-18
2,run_dtw_deconv,,Cell3,0.692218058,0.728307323,2.04E-09
3,run_dtw_deconv,,Cell4,0.804156251,0.887346939,9.35E-18
4,run_dtw_deconv,,Cell5,0.869909087,0.851812725,4.44E-15
5,run_dtw_deconv,,Cell6,0.707401764,0.796302521,4.72E-12
0,run_dtw_deconv,,Cell1,0.81039888,0.904633854,2.10E-19
1,run_dtw_deconv,,Cell2,0.915662101,0.861320528,1.01E-15
2,run_dtw_deconv,,Cell3,0.889781473,0.816278511,5.05E-13
3,run_dtw_deconv,,Cell4,0.887768245,0.870156062,2.31E-16
4,run_dtw_deconv,,Cell5,0.922983789,0.874477791,1.08E-16
5,run_dtw_deconv,,Cell6,0.862178385,0.778631453,2.80E-11
0,run_dtw_deconv,,Cell1,0.919924953,0.806098439,1.63E-12
1,run_dtw_deconv,,Cell2,0.97816528,0.958703481,7.34E-28
2,run_dtw_deconv,,Cell3,0.921601697,0.92729892,4.04E-22
3,run_dtw_deconv,,Cell4,0.963788796,0.961296519,1.59E-28
4,run_dtw_deconv,,Cell5,0.945531629,0.966002401,7.49E-30
5,run_dtw_deconv,,Cell6,0.659130018,0.617190876,1.81E-06
0,run_dtw_deconv,,Cell1,0.916291493,0.91394958,1.98E-20
1,run_dtw_deconv,,Cell2,0.895212599,0.897238896,1.16E-18
2,run_dtw_deconv,,Cell3,0.903436122,0.914429772,1.74E-20
3,run_dtw_deconv,,Cell4,0.852158359,0.845954382,1.05E-14
4,run_dtw_deconv,,Cell5,0.92013909,0.887154862,9.72E-18
5,run_dtw_deconv,,Cell6,0.873023159,0.947659064,1.91E-25
0,run_dtw_deconv,,Cell1,0.879901792,0.847202881,8.77E-15
1,run_dtw_deconv,,Cell2,0.848872153,0.819159664,3.58E-13
2,run_dtw_deconv,,Cell3,0.944946217,0.866602641,4.24E-16
3,run_dtw_deconv,,Cell4,0.912161495,0.859783914,1.29E-15
4,run_dtw_deconv,,Cell5,0.838828107,0.898871549,8.02E-19
5,run_dtw_deconv,,Cell6,0.93564147,0.924705882,9.09E-22
0,run_dtw_deconv,,Cell1,0.932513363,0.927490996,3.80E-22
1,run_dtw_deconv,,Cell2,0.933337305,0.91635054,1.03E-20
2,run_dtw_deconv,,Cell3,0.923671778,0.916830732,9.04E-21
3,run_dtw_deconv,,Cell4,0.939305778,0.951596639,3.06E-26
4,run_dtw_deconv,,Cell5,0.851550182,0.876110444,8.03E-17
5,run_dtw_deconv,,Cell6,0.862800043,0.722737095,3.10E-09
0,run_dtw_deconv,,Cell1,0.80579814,0.831644658,7.46E-14
1,run_dtw_deconv,,Cell2,0.798810533,0.799663866,3.30E-12
2,run_dtw_deconv,,Cell3,0.869493455,0.910588235,4.78E-20
3,run_dtw_deconv,,Cell4,0.892384915,0.870828331,2.06E-16
4,run_dtw_deconv,,Cell5,0.852335453,0.877262905,6.51E-17
5,run_dtw_deconv,,Cell6,0.857366488,0.85517407,2.66E-15
0,run_dtw_deconv,,Cell1,0.926980353,0.920768307,2.95E-21
1,run_dtw_deconv,,Cell2,0.958849016,0.957743097,1.26E-27
2,run_dtw_deconv,,Cell3,0.937084055,0.951020408,4.04E-26
3,run_dtw_deconv,,Cell4,0.948285871,0.945834334,4.27E-25
4,run_dtw_deconv,,Cell5,0.871208201,0.815030012,5.85E-13
5,run_dtw_deconv,,Cell6,0.91633759,0.915582233,1.27E-20
0,run_dtw_deconv,,Cell1,0.917396488,0.914621849,1.65E-20
1,run_dtw_deconv,,Cell2,0.911246484,0.958895558,6.58E-28
2,run_dtw_deconv,,Cell3,0.953662903,0.921152461,2.64E-21
3,run_dtw_deconv,,Cell4,0.717954429,0.650708283,3.13E-07
4,run_dtw_deconv,,Cell5,0.890057627,0.898007203,9.74E-19
5,run_dtw_deconv,,Cell6,0.893751004,0.93392557,4.39E-23
0,run_dtw_deconv,,Cell1,0.961537454,0.956878752,2.03E-27
1,run_dtw_deconv,,Cell2,0.943135269,0.958031212,1.07E-27
2,run_dtw_deconv,,Cell3,0.900428301,0.868043217,3.32E-16
3,run_dtw_deconv,,Cell4,0.967815646,0.976758703,9.16E-34
4,run_dtw_deconv,,Cell5,0.948795948,0.957935174,1.13E-27
5,run_dtw_deconv,,Cell6,0.865718176,0.763553421,1.13E-10
0,run_dtw_deconv,,Cell1,0.775267738,0.848835534,6.91E-15
1,run_dtw_deconv,,Cell2,0.886480869,0.924897959,8.57E-22
2,run_dtw_deconv,,Cell3,0.854815611,0.821080432,2.83E-13
3,run_dtw_deconv,,Cell4,0.884168359,0.871116447,1.96E-16
4,run_dtw_deconv,,Cell5,0.803654108,0.821272509,2.77E-13
5,run_dtw_deconv,,Cell6,0.804088486,0.926434574,5.31E-22
0,run_dtw_deconv,,Cell1,0.976732262,0.9830012,5.39E-37
1,run_dtw_deconv,,Cell2,0.941092969,0.949483794,8.34E-26
2,run_dtw_deconv,,Cell3,0.981593602,0.975318127,3.82E-33
3,run_dtw_deconv,,Cell4,0.976714833,0.96667467,4.67E-30
4,run_dtw_deconv,,Cell5,0.982136849,0.977334934,5.05E-34
5,run_dtw_deconv,,Cell6,0.947896483,0.966962785,3.80E-30
0,run_dtw_deconv,,Cell1,0.802760613,0.776710684,3.36E-11
1,run_dtw_deconv,,Cell2,0.88187278,0.900120048,6.04E-19
2,run_dtw_deconv,,Cell3,0.827707179,0.881104442,3.17E-17
3,run_dtw_deconv,,Cell4,0.75630977,0.697863145,1.77E-08
4,run_dtw_deconv,,Cell5,0.865978747,0.908091236,9.00E-20
5,run_dtw_deconv,,Cell6,0.760781574,0.874093637,1.16E-16
