,0,1,2,3,4,5,6
19,abs,CIBERSORT,Microarray,Mast cells activated,0.9960755153512847,0.9746794344808963,0.004818230468198566
20,abs,CIBERSORT,Microarray,Eosinophils,,,
21,abs,CIBERSORT,Microarray,Neutrophils,,,
0,abs,DeconRNASeq,Microarray,brain,0.9497151158886382,0.9636363636363635,7.320974809529922e-06
1,abs,DeconRNASeq,Microarray,muscle,,,
2,abs,DeconRNASeq,Microarray,lung,0.9894099018963266,0.9272727272727272,0.00011203450639397582
3,abs,DeconRNASeq,Microarray,liver,0.9867566917366455,0.9878787878787878,9.307459988955517e-08
4,abs,DeconRNASeq,Microarray,heart,0.529121514933731,0.7696969696969697,0.009221952722215994
0,abs,DSA,Microarray,liver,0.9844276452806194,0.9931584145359876,1.05041318021364e-09
1,abs,DSA,Microarray,brain,0.983394716441694,0.9954441676503465,1.6909623943412074e-10
2,abs,DSA,Microarray,lung,0.9827695299205026,0.9862693712811287,2.390348942277324e-08
0,abs,EPIC,Microarray,Bcells,,,
1,abs,EPIC,Microarray,CD4_Tcells,0.4500140409484132,0.39999999999999997,0.6
2,abs,EPIC,Microarray,CD8_Tcells,0.7799545726948027,0.7999999999999999,0.20000000000000007
3,abs,EPIC,Microarray,NKcells,-0.9633454224107068,-0.9486832980505139,0.051316701949486114
0,abs,RatBrain,Microarray,Neuronal,0.9958444201235354,0.8807710121010885,0.0007637917374575802
1,abs,RatBrain,Microarray,Astrocytic,0.6844933750356466,0.7198484689028783,0.01890477781850604
2,abs,RatBrain,Microarray,Oligodendrocytic,0.9845086120355103,0.8807710121010885,0.0007637917374575802
3,abs,RatBrain,Microarray,Microglial,0.948411110739713,0.6963106238227913,0.025293249585455497
0,abs,TIMER,Microarray,B_cell,0.8025236945414372,0.8720815992723809,0.05385421772754211
1,abs,TIMER,Microarray,CD4_Tcell,0.2947636266747307,0.49999999999999994,0.39100221895577053
2,abs,TIMER,Microarray,CD8_Tcell,,,
3,abs,TIMER,Microarray,Neutrophil,,,
4,abs,TIMER,Microarray,Macrophage,,,
5,abs,TIMER,Microarray,Dendritic,-0.30562425624782735,-0.09999999999999999,0.8728885715695383
0,basic,10x,Microarray,cell1,,,
1,basic,10x,Microarray,cell2,0.7191960605498435,0.6904230588505824,0.02709632492567171
2,basic,10x,Microarray,cell3,0.711539244980266,0.7598123109963695,0.010769501525610197
3,basic,10x,Microarray,cell4,0.5239306938337406,0.6904230588505824,0.02709632492567171
4,basic,10x,Microarray,cell5,0.32240451416508864,0.3170466023558947,0.372070256931418
0,basic,Abbas,Microarray,Jurkat,0.7458527823707628,0.9716254134469436,1.3811738967574605e-07
1,basic,Abbas,Microarray,IM-9,0.9020354563992593,0.9284420617381905,1.3092634205007825e-05
2,basic,Abbas,Microarray,Raji,0.9030360814581823,0.9716254134469436,1.3811738967574605e-07
3,basic,Abbas,Microarray,THP-1,0.9843395309851206,0.8852587100294375,0.00012880556897956028
0,basic,BreastBlood,Microarray,Blood,0.9972010964696741,0.8215838362577492,0.00660265592724442
1,basic,BreastBlood,Microarray,Breast,0.9822371107443701,0.8215838362577492,0.00660265592724442
0,basic,xCell,Microarray,memory.CD4.T.cells,0.3458553897617439,0.39213270066473815,3.8418006678631935e-05
1,basic,xCell,Microarray,memory.CD8.T.cells,0.3156159520138817,0.26831441308022125,0.005889000070691059
2,basic,xCell,Microarray,memory.B.cells,0.44085836999846567,0.5161681132692624,2.0440195559377407e-08
3,basic,xCell,Microarray,monocytes,0.39182549653415044,0.44543022469960186,2.1572973680508383e-06
4,basic,xCell,Microarray,naive.B.cells,0.5525011142774267,0.6336782078284778,5.214112571038946e-13
5,basic,xCell,Microarray,naive.CD4.T.cells,,,
6,basic,xCell,Microarray,naive.CD8.T.cells,0.2997283209707002,0.2814740526417526,0.003796974931184931
7,basic,xCell,Microarray,NK.cells,0.2481732162469314,0.29124923984629814,0.002703464977842679
8,basic,xCell,Microarray,regulatory.T.cells,0.06892233361941826,-0.03363482873291315,0.7346402083244877
0,basic,CIBERSORT,Microarray,B cells naive,0.9856235156634658,0.6668859288553503,0.21889398131323154
1,basic,CIBERSORT,Microarray,B cells memory,,,
2,basic,CIBERSORT,Microarray,Plasma cells,,,
3,basic,CIBERSORT,Microarray,T cells CD8,0.7910068877620297,0.9746794344808963,0.004818230468198566
4,basic,CIBERSORT,Microarray,T cells CD4 naive,,,
5,basic,CIBERSORT,Microarray,T cells CD4 memory resting,,,
6,basic,CIBERSORT,Microarray,T cells CD4 memory activated,,,
7,basic,CIBERSORT,Microarray,T cells follicular helper,,,
8,basic,CIBERSORT,Microarray,T cells regulatory (Tregs),0.8352123318274405,0.9999999999999999,1.4042654220543672e-24
9,basic,CIBERSORT,Microarray,T cells gamma delta,,,
10,basic,CIBERSORT,Microarray,NK cells resting,,,
11,basic,CIBERSORT,Microarray,NK cells activated,,,
12,basic,CIBERSORT,Microarray,Monocytes,,,
13,basic,CIBERSORT,Microarray,Macrophages M0,0.88432773976558,0.8207826816681234,0.08858700531354378
14,basic,CIBERSORT,Microarray,Macrophages M1,,,
15,basic,CIBERSORT,Microarray,Macrophages M2,,,
16,basic,CIBERSORT,Microarray,Dendritic cells resting,,,
17,basic,CIBERSORT,Microarray,Dendritic cells activated,,,
18,basic,CIBERSORT,Microarray,Mast cells resting,,,
19,basic,CIBERSORT,Microarray,Mast cells activated,0.8726320192954254,0.9746794344808963,0.004818230468198566
20,basic,CIBERSORT,Microarray,Eosinophils,,,
21,basic,CIBERSORT,Microarray,Neutrophils,,,
