,0,1,2,3,4,5
4,run_dtw_deconv,6,Cell5,0.8918328382843563,0.8349099639855943,4.850356205392478e-14
5,run_dtw_deconv,6,Cell6,0.8485083978152207,0.8101320528211284,1.0326373799959799e-12
6,run_dtw_deconv,6,Cell7,0.6110891703312985,0.432124849939976,0.0017259540024211022
7,run_dtw_deconv,6,Cell8,0.9052977565486406,0.9106842737094838,4.6636340558024756e-20
8,run_dtw_deconv,6,Cell9,0.8194233391373598,0.815798319327731,5.344148229265105e-13
9,run_dtw_deconv,6,Cell10,0.9759362365910946,0.9787755102040816,1.0607314198318098e-34
0,run_dtw_deconv,7,Cell1,0.9176121726777066,0.9559183673469386,3.4073947751684385e-27
1,run_dtw_deconv,7,Cell2,0.8430797892314527,0.733109243697479,1.4142495366880046e-09
2,run_dtw_deconv,7,Cell3,0.9155621810533247,0.8916686674669867,3.846112915415911e-18
3,run_dtw_deconv,7,Cell4,0.9385981680253391,0.9624489795918367,7.817616532432667e-29
4,run_dtw_deconv,7,Cell5,0.48140739859037657,0.5351740696278511,6.220103079484725e-05
5,run_dtw_deconv,7,Cell6,0.8392164775942486,0.8985834333733493,8.558097346857446e-19
6,run_dtw_deconv,7,Cell7,0.9533401986182446,0.972436974789916,5.231408141221239e-32
7,run_dtw_deconv,7,Cell8,0.8884438165032865,0.9157743097238895,1.209336776105034e-20
8,run_dtw_deconv,7,Cell9,0.9073352658354756,0.9313325330132053,1.0745543708096014e-22
9,run_dtw_deconv,7,Cell10,0.8762152490441047,0.841920768307323,1.8611620389290444e-14
0,run_dtw_deconv,8,Cell1,0.9810515524712691,0.9598559423769507,3.7705341704628756e-28
1,run_dtw_deconv,8,Cell2,0.891123392396178,0.9029051620648259,3.163637296577094e-19
2,run_dtw_deconv,8,Cell3,0.9845614629600686,0.9812725090036014,5.408855592290811e-36
3,run_dtw_deconv,8,Cell4,0.9394447319023368,0.9225930372148858,1.7240851407135036e-21
4,run_dtw_deconv,8,Cell5,0.9319224323314741,0.8387515006002401,2.885917184172035e-14
5,run_dtw_deconv,8,Cell6,0.8371883954615056,0.836062424969988,4.156573275643015e-14
6,run_dtw_deconv,8,Cell7,0.97822934854965,0.9754141656662665,3.48065549725986e-33
7,run_dtw_deconv,8,Cell8,0.9262067003977172,0.9114525810324129,3.823994555532499e-20
8,run_dtw_deconv,8,Cell9,0.9348754305299279,0.8724609843937575,1.5451346689126317e-16
9,run_dtw_deconv,8,Cell10,0.9830464635916044,0.9313325330132053,1.0745543708096014e-22
0,run_dtw_deconv,9,Cell1,0.9513214985765848,0.9382472989195678,9.101865523879324e-24
1,run_dtw_deconv,9,Cell2,0.7904937477342018,0.638031212484994,6.22564281873702e-07
2,run_dtw_deconv,9,Cell3,0.7264041056476545,0.4619927971188475,0.0007316912788054282
3,run_dtw_deconv,9,Cell4,0.8934611776512618,0.9060744297719087,1.479747673117193e-19
4,run_dtw_deconv,9,Cell5,0.8654230719334145,0.8259783913565426,1.5434807687626605e-13
5,run_dtw_deconv,9,Cell6,0.6613459188785734,0.5119327731092437,0.00014465575532045862
6,run_dtw_deconv,9,Cell7,0.7095659101848227,0.6185354141656663,1.6922216336275518e-06
7,run_dtw_deconv,9,Cell8,0.952115845858105,0.9807923169267706,9.878065153840824e-36
8,run_dtw_deconv,9,Cell9,0.9573570994898959,0.9470828331332533,2.472985949923736e-25
9,run_dtw_deconv,9,Cell10,0.9265193549831312,0.9385354141656662,8.162220522722868e-24
0,run_dtw_deconv,10,Cell1,0.9612704683572384,0.9655222088835534,1.0425178698852614e-29
1,run_dtw_deconv,10,Cell2,0.8714418995575014,0.837406962785114,3.4663176246135864e-14
2,run_dtw_deconv,10,Cell3,0.923365902310306,0.8898439375750299,5.622279938847256e-18
3,run_dtw_deconv,10,Cell4,0.9127702769397953,0.9026170468187275,3.3855057910496357e-19
4,run_dtw_deconv,10,Cell5,0.9319230242252511,0.9277791116446579,3.46338810074121e-22
