GeneSymbol,naive.CD4.T.cells,naive.CD8.T.cells,naive.B.cells,monocytes,NK.cells ,myeloid.dendritic.cells
SAMHD1,0.605932729,0.605932729,0.605932729,1.895989364,0.605932729,2.315881404
RPN2,0.642286165,0.642286165,0.642286165,0.642286165,0.642286165,2.666165143
MAFB,0.82765935,0.82765935,0.82765935,0.82765935,0.82765935,0.82765935
TOP1,0.762527631,0.762527631,0.762527631,0.762527631,0.762527631,0.762527631
MYBL2,0.947167483,0.947167483,0.947167483,0.947167483,0.947167483,219.4968659
SERINC3,0.751143333,0.751143333,0.751143333,0.751143333,0.751143333,0.751143333
PKIG,0.832121707,0.832121707,0.832121707,0.832121707,0.832121707,0.832121707
ADA,0.793441603,0.793441603,0.793441603,0.793441603,0.793441603,3.745724748
YWHAB,1.170887702,1.098517163,1.08321328,1.318634539,1.373161235,1.342863798
STK4,0.52256123,1.390387654,0.52256123,0.52256123,1.540254666,0.52256123
TNNC2,0.943364193,0.943364193,0.943364193,0.943364193,0.943364193,0.943364193
CTSA,0.726631039,0.726631039,0.726631039,0.726631039,0.726631039,0.726631039
CD40,0.822113513,0.822113513,0.822113513,0.822113513,0.822113513,0.822113513
SLC35C2,0.768189797,0.768189797,0.768189797,0.768189797,0.768189797,0.768189797
NCOA3,0.770491151,0.770491151,0.770491151,0.770491151,0.770491151,0.770491151
SULF2,0.844116346,0.844116346,0.844116346,0.844116346,0.844116346,2.042765256
PREX1,0.795517158,0.795517158,0.795517158,0.795517158,0.795517158,0.795517158
ZFAS1,1.15038298,1.228734506,1.238292181,1.324680059,0.370941079,0.824641584
CEBPB,0.61417807,0.61417807,0.61417807,2.524355464,0.61417807,0.61417807
LINC01272,0.789950215,0.789950215,0.789950215,0.789950215,0.789950215,0.789950215
BCAS4,0.76799279,0.76799279,0.76799279,0.76799279,0.76799279,0.76799279
RTFDC1,0.666348155,0.666348155,0.666348155,0.666348155,0.666348155,1.839126583
GNAS,0.57358856,0.57358856,0.57358856,1.270213223,0.57358856,2.326075557
CTSZ,0.727940457,0.727940457,0.727940457,2.522065758,0.727940457,4.185307197
TUBB1,0.935396081,0.935396081,0.935396081,0.935396081,0.935396081,0.935396081
ATP5E,0.919790107,0.938282153,0.875682262,1.933557817,1.084248454,2.158605963
PSMA7,1.052241914,1.057976655,0.438247973,1.431593429,1.433941284,1.530671451
ADRM1,0.678915675,0.678915675,0.678915675,0.678915675,0.678915675,0.678915675
RPS21,1.409134684,1.517888784,1.249557061,0.620326085,0.591800008,0.839892937
PPDPF,1.112847476,1.097705497,1.179146735,0.942487712,0.914597085,0.83910984
RGS19,0.64208286,0.64208286,0.64208286,0.64208286,0.64208286,1.541470876
GZMM,0.650963002,1.623595512,0.650963002,0.650963002,3.465691353,0.650963002
BSG,0.612909848,0.612909848,0.612909848,0.612909848,2.324085728,1.559695944
RNF126,0.696470888,0.696470888,0.696470888,0.696470888,0.696470888,0.696470888
PTBP1,0.696412065,0.696412065,0.696412065,0.696412065,0.696412065,0.696412065
CFD,0.709837349,0.709837349,0.709837349,3.554843088,0.709837349,0.709837349
R3HDM4,0.71145009,0.71145009,0.71145009,0.71145009,0.71145009,0.71145009
ARID3A,0.825906974,0.825906974,0.825906974,0.825906974,0.825906974,5.394984143
CNN2,0.590172687,0.590172687,0.590172687,0.590172687,0.590172687,0.590172687
HMHA1,1.410315355,1.369606697,0.506352146,0.506352146,1.4281017,0.506352146
POLR2E,0.676009392,0.676009392,0.676009392,0.676009392,0.676009392,0.676009392
GPX4,1.184774755,1.136102633,0.426109466,1.708073744,0.426109466,1.22332951
ATP5D,1.141973869,1.111983041,1.096254246,1.542685456,1.36906859,1.322296555
MIDN,0.713000927,0.713000927,0.713000927,0.713000927,0.713000927,0.713000927
CIRBP,1.203241461,1.155452724,1.482282883,0.786372751,1.494446752,1.164124117
NDUFS7,0.593356956,0.593356956,0.593356956,1.646440662,0.593356956,1.412733735
RPS15,1.399191176,1.478319414,1.256145876,0.756076504,0.429240201,0.540395478
UQCR11,0.984893258,0.958287035,0.966188989,1.594133456,1.273003806,1.573884879
ABHD17A,0.704296848,0.704296848,0.704296848,0.704296848,3.655701488,0.704296848
SCAMP4,0.815134527,0.815134527,0.815134527,0.815134527,0.815134527,0.815134527
PLEKHJ1,0.698140735,0.698140735,0.698140735,0.698140735,0.698140735,1.962375666
OAZ1,0.754454783,0.741515486,1.281308391,2.060908468,0.966693476,1.650256949
TIMM13,0.664261126,0.664261126,0.664261126,1.861487504,0.664261126,2.044230315
GADD45B,0.64600723,0.64600723,0.64600723,0.64600723,0.64600723,0.948180434
GNG7,0.810089608,0.810089608,0.810089608,0.810089608,0.810089608,3.626450696
SLC39A3,0.816417674,0.816417674,0.816417674,0.816417674,0.816417674,0.816417674
AES,1.542662513,1.406206766,1.184676746,0.408169606,1.352344872,0.854521242
GNA15,0.882150921,0.882150921,0.882150921,0.882150921,0.882150921,0.882150921
S1PR4,0.593639854,0.593639854,0.593639854,0.593639854,0.593639854,0.593639854
MATK,0.770597195,0.770597195,0.770597195,0.770597195,5.622484258,0.770597195
EEF2,1.290906521,1.370212739,1.318197167,0.772290345,0.783609778,1.048701888
ZBTB7A,0.732820263,0.732820263,0.732820263,0.732820263,0.732820263,0.732820263
MAP2K2,0.738528476,0.738528476,0.738528476,0.738528476,0.738528476,0.738528476
SHD,0.955723983,0.955723983,0.955723983,0.955723983,0.955723983,0.955723983
TMIGD2,0.801681034,0.801681034,0.801681034,0.801681034,0.801681034,3.4458286
MYDGF,0.653606581,0.653606581,0.653606581,0.653606581,0.653606581,3.416821399
PLIN3,0.804498436,0.804498436,0.804498436,0.804498436,0.804498436,0.804498436
PTPRS,0.937168565,0.937168565,0.937168565,0.937168565,0.937168565,58.30810462
RPL36,1.502160863,1.511663629,1.118583868,0.6880621,0.361727367,0.498291839
NDUFA11,0.479981603,1.109697594,0.479981603,1.520738365,1.443051562,1.544221646
ADGRE1,0.880808511,0.880808511,0.880808511,0.880808511,0.880808511,0.880808511
MCOLN1,0.854284852,0.854284852,0.854284852,0.854284852,0.854284852,0.854284852
PET100,0.555727609,0.555727609,0.555727609,1.557158231,0.555727609,1.413085343
STXBP2,0.633735761,0.633735761,0.633735761,2.413905344,0.633735761,1.233220872
RETN,0.822239216,0.822239216,0.822239216,0.822239216,0.822239216,0.822239216
FCER2,0.802179361,0.802179361,5.510759272,0.802179361,0.802179361,0.802179361
NDUFA7,0.761669191,0.761669191,0.761669191,0.761669191,0.761669191,0.761669191
RPS28,1.54501021,1.717418586,0.998338509,0.696490428,0.361583732,1.016200375
RAB11B,0.709302505,0.709302505,0.709302505,0.709302505,0.709302505,1.894432557
HNRNPM,0.529913857,1.124864852,0.529913857,0.529913857,1.34786268,1.226590399
PRAM1,0.821076063,0.821076063,0.821076063,0.821076063,0.821076063,0.821076063
MYO1F,0.590007258,0.590007258,0.590007258,1.474096073,2.899203296,0.590007258
UBL5,1.058680587,1.020507415,1.109312248,1.390241959,1.348120286,1.758768814
PIN1,0.672223661,0.672223661,0.672223661,0.672223661,0.672223661,1.79270523
C19orf66,0.701350118,0.701350118,0.701350118,0.701350118,0.701350118,0.701350118
EIF3G,1.209851156,1.161389622,0.415940143,1.153944486,1.638146762,0.986900587
ICAM3,0.475789909,1.184900646,0.475789909,1.106824893,1.595601556,0.475789909
CDC37,0.607465167,0.607465167,0.607465167,0.607465167,0.607465167,1.501818948
S1PR5,0.851712206,0.851712206,0.851712206,0.851712206,0.851712206,0.851712206
CDKN2D,0.680024134,0.680024134,0.680024134,0.680024134,0.680024134,2.678870167
SLC44A2,0.740071743,0.740071743,0.740071743,0.740071743,0.740071743,0.740071743
C19orf38,0.796823494,0.796823494,0.796823494,0.796823494,0.796823494,0.796823494
TMEM205,0.757933227,0.757933227,0.757933227,0.757933227,0.757933227,0.757933227
ACP5,0.817050591,0.817050591,0.817050591,0.817050591,0.817050591,0.817050591
ZNF791,0.764690428,0.764690428,0.764690428,0.764690428,0.764690428,0.764690428
WDR83OS,0.545043127,0.545043127,0.545043127,1.6213482,1.755293595,1.139539023
JUNB,1.756250108,1.697447393,0.788763475,0.851837181,0.879262537,0.419445862
PRDX2,0.578104222,1.448775247,0.578104222,0.578104222,0.578104222,0.578104222
CALR,0.542415642,0.542415642,0.542415642,1.11309705,1.907491663,1.873839305
LYL1,0.758714501,0.758714501,0.758714501,0.758714501,0.758714501,0.758714501
TRMT1,0.750704836,0.750704836,0.750704836,0.750704836,0.750704836,0.750704836
STX10,0.715588469,0.715588469,0.715588469,0.715588469,0.715588469,0.715588469
IER2,1.014486563,0.899485254,0.963552076,1.289407053,1.508194098,0.715412599
CTD-3252C9.4,0.73308576,0.73308576,0.73308576,2.239432847,0.73308576,0.73308576
ADGRE5,0.67319706,0.67319706,0.67319706,0.67319706,0.67319706,0.67319706
PKN1,0.702189401,0.702189401,0.702189401,0.702189401,0.702189401,0.702189401
