,0,1,2,3,4,5
1,112101.csv,RNASeq,CD4.T.cells,0.9935252536014441,0.9879699248120299,4.798484273727158e-16
2,112101.csv,RNASeq,endothelial.cells,0.9984227126092535,0.9879699248120299,4.798484273727158e-16
3,112101.csv,RNASeq,fibroblasts,0.9962984189795113,0.9969924812030074,1.891102426799577e-21
4,112101.csv,RNASeq,monocytic.lineage,0.9985096765553264,0.9969924812030074,1.891102426799577e-21
5,112101.csv,RNASeq,neutrophils,0.9972024445232734,0.9879699248120299,4.798484273727158e-16
0,115978.csv,RNASeq,endothelial.cells,0.9999341746739636,0.9990396158463385,7.208609721298551e-67
1,115978.csv,RNASeq,fibroblasts,0.999981883697071,0.9996158463385355,2.041996373726414e-76
2,115978.csv,RNASeq,NK.cells,0.9999927384685896,0.9997118847539016,2.0510952385802693e-79
0,121922.csv,RNASeq,memory.B.cells,0.9995258048990346,1.0,0.0
1,121922.csv,RNASeq,naive.B.cells,0.9909063502807125,0.9525283797729618,1.1169590316176146e-09
2,121922.csv,RNASeq,naive.CD4.T.cells,0.9977785117076189,0.9938080495356036,1.065568864594519e-16
3,121922.csv,RNASeq,memory.CD4.T.cells,0.994630369096346,0.9917440660474718,1.0575341096645975e-15
4,121922.csv,RNASeq,monocytes,0.9999922068238333,1.0,0.0
5,121922.csv,RNASeq,naive.CD8.T.cells,0.9997837625525796,0.9958720330237358,4.184524393267239e-18
6,121922.csv,RNASeq,endothelial.cells,0.9999738103895871,1.0,0.0
0,89134.csv,RNASeq,memory.CD8.T.cells,1.0,1.0,0.0
1,89134.csv,RNASeq,naive.CD8.T.cells,0.9999999999999998,1.0,0.0
0,109348.csv,Microarray,naive.B.cells,0.9937281110428597,0.993984962406015,9.57798144168789e-19
1,109348.csv,Microarray,monocytes,0.9957371415942978,0.9864661654135337,1.3775681209191945e-15
2,109348.csv,Microarray,naive.CD4.T.cells,0.9808538513253279,0.9593984962406013,2.4569761819746815e-11
3,109348.csv,Microarray,naive.CD8.T.cells,0.9381758810551168,0.8992481203007519,7.012940808821561e-08
4,109348.csv,Microarray,neutrophils,0.9939533307007886,0.9924812030075187,7.097515845390673e-18
5,109348.csv,Microarray,NK.cells,0.9841303963491075,0.9503759398496241,1.4466901765702984e-10
6,109348.csv,Microarray,memory.CD4.T.cells,0.9445137008817186,0.9293233082706768,3.2275217543825784e-09
7,109348.csv,Microarray,myeloid.dendritic.cells,0.9921881087341489,0.9804511278195487,3.6893592442965844e-14
0,15659.csv,Microarray,naive.CD4.T.cells,0.9937201713884031,0.9864661654135337,1.3775681209191945e-15
1,15659.csv,Microarray,memory.CD4.T.cells,0.9913766794277327,0.9909774436090225,3.6423222015869136e-17
2,15659.csv,Microarray,regulatory.T.cells,0.994141567809038,0.9804511278195487,3.6893592442965844e-14
0,22886.csv,Microarray,B.cells,0.985969313902577,0.9714285714285714,1.0864095402975106e-12
1,22886.csv,Microarray,CD4.T.cells,0.37040971877535983,0.29323308270676685,0.20957138880302534
2,22886.csv,Microarray,monocytic.lineage,0.906160893439,0.8165413533834586,1.1247209263971732e-05
3,22886.csv,Microarray,neutrophils,0.9421493851271111,0.8481203007518796,2.3214303644390417e-06
4,22886.csv,Microarray,NK.cells,0.8556800870221046,0.8466165413533834,2.5220574871575744e-06
0,25638.csv,Microarray,memory.B.cells,0.9715536573940581,0.9398496240601503,7.860443387804434e-10
1,25638.csv,Microarray,naive.B.cells,0.9853100955708156,0.9819548872180449,1.804935413691644e-14
0,28490.csv,Microarray,B.cells,0.9920968065366538,0.9909774436090225,3.6423222015869136e-17
1,28490.csv,Microarray,CD4.T.cells,0.8717218884961082,0.8360902255639097,4.401254248076888e-06
2,28490.csv,Microarray,CD8.T.cells,0.9618629923745662,0.9669172932330825,3.998251637026956e-12
3,28490.csv,Microarray,NK.cells,0.9767792891016223,0.8781954887218045,3.5733947904134215e-07
4,28490.csv,Microarray,neutrophils,0.9978249609461847,0.9954887218045112,7.230721163595917e-20
5,28490.csv,Microarray,monocytic.lineage,0.9956788097381187,0.9954887218045112,7.230721163595917e-20
0,28492.csv,Microarray,B.cells,0.9961495685713042,0.9789473684210527,7.14894440783183e-14
1,28492.csv,Microarray,CD4.T.cells,0.9699361353131283,0.9443609022556391,3.962326723985093e-10
2,28492.csv,Microarray,CD8.T.cells,0.997783638871335,0.993984962406015,9.57798144168789e-19
3,28492.csv,Microarray,NK.cells,0.9960577593265308,0.9894736842105262,1.450570213696417e-16
4,28492.csv,Microarray,neutrophils,0.9969787853257783,0.9924812030075187,7.097515845390673e-18
5,28492.csv,Microarray,monocytic.lineage,0.9915838328189587,0.9924812030075187,7.097515845390673e-18
0,3982.csv,Microarray,neutrophils,0.9963227649849837,0.9894736842105262,1.450570213696417e-16
1,3982.csv,Microarray,NK.cells,0.9988089826052021,0.9879699248120299,4.798484273727158e-16
2,3982.csv,Microarray,memory.CD4.T.cells,0.9972927855456011,0.9954887218045112,7.230721163595917e-20
3,3982.csv,Microarray,myeloid.dendritic.cells,0.994073327030636,0.9894736842105262,1.450570213696417e-16
4,3982.csv,Microarray,macrophages,0.9926133342435277,0.9849624060150375,3.53643200208412e-15
0,44621.csv,Microarray,B.cells,0.9895740137091973,0.9684993997599038,1.2339133840023645e-30
1,44621.csv,Microarray,monocytic.lineage,0.9975325629625709,0.9969267707082833,9.36076305166831e-55
2,44621.csv,Microarray,CD4.T.cells,0.789737573183228,0.778343337334934,2.878156135038902e-11
3,44621.csv,Microarray,CD8.T.cells,0.822257844274956,0.7963985594237694,4.671479687611538e-12
0,58173.csv,Microarray,CD4.T.cells,0.997070270348621,0.9819548872180449,1.804935413691644e-14
1,58173.csv,Microarray,CD8.T.cells,0.9943058814335829,0.9894736842105262,1.450570213696417e-16
