Symbol,B.cells,CD4.T.cells,CD8.T.cells,endothelial.cells,fibroblasts,monocytic.lineage,neutrophils,NK.cells
DEFA4,582.8931503,487.049624,1464.715879,218.7783938,167.2662015,223.1181284,1043.099925,4750.324397
CHST7,31.70097666,363.8672696,63.06674573,370.0267086,326.6561626,563.3962819,749.0017082,76.87959247
DGKA,457.2368181,1697.192814,1829.165686,183.0531897,333.2733807,284.7846812,307.7779536,260.3405139
IGHD,24.52313383,15.23701996,14.44114563,8.734062642,12.52068893,13.48687009,16.85534364,9.0674915
SKA1,138.2624469,153.7497384,49.92986362,55.686305,241.6674801,42.95787731,84.36022897,99.8415901
AIM2,588.6362465,1425.606061,563.519115,784.1275758,255.1102435,903.4164039,1060.65826,258.695847
TBX21,733.5050866,1721.776926,1899.952101,321.6347107,225.2524754,451.5312639,951.9351863,4442.064274
RCAN3,83.92934522,460.0604248,344.8504822,17.82472738,108.6074295,63.30583239,15.29941234,39.04321127
CMA1,90.38208561,52.77892301,54.84066259,94.26811044,100.5337628,117.0344671,81.27888023,98.20870596
GPR65,907.5291425,1547.984599,2019.447555,78.82619549,94.28304239,2089.100439,2620.242724,2607.604012
LILRA3,30.79672388,260.3405139,32.52390991,23.78075842,58.8418118,2330.643118,1341.244177,471.6592183
EFNA5,31.49215071,47.59763868,23.13759161,26.22011887,65.6837932,40.22872744,64.18601456,63.50737536
HSPA6,231.7394559,312.2937248,182.1920328,387.8944178,91.46227671,1043.433175,4604.127184,324.3542191
PNOC,5028.534915,231.5156886,195.4139976,143.9551924,131.7958401,378.1699466,559.7754967,110.0655482
FZD3,214.2484458,109.2391512,98.59622574,108.4126614,72.25217773,63.01874431,174.8705779,60.53467441
HIST1H2AE,62.81594473,92.27456505,56.30094673,36.88660164,12.8439419,26.92679968,54.41951414,21.25304626
TRDC,121.8344013,2811.241552,3386.745455,93.78911709,86.58300964,83.50303251,688.8481353,14661.68297
CRYAB,465.6985812,202.5557226,217.8474228,253.4925197,5677.45365,259.4544478,426.4884331,200.7579594
TNFRSF11B,11.99174759,9.436525638,9.677230927,21.12425937,890.1104052,15.09802593,10.96524346,10.56747821
FCN1,266.4498355,6306.552014,175.4005682,75.56701639,77.15014781,40583.09319,7485.468779,869.7849434
CLEC10A,192.4466759,301.8521844,143.5023447,77.94856887,105.9544317,916.4639167,272.2760713,96.86304007
GPR25,15.44780485,85.85848439,49.80700991,21.71849497,30.10847209,36.42487421,23.23296542,49.84133904
CDK6,149.9470052,247.3631454,224.8301858,288.1588233,189.7202815,96.5423366,73.19352952,586.4465922
MMP25,225.2524754,230.0427712,319.7978925,311.2847244,209.3676718,361.7987463,955.8846831,287.8257389
PRRX2,67.48536909,81.66098095,69.59702878,263.9507394,2084.139059,56.34171643,62.94931579,41.02360571
IGHM,9.0674915,6.985068505,9.596374999,5.95273459,5.80793066,8.009436561,7.626526749,7.309470748
NPL,36.83056137,269.7136055,149.0401793,40.75838249,35.89676426,1238.369358,2899.282159,168.4150249
CD160,600.1468563,759.3186484,1601.261437,162.243186,132.3530948,170.3269706,470.262856,2609.292196
MZB1,77.09877561,183.5193596,203.7661029,48.51210428,28.99726314,30.13369396,39.20761604,38.9930739
TREML2,174.2863253,88.72179378,44.11347134,54.04504801,63.38618055,80.26768866,1375.636221,170.2134639
UGT1A8,204.300886,69.48304142,105.5360588,96.5841055,69.86280176,105.327067,201.3581576,67.340873
ZNF222,21.21381759,77.68152779,132.1478351,45.15874986,70.03948485,91.91826277,36.58674489,173.9679555
F3,52.31802023,14.85115382,16.61097801,106.2512817,1952.277477,135.9394986,59.84571906,31.27892129
IL1B,599.1615202,306.2064552,167.2005703,673.5553978,202.3446376,4652.899946,2816.628275,874.4102422
CSF2,44.18343095,84.78737625,46.71736257,39.6475314,41.10295248,80.84309162,39.45445715,131.0111664
PLEKHF1,70.46541476,833.5332455,1239.751556,241.1997861,312.9522605,75.98571945,83.89241114,1533.84092
FCER1A,156.3559642,514.1224681,179.1551868,138.6627382,66.96077173,960.1835928,243.4669846,472.8701025
IL2RA,110.1120214,1545.209682,69.86280176,39.86002122,33.84785387,239.3715017,26.46282533,1073.730989
IL9,185.1499455,1854.662903,81.84163923,100.1440225,83.105013,66.89938588,98.94530099,57.86601706
S100A12,348.3439802,2089.944422,178.3808389,279.7937948,160.395721,17345.40346,17868.365,2816.628275
MROH7,80.65383075,63.92834071,70.3550408,121.0077545,62.0685256,94.43529369,138.8431442,58.39759502
FCER2,784.5239488,26.66519767,14.40331508,9.557429697,13.05588658,58.52658032,14.02227426,13.8277224
CXCL13,114.2205872,127.014691,38.78016211,54.96766914,10.95143503,28.92643516,42.76020716,386.3132435
RASSF4,19.42533924,111.6829158,47.87310392,81.4483731,44.87426391,915.8562796,25.16324141,246.167014
ACHE,20.31381013,16.78768606,14.21055108,18.46003477,24.46688948,21.79120221,19.00988117,16.53264903
CD96,268.744162,1240.199531,2370.015967,113.0855052,66.13218108,77.92142851,238.0793979,2587.629419
SH2D1A,29.53508035,650.8008699,755.8398357,14.26694759,29.2650204,15.20329584,36.06010879,645.0431666
MXRA8,556.8496838,373.106526,651.5257051,872.6346267,6677.719096,416.0376082,795.1533721,354.1693754
AZU1,89.0297276,144.3340082,293.0565032,42.37036871,130.1818753,176.2664325,91.08390203,674.8133612
DPT,24.13382486,16.00209142,17.60895143,26.11703422,449.178557,25.39265465,20.4504531,18.10029344
GPR19,55.56285638,215.9502389,107.5961144,115.3751189,39.97445448,37.71378244,103.6555904,104.2556697
WNT5B,22.34469768,15.41550086,25.64948647,35.65802577,2840.802256,50.53891787,31.4755735,17.96394206
GZMA,330.345283,3548.530116,6662.19828,125.4629626,114.2734399,196.4846031,611.526558,24462.71387
LINC00597,28.06692462,38.06898637,13.65271255,113.1806844,49.1348105,61.22676816,35.5813988,196.8818142
MS4A2,233.6798675,115.5597833,128.6460944,202.7198253,38.47985961,51.4082486,204.300886,68.46215558
