,Lin-_1,Lin-_2,MNC_1,MNC_2
209467_s_at,703.0230257,628.6075711,2130.748228,1865.96862
209468_at,223.9511762,226.3350624,69.65483375,65.73438087
209469_at,19.69983574,15.09374048,26.86653525,31.75117097
209470_s_at,19.39873596,10.11841147,29.18150644,30.09655113
209471_s_at,875.3708056,860.7664749,895.8281889,861.1150282
209472_at,1763.711049,1729.868848,1751.147523,1404.120918
209473_at,594.1575478,580.6015743,2281.84101,2061.127239
209474_s_at,39.32313828,30.61359574,333.2551746,345.5506553
209475_at,682.5813448,762.6391922,1332.502037,1187.569765
209476_at,839.8113018,893.2273262,755.8179565,688.0110661
209477_at,350.7602427,379.038642,294.0059756,306.3577772
209478_at,511.6024142,491.3026796,283.800452,288.2681394
209479_at,964.0791081,935.6328226,1223.216828,1179.30703
209480_at,195.8561186,230.0687631,307.1549226,322.7162702
209481_at,1627.812573,1466.387833,4502.389349,3980.469953
209482_at,985.4984188,977.3649382,592.5667781,581.6870764
209483_s_at,157.7407996,174.6729066,181.3830523,192.9838227
209484_s_at,612.4479869,583.345016,773.2377097,711.8462029
209485_s_at,629.6320929,612.8059425,294.5065241,323.6795306
209486_at,1383.532325,1315.707135,930.991231,954.4814031
209487_at,930.0149198,841.1534792,59.93820967,57.9814835
209488_s_at,345.1453486,350.657653,30.00371843,32.77064312
209489_at,1551.165302,1436.492992,1617.117157,1437.787879
209490_s_at,457.652478,453.4810643,106.5297076,110.0286215
209491_s_at,70.32650276,74.69161965,79.38904069,89.37130595
209492_x_at,5530.088437,5114.104742,3728.261995,3309.745699
209493_at,323.2104189,318.8190745,44.08805257,67.41813786
209494_s_at,58.73837853,55.94546359,33.110297,43.95696162
209495_at,265.7554319,263.0558489,254.833475,272.8029825
209496_at,111.1890129,105.4379193,59.04587755,56.54877805
209497_s_at,600.4440793,572.2160501,439.1283922,439.5185848
209498_at,101.1442626,98.73363105,1935.029706,1757.959078
209499_x_at,150.9163924,162.084436,445.8094907,484.2440417
209500_x_at,187.0984047,215.4294736,577.6667895,556.8579047
209501_at,95.10430409,88.95763872,200.1401219,199.7628654
209502_s_at,58.71483673,68.958734,76.7757225,73.17603731
209503_s_at,3726.766738,3481.450957,2389.251177,2206.112153
209504_s_at,42.28783823,51.40343615,104.7358981,88.34417479
209505_at,18.00738366,11.93768353,13.647283,13.32523063
209506_s_at,79.20000193,88.5853485,96.1274216,72.40757144
209507_at,1162.531157,1026.005106,531.7009589,578.2072015
209508_x_at,368.0545913,414.0221477,2282.592009,1971.152007
209509_s_at,2258.28873,2059.435854,1165.015238,996.9351522
209510_at,1454.205722,1425.229625,1208.152328,1134.638555
209511_at,555.5741829,575.4137579,351.2805515,330.3850618
209512_at,197.0381607,201.6736505,328.4271164,353.2052473
209513_s_at,1360.988229,1148.382384,1897.137978,1735.203764
209514_s_at,265.4965565,230.0036137,1611.988159,1439.789853
209515_s_at,716.3222619,696.5470528,3714.676013,3120.529205
209516_at,328.0160828,355.7849574,131.0329579,144.3529035
209517_s_at,5245.324937,4899.388106,3469.266296,2946.646101
209518_at,328.1999691,333.2300646,219.5797316,261.0858902
209519_at,46.06533977,50.2427666,37.87271045,51.61588772
209520_s_at,294.4376224,323.4122502,257.5905154,285.1308975
209521_s_at,53.44035881,50.50363654,20.61008606,27.90637093
209522_s_at,317.096683,297.821933,166.1245785,164.1953842
209523_at,1055.091377,989.2665766,1051.159221,878.5451324
209524_at,818.6563026,744.8824358,225.9780793,213.0223586
209525_at,178.3795859,170.1702794,995.590836,909.8747617
209526_s_at,171.5323378,176.0536288,73.07440617,83.00268547
209527_at,493.285002,474.4736334,229.9247231,214.5228326
209528_s_at,356.9975016,315.577993,188.0935721,239.3497809
209529_at,27.39849704,37.27782927,37.00573602,32.87441347
209530_at,97.78592559,130.2680098,76.31413879,64.62691704
209531_at,722.6647765,632.5265638,227.6043316,248.5163076
209532_at,49.06563669,54.01758502,47.43023931,59.55830787
209533_s_at,595.8145714,544.591593,572.0530476,588.9300618
209534_x_at,442.557234,449.4169867,953.9301449,928.0475045
209535_s_at,243.0355943,216.2242379,346.9515144,381.3702105
209536_s_at,187.4902276,160.9217551,326.7928633,332.8583405
209537_at,507.0101797,581.6472161,122.4225977,142.9496529
209538_at,389.4047916,413.2729961,246.0974807,284.2841452
209539_at,2820.107956,2727.070258,2899.420727,2576.924445
209540_at,17.8199565,18.32234565,14.7241994,16.18621133
209541_at,18.06138412,12.43311316,12.03831223,13.21013234
209542_x_at,56.14143766,60.08798533,69.66382626,52.40905693
209543_s_at,2614.141818,2446.157084,168.3253389,179.2880026
209544_at,161.5182793,158.9782223,112.0227201,127.7530104
209545_s_at,1978.229304,1890.014127,967.4637353,915.2921586
209546_s_at,230.8768172,231.6504095,218.488004,241.0739194
209547_s_at,81.21677735,75.52956553,74.14414122,81.03152784
209549_s_at,2007.593862,1808.89004,1559.732181,1400.335089
209550_at,1222.394813,1128.861825,159.5719294,198.9504438
209551_at,102.0352367,109.3556856,233.1114927,211.1859443
209552_at,62.93247104,63.51545568,53.00839851,56.53884208
209553_at,1125.812792,1085.170218,1406.730763,1325.543104
209554_at,52.64635496,66.6827505,77.00992331,64.90881584
209555_s_at,813.9603512,810.4676011,2074.896369,1808.612002
209556_at,220.3509323,224.5351841,217.3239205,222.1104364
209557_s_at,70.52214316,81.80371254,84.28898333,84.97354221
209558_s_at,278.6076284,307.5824921,430.1821555,506.0373389
209559_at,86.3858573,109.8264672,124.5209529,137.1121257
209560_s_at,415.3916087,420.1621118,117.5082525,138.5223556
209561_at,364.8116476,371.2098499,308.8467264,329.5244608
209563_x_at,1600.03169,1583.194899,3605.112996,3262.56364
209565_at,1340.857633,1305.67093,1317.034088,1269.367029
209566_at,583.3016958,622.1896347,635.1901238,609.4722759
209567_at,938.9918428,894.1811305,479.4214226,510.8660247
209568_s_at,65.30998467,73.38285887,176.7640726,209.5188714
209569_x_at,33.69483264,22.73696329,46.01166782,46.98659958
209570_s_at,112.7559538,116.6843959,155.5233537,130.0178439
209571_at,994.6269318,888.347416,1671.262658,1530.452213
209572_s_at,715.5728182,697.9228223,588.8238599,561.2095023
209573_s_at,227.4681418,219.1139093,231.8238365,246.6808085
209574_s_at,286.2117591,302.2022549,185.1209174,218.5545365
209575_at,269.2109727,263.5790524,1125.205314,1071.167355
209576_at,967.7692645,932.5691461,165.271815,191.6894296
209577_at,325.2334664,314.227983,230.0795552,203.9170221
209578_s_at,312.149,329.0918337,347.863135,363.6553531
209579_s_at,601.1735,608.5584514,753.7015068,786.9538546
209580_s_at,579.0273233,558.5099828,691.9932012,727.5467628
209581_at,86.72043553,81.95110772,178.0519269,190.4746268
209582_s_at,100.5328673,94.56051606,35.45739769,49.58103414
209583_s_at,359.9967886,398.7359047,103.2699154,129.8569671
209584_x_at,177.069414,176.7628034,144.7286867,169.3237175
209585_s_at,966.1848894,1013.766709,232.5395161,242.9885164
209586_s_at,1694.296672,1628.857602,1362.120489,1164.221313
209587_at,47.40730034,53.90092365,61.48575433,55.14902472
209588_at,31.63035848,42.82675193,53.43999009,57.41396345
209589_s_at,45.37879809,45.13716807,61.21554675,44.84443489
209590_at,20.52146952,17.62092342,19.87427393,20.90914919
209591_s_at,18.40843939,20.42412844,20.58590529,21.2669426
209592_s_at,689.3290325,630.9537706,401.6629282,426.5894417
209593_s_at,646.1679171,609.757932,888.0836229,841.7967315
209594_x_at,16.97055499,14.43496316,18.88636086,14.80572781
209595_at,479.5380105,468.3974853,273.7879652,329.9625247
209596_at,15.65224241,13.07754144,14.31585989,13.28095918
209597_s_at,47.2767321,43.76355104,45.03625205,44.74660107
209598_at,16.91939628,22.94777433,13.14486268,19.50310978
209599_s_at,49.42711789,49.31165766,43.53097455,49.9359743
209600_s_at,302.2235094,285.1942502,882.4772395,897.6766899
209601_at,21.77127952,32.74410673,25.6973728,35.26215751
209602_s_at,124.2188419,142.4405229,162.9192257,164.1315785
209603_at,667.3331502,634.8260109,780.7473887,683.6268694
209604_s_at,276.7483522,269.5530449,293.5611971,303.1717548
209605_at,519.4857606,522.2867202,454.2685646,457.7222111
