	Lin-_1	MNC_1
200914_x_at	128.7174453	93.68414544
200915_x_at	1495.965197	1047.793333
200916_at	2569.644681	3780.601301
200917_s_at	78.12680681	77.38319043
200918_s_at	2812.877722	3093.565041
200919_at	563.0016264	1453.003941
200920_s_at	602.638729	3374.394396
200921_s_at	2228.151552	6819.32477
200922_at	365.10279	283.2313878
200923_at	201.3690584	208.0425552
200924_s_at	346.1717103	310.8913322
200925_at	2784.3447	2229.272959
200926_at	20359.67568	17909.89879
200927_s_at	945.8224269	1025.155115
200928_s_at	101.7318077	97.3709682
200929_at	538.8175836	477.6403073
200930_s_at	37.01719803	52.84845665
200931_s_at	3847.983786	4322.37433
200932_s_at	1416.314664	1035.236334
200933_x_at	20370.27908	18623.9012
200934_at	4725.579605	4092.637391
200935_at	123.4367991	90.56333472
200936_at	14649.20692	10758.56565
200937_s_at	21298.59802	16397.40562
200938_s_at	49.04747681	58.59775963
200939_s_at	46.56284821	54.67238722
200940_s_at	5103.860659	6205.093209
200941_at	3747.056272	2720.264872
200942_s_at	1538.464165	1278.480137
200943_at	6357.502054	5134.613807
200944_s_at	9660.802487	7726.339513
200945_s_at	1525.071807	1269.02884
200946_x_at	355.0597869	306.6373655
200947_s_at	1433.231266	1251.062154
200948_at	473.4377025	419.0580612
200949_x_at	20927.32939	17950.3689
200950_at	917.7370235	766.8951255
200951_s_at	262.2438674	143.7880648
200952_s_at	54.64516973	46.96398635
200953_s_at	7749.766845	6431.875506
200954_at	381.0652559	662.2333144
200955_at	2136.86854	1097.787063
200956_s_at	2511.411506	726.7191028
200957_s_at	1947.054609	771.9094806
200958_s_at	2244.846958	7759.471808
200959_at	4594.387635	3754.785104
200960_x_at	1479.503932	988.7621526
200961_at	4285.369266	4497.023395
200962_at	319.8246142	200.2429207
200963_x_at	25341.60328	21766.16019
200964_at	5109.628305	3939.513668
200965_s_at	7054.03544	8581.277337
200966_x_at	7444.360313	9706.147606
200967_at	4383.229895	3165.685871
200968_s_at	2678.120394	1810.192957
200969_at	1975.322647	1505.2267
200970_s_at	552.7276327	554.0225218
200971_s_at	2556.701473	2684.897861
200972_at	2252.24389	687.8122384
200973_s_at	1206.419655	405.0995586
200974_at	176.5159006	177.7846215
200975_at	2089.928518	3465.774455
200976_s_at	1081.384295	1900.866138
200977_s_at	1158.012245	2637.717146
200978_at	1603.394492	1006.116667
200979_at	298.7888743	198.9173694
200980_s_at	3420.299807	1886.823104
200981_x_at	10343.71279	9028.810811
200982_s_at	2134.740978	2787.995585
200983_x_at	719.5754448	925.0832974
200984_s_at	470.1094296	522.2238413
200985_s_at	3348.923327	2603.425237
200986_at	543.7016081	138.1923602
200987_x_at	446.5166052	440.3752603
200988_s_at	335.82374	315.1702394
200989_at	3127.326461	4674.945117
200990_at	2180.990263	695.6991048
200991_s_at	787.1248121	728.4731399
200992_at	1014.400065	448.7143017
200993_at	788.4990486	333.7860619
200994_at	501.8102559	271.0174187
200995_at	2178.554367	1091.371449
200996_at	3045.187936	6137.44222
200997_at	603.7966564	513.9831959
