prop,col,pearson,spearman,p
sim,Cell2956,0.923854185894426,0.9248979591836732,8.569084784238233e-22
sim,Cell1367,0.904761148161928,0.899735894357743,6.592504698475807e-19
sim,Cell1902,0.9117803217095342,0.8986794717887154,8.3750089707348e-19
sim,Cell2223,0.895376826490743,0.906842737094838,1.2258201301543307e-19
sim,Cell571,0.958892841783384,0.9328691476590636,6.352456458242766e-23
sim,Cell127,0.963004862147807,0.9518847539015606,2.6623343940141795e-26
sim,Cell277,0.8303955126052923,0.8096518607442976,1.0908185397442446e-12
sim,Cell1957,0.9177009058810592,0.916158463385354,1.0884665654741747e-20
sim,Cell757,0.9556564282515656,0.9641776710684272,2.572027598290255e-29
sim,Cell2463,0.8646055034346194,0.865642256902761,4.977879094168034e-16
sim,Cell2861,0.8621151042786487,0.7696038415366147,6.537734339924735e-11
sim,Cell2027,0.7527830736719782,0.7881392557022808,1.0968505229732482e-11
sim,Cell1956,0.9164206326938694,0.912124849939976,3.2095306970450345e-20
sim,Cell810,0.9499973460416724,0.9518847539015606,2.6623343940141795e-26
sim,Cell156,0.8864240759911476,0.942280912364946,1.883402287100279e-24
sim,Cell1639,0.909713895286067,0.8700600240096038,2.350291237976132e-16
sim,Cell1308,0.8374223692668655,0.8607442977190877,1.1096530715749289e-15
sim,Cell1619,0.9444032138216104,0.9421848739495798,1.9579358437216453e-24
sim,Cell2522,0.9168648840753804,0.9111644657863144,4.1203714008460436e-20
sim,Cell773,0.8961170964914967,0.9007923169267708,5.17554062692112e-19
sim,Cell1416,0.8817308373745029,0.8914765906362545,4.004210079009857e-18
sim,Cell1053,0.818399174533336,0.782953181272509,1.8392285565589408e-11
sim,Cell2169,0.9160737503012744,0.935846338535414,2.212307862627684e-23
sim,Cell884,0.9023983642144858,0.8738055222088835,1.2171617985527255e-16
sim,Cell2507,0.9335190752670586,0.9224969987995196,1.7742098566258503e-21
sim,Cell1361,0.9342669739679528,0.9248019207683073,8.826278561579758e-22
sim,Cell492,0.8191159276120508,0.8140696278511403,6.549090479039374e-13
sim,Cell1336,0.8096248239079402,0.8000480192076831,3.163861054947357e-12
sim,Cell10,0.9007659410694432,0.8530612244897959,3.677155820676709e-15
sim,Cell590,0.8922243580973497,0.8655462184873949,5.0582603366711e-16
sim,Cell2721,0.8323926540019888,0.8633373349339735,7.287011262340728e-16
sim,Cell2641,0.9362297494448072,0.8912845138055222,4.1684916644696e-18
sim,Cell923,0.9387365250379758,0.9335414165666266,5.0276109218965814e-23
sim,Cell2387,0.8547320929156064,0.822328931572629,2.431017008094162e-13
sim,Cell462,0.9499521394332638,0.927779111644658,3.4633881007412115e-22
sim,Cell636,0.9394789845139532,0.9271068427370948,4.292798996959012e-22
sim,Cell2856,0.8384691818622484,0.8441296518607444,1.3631028468920463e-14
sim,Cell1018,0.8825300767152121,0.8569987995198078,2.007338926013174e-15
sim,Cell403,0.9337896391963698,0.9363265306122448,1.857409006783346e-23
sim,Cell2639,0.947581326361126,0.924705882352941,9.090835455897086e-22
sim,Cell2372,0.9094281537254012,0.888499399759904,7.405763281707106e-18
sim,Cell861,0.9445013834928732,0.952749099639856,1.7400321622459734e-26
sim,Cell2172,0.7781222078530723,0.7832412965186073,1.7878242028946646e-11
sim,Cell125,0.9297951155486904,0.9394957983193276,5.654579896680979e-24
sim,Cell1146,0.9086335702356546,0.9201920768307322,3.491378387080509e-21
sim,Cell1322,0.8202840594426527,0.8156062424969988,5.46682648698659e-13
sim,Cell2818,0.8882580498538133,0.8992557022809122,7.352514369485146e-19
sim,Cell1153,0.93000986648931,0.9263385354141656,5.4728540638176805e-22
sim,Cell15,0.8442854597213667,0.7925570228091235,6.981429236156033e-12
sim,Cell147,0.9489444067628692,0.9513085234093636,3.51983382295038e-26
sim,Cell2914,0.8914166898912552,0.9196158463385354,4.122060994842177e-21
sim,Cell31,0.8694067053362278,0.885906362545018,1.2476022155602309e-17
sim,Cell807,0.8765771952162946,0.9117406962785114,3.5480327159735783e-20
sim,Cell308,0.9455189599040328,0.9435294117647056,1.1302119985931586e-24
sim,Cell1876,0.9017882382894348,0.8980072028811524,9.739411867291574e-19
sim,Cell535,0.9039134257783632,0.9216326530612244,2.292477159674255e-21
sim,Cell2477,0.8597910243139701,0.8662184873949579,4.5205445672589e-16
sim,Cell763,0.844817939441764,0.8580552220888356,1.701199964215689e-15
sim,Cell1843,0.862055943275056,0.8475870348139255,8.290368463428901e-15
sim,Cell2645,0.920352593854182,0.9198079231692676,3.900634253531425e-21
sim,Cell659,0.8862592786125235,0.8786074429771908,5.074653313596557e-17
sim,Cell160,0.9023833446086852,0.8831212484993998,2.1545203133439848e-17
sim,Cell1988,0.8549424409462517,0.8303961584633853,8.779733759798054e-14
sim,Cell1408,0.8617432735689412,0.8556542617046817,2.473204302123991e-15
sim,Cell459,0.9221595039819032,0.9227851140456182,1.6278632250680609e-21
sim,Cell202,0.9431722596235476,0.9308523409363744,1.2632382370147974e-22
sim,Cell1914,0.8972828067473434,0.8962785114045618,1.4289369232847861e-18
sim,Cell502,0.833454731602167,0.8584393757503,1.6013236733110465e-15
sim,Cell282,0.9046568199980451,0.9322929171668668,7.747768859246367e-23
sim,Cell681,0.9150396994217396,0.8685234093637455,3.0606769337246264e-16
sim,Cell1044,0.9389973508682828,0.939783913565426,5.059052423407908e-24
sim,Cell117,0.8355149780234916,0.8606482593037215,1.1268886694145077e-15
sim,Cell2436,0.8569944172667976,0.8930132052821129,2.894887514461267e-18
sim,Cell148,0.868165615986734,0.855174069627851,2.6632382282602365e-15
sim,Cell1625,0.9400483895620916,0.938343337334934,8.777719958026419e-24
sim,Cell2214,0.8747703402427324,0.855174069627851,2.6632382282602365e-15
sim,Cell1308,0.9001950131358017,0.8954141656662665,1.7264683281082626e-18
sim,Cell2891,0.9052263534405944,0.9172148859543818,8.126722419876741e-21
sim,Cell1160,0.8620174533954418,0.8861944777911165,1.1780941657256328e-17
sim,Cell2575,0.9271402575304905,0.9459303721488596,4.093728605125008e-25
